"cID","SNP","PUBMEDID","Study","Disease_Trait","Initial_Sample_Size","Replication_Sample_Size","Region","Chr","Chr_pos","Reported_Gene","Mapped_gene","Upstream_gene_id","Downstream_gene_id","Strongest_SNP","SNPs","Snp_id_current","Context","Intergenic","Risk_Allele_Frequency","p_value","Pvalue_mog","p_value_text","OR_or_beta_text","OR_or_beta","CI_95","Platform","CNV","tID","Date_Added_to_Catalog","continuous_trait","GWS","tID","trait","match_available","jd_code","lab_available","lab_name","good_match"
8324,"rs10917477",22494929,"Meta-analysis of two genome-wide association studies identifies four genetic loci associated with thyroid function.","Thyroid function","3,736 European ancestry individuals","3,727 European ancestry individuals","1p36.13",1,19861106,"CAPZB","CAPZB - RPS14P3",832,644068,"rs10917477-A","rs10917477",10917477,"Intergenic",1,0.511,2E-8,7.69897,"",.06,0.06,"[0.038-0.078] unit decrease","Affymetrix & Illumina [2,524,918] (imputed)","N",2583,"2012-06-18",1,1,27,"Thyroid function",1,246.7,NULL,NULL,NULL
8325,"rs10028213",22494929,"Meta-analysis of two genome-wide association studies identifies four genetic loci associated with thyroid function.","Thyroid function","3,736 European ancestry individuals","3,727 European ancestry individuals","4q31.23",4,149652610,"NR3C2","ATP5LP4 - DCLK2",100130396,166614,"rs10028213-C","rs10028213",10028213,"Intergenic",1,0.823,3E-10,9.52288,"",.08,0.08,"[0.059-0.109] unit increase","Affymetrix & Illumina [2,524,918] (imputed)","N",2583,"2012-06-18",1,1,27,"Thyroid function",1,246.7,NULL,NULL,NULL
8326,"rs3813582",22494929,"Meta-analysis of two genome-wide association studies identifies four genetic loci associated with thyroid function.","Thyroid function","3,736 European ancestry individuals","3,727 European ancestry individuals","16q23.2",16,79749353,"LOC440389, MAF","MAF - DYNLRB2",4094,83657,"rs3813582-T","rs3813582",3813582,"Intergenic",1,0.681,6E-10,9.22185,"",.07,0.07,"[0.046-0.090] unit increase","Affymetrix & Illumina [2,524,918] (imputed)","N",2583,"2012-06-18",1,1,27,"Thyroid function",1,246.7,NULL,NULL,NULL
9892,"rs11191548",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","10q24.32",10,104846178,"CYP17A1, NT5C2","CNNM2 - RPS15AP29",54805,100128863,"rs11191548-T","rs11191548",11191548,"Intergenic",1,0.91,7E-26,25.1549,"",1.10,1.10,"[NR] mmHg increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9893,"rs1458038",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","4q21.21",4,81164723,"FGF5","PRDM8 - FGF5",56978,2250,"rs1458038-T","rs1458038",1458038,"Intergenic",1,0.29,2E-23,22.699,"",.71,0.71,"[NR] mmHg increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9894,"rs6015450",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","20q13.32",20,57751117,"GNAS, EDN3","MRPS16P2 - ZNF831",128609,128611,"rs6015450-G","rs6015450",6015450,"Intergenic",1,0.12,4E-23,22.3979,"",.90,0.90,"[NR] mmHg increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9895,"rs1378942",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","15q24.1",15,75077367,"CYP1A1, ULK3","CSK",NULL,NULL,"rs1378942-C","rs1378942",1378942,"intron",0,0.35,6E-23,22.2218,"",.61,0.61,"[NR] mmHg increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9896,"rs2521501",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","15q26.1",15,91437388,"FURIN, FES","FES",NULL,NULL,"rs2521501-T","rs2521501",2521501,"intron",0,0.31,5E-19,18.301,"",.65,0.65,"[NR] mmHg increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9897,"rs633185",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","11q22.1",11,100593538,"FLJ32810, TMEM133","ARHGAP42",NULL,NULL,"rs633185-G","rs633185",633185,"intron",0,0.28,1E-17,17,"",.57,0.57,"[NR] mmHg decrease","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9898,"rs1173771",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","5p13.3",5,32815028,"NPR3, C5orf23","NPR3 - RPS8P8",4883,728553,"rs1173771-G","rs1173771",1173771,"Intergenic",1,0.60,2E-16,15.699,"",.50,0.50,"[NR] mmHg increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9899,"rs932764",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","10q23.33",10,95895940,"PLCE1","PLCE1",NULL,NULL,"rs932764-G","rs932764",932764,"intron",0,0.44,7E-16,15.1549,"",.48,0.48,"[NR] mmHg increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9900,"rs13107325",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","4q24",4,103188709,"SLC39A8","SLC39A8",NULL,NULL,"rs13107325-T","rs13107325",13107325,"missense",0,0.05,3E-14,13.5229,"",.98,0.98,"[NR] mmHg decrease","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9901,"rs419076",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","3q26.2",3,169100886,"MECOM","MECOM",NULL,NULL,"rs419076-T","rs419076",419076,"intron",0,0.47,2E-13,12.699,"",.41,0.41,"[NR] mmHg increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9902,"rs7129220",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","11p15.4",11,10350538,"ADM","ADM - AMPD3",133,272,"rs7129220-G","rs7129220",7129220,"Intergenic",1,0.89,3E-12,11.5229,"",.62,0.62,"[NR] mmHg decrease","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9903,"rs1799945",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","6p22.2",6,26091179,"HFE","HFE",NULL,NULL,"rs1799945-G","rs1799945",1799945,"missense",0,0.14,8E-12,11.0969,"",.63,0.63,"[NR] mmHg increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9904,"rs805303",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","6p21.33",6,31616366,"BAT2, BAT5","BAG6",NULL,NULL,"rs805303-G","rs805303",805303,"intron",0,0.61,2E-11,10.699,"",.38,0.38,"[NR] mmHg increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9905,"rs11953630",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","5q33.3",5,157845402,"EBF1","MARK2P11 - EBF1",100421484,1879,"rs11953630-T","rs11953630",11953630,"Intergenic",1,0.37,3E-11,10.5229,"",.41,0.41,"[NR] mmHg decrease","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9906,"rs4373814",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","10p12.33",10,18419972,"CACNB2","SLC39A12 - CACNB2",221074,783,"rs4373814-G","rs4373814",4373814,"Intergenic",1,0.55,5E-11,10.301,"",.37,0.37,"[NR] mmHg decrease","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9907,"rs17608766",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","17q21.32",17,45013271,"GOSR2","GOSR2",NULL,NULL,"rs17608766-T","rs17608766",17608766,"intron",0,0.86,1E-10,10,"",.56,0.56,"[NR] mmHg decrease","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9908,"rs2932538",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","1p13.2",1,113216543,"MOV10","MOV10",NULL,NULL,"rs2932538-G","rs2932538",2932538,"nearGene-5",0,0.75,1E-9,9,"",.39,0.39,"[NR] mmHg increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
9909,"rs1327235",21909115,"Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.","Systolic blood pressure","69,395 European ancestry individuals","Up to 133,361 European ancestry individuals","20p12.2",20,10969030,"JAG1","FAT1P1 - RPS11P1",170513,128718,"rs1327235-G","rs1327235",1327235,"Intergenic",1,0.46,2E-8,7.69897,"",.34,0.34,"[NR] mmHg increase","Affymetrix & Illumina [~2.5 million] (imputed)","N",2551,"2011-10-21",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
15175,"rs1004467",19430479,"Genome-wide association study of blood pressure and hypertension.","Systolic blood pressure","29,136 individuals","34,433 individuals","10q24.32",10,104594507,"CYP17A1","CYP17A1;CYP17A1-AS1",NULL,NULL,"rs1004467-A","rs1004467",1004467,"intron;nearGene-3",0,0.90,1E-10,10,"",1.05,1.05,"[0.74-1.36] mm Hg increase","Affymetrix & Illumina [2,533,153](imputed)","N",2551,"2009-05-19",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
15176,"rs381815",19430479,"Genome-wide association study of blood pressure and hypertension.","Systolic blood pressure","29,136 individuals","34,433 individuals","11p15.1",11,16902268,"PLEKHA7","PLEKHA7",NULL,NULL,"rs381815-T","rs381815",381815,"intron",0,0.26,2E-9,8.69897,"",.65,0.65,"[0.43-0.87] mm Hg increase","Affymetrix & Illumina [2,533,153](imputed)","N",2551,"2009-05-19",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
15177,"rs2681492",19430479,"Genome-wide association study of blood pressure and hypertension.","Systolic blood pressure","29,136 individuals","34,433 individuals","12q21.33",12,90013089,"ATP2B1","ATP2B1",NULL,NULL,"rs2681492-T","rs2681492",2681492,"intron",0,0.80,4E-11,10.3979,"",.85,0.85,"[0.60-1.10] mm Hg increase","Affymetrix & Illumina [2,533,153](imputed)","N",2551,"2009-05-19",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
15178,"rs3184504",19430479,"Genome-wide association study of blood pressure and hypertension.","Systolic blood pressure","29,136 individuals","34,433 individuals","12q24.12",12,111884608,"SH2B3","SH2B3",NULL,NULL,"rs3184504-T","rs3184504",3184504,"missense",0,0.48,5E-9,8.30103,"",.58,0.58,"[0.38-0.78] mm Hg increase","Affymetrix & Illumina [2,533,153](imputed)","N",2551,"2009-05-19",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
15185,"rs17367504",19430483,"Genome-wide association study identifies eight loci associated with blood pressure.","Systolic blood pressure","34,433 individuals","Up to 100,347 white individuals, up to 12,889 Indian Asian individuals","1p36.22",1,11862778,"MTHFR, NPPA, CLCN6, NPPB, AGTRAP","MTHFR",NULL,NULL,"rs17367504-G","rs17367504",17367504,"intron",0,0.14,2E-13,12.699,"",.85,0.85,"[0.63-1.07] mm Hg decrease","Affymetrix & Illumina [2,497,993] (imputed)","N",2551,"2009-05-19",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
15186,"rs11191548",19430483,"Genome-wide association study identifies eight loci associated with blood pressure.","Systolic blood pressure","34,433 individuals","Up to 100,347 white individuals, up to 12,889 Indian Asian individuals","10q24.32",10,104846178,"CYP17A1, AS3MT, CNNM2, NT5C2","CNNM2 - RPS15AP29",54805,100128863,"rs11191548-T","rs11191548",11191548,"Intergenic",1,0.91,7E-24,23.1549,"",1.16,1.16,"[0.92-1.40] mm Hg increase","Affymetrix & Illumina [2,497,993] (imputed)","N",2551,"2009-05-19",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
15187,"rs12946454",19430483,"Genome-wide association study identifies eight loci associated with blood pressure.","Systolic blood pressure","34,433 individuals","Up to 100,347 white individuals, up to 12,889 Indian Asian individuals","17q21.31",17,43208121,"PLCD3, ACBD4, HEXIM1, HEXIM2","ACBD4;PLCD3",NULL,NULL,"rs12946454-T","rs12946454",12946454,"nearGene-5;intron",0,0.28,1E-8,8,"",.57,0.57,"[0.37-0.77] mm Hg increase","Affymetrix & Illumina [2,497,993] (imputed)","N",2551,"2009-05-19",1,1,51,"Systolic blood pressure",1,401,NULL,NULL,NULL
6778,"rs17034687",22993228,"Novel genetic variants associated with lumbar disc degeneration in northern Europeans: a meta-analysis of 4600 subjects.","Disc degeneration (lumbar)","4,683 European ancestry individuals","NR","3p26.2",3,3679852,"Intergenic","CRBN - LRRN1",51185,57633,"rs17034687-C","rs17034687",17034687,"Intergenic",1,0.09,2E-9,8.69897,"",.23,0.23,"[0.16-0.30] unit increase","Affymetrix & Illumina [2,552,511] (imputed)","N",720,"2012-12-06",1,1,52,"Disc degeneration (lumbar)",1,722.6,NULL,NULL,NULL
6779,"rs2187689",22993228,"Novel genetic variants associated with lumbar disc degeneration in northern Europeans: a meta-analysis of 4600 subjects.","Disc degeneration (lumbar)","4,683 European ancestry individuals","NR","6p21.32",6,32852647,"PSMB9","PPP1R2P1 - HLA-Z",100507444,267017,"rs2187689-C","rs2187689",2187689,"Intergenic",1,0.08,3E-8,7.52288,"",.23,0.23,"[0.15-0.31] unit increase","Affymetrix & Illumina [2,552,511] (imputed)","N",720,"2012-12-06",1,1,52,"Disc degeneration (lumbar)",1,722.6,NULL,NULL,NULL
6780,"rs926849",22993228,"Novel genetic variants associated with lumbar disc degeneration in northern Europeans: a meta-analysis of 4600 subjects.","Disc degeneration (lumbar)","4,683 European ancestry individuals","NR","6q26",6,162161619,"PARK2","PARK2",NULL,NULL,"rs926849-C","rs926849",926849,"intron",0,0.31,3E-8,7.52288,"",.13,0.13,"[0.083-0.177] unit decrease","Affymetrix & Illumina [2,552,511] (imputed)","N",720,"2012-12-06",1,1,52,"Disc degeneration (lumbar)",1,722.6,NULL,NULL,NULL
6781,"rs7744666",22993228,"Novel genetic variants associated with lumbar disc degeneration in northern Europeans: a meta-analysis of 4600 subjects.","Disc degeneration (lumbar)","4,683 European ancestry individuals","NR","6p21.32",6,32859712,"Intergenic","LOC100294145",NULL,NULL,"rs7744666-C","rs7744666",7744666,NULL,0,0.10,6E-8,7.22185,"",.20,0.20,"[0.13-0.27] unit increase","Affymetrix & Illumina [2,552,511] (imputed)","N",720,"2012-12-06",1,0,52,"Disc degeneration (lumbar)",1,722.6,NULL,NULL,NULL
6782,"rs11969002",22993228,"Novel genetic variants associated with lumbar disc degeneration in northern Europeans: a meta-analysis of 4600 subjects.","Disc degeneration (lumbar)","4,683 European ancestry individuals","NR","6p21.32",6,32859748,"Intergenic","LOC100294145",NULL,NULL,"rs11969002-A","rs11969002",11969002,NULL,0,0.10,6E-8,7.22185,"",.20,0.20,"[0.13-0.27] unit increase","Affymetrix & Illumina [2,552,511] (imputed)","N",720,"2012-12-06",1,0,52,"Disc degeneration (lumbar)",1,722.6,NULL,NULL,NULL
6783,"rs6457690",22993228,"Novel genetic variants associated with lumbar disc degeneration in northern Europeans: a meta-analysis of 4600 subjects.","Disc degeneration (lumbar)","4,683 European ancestry individuals","NR","6p21.32",6,32855717,"Intergenic","PPP1R2P1 - HLA-Z",100507444,267017,"rs6457690-A","rs6457690",6457690,"Intergenic",1,0.10,9E-8,7.04576,"",.19,0.19,"[0.12-0.26] unit increase","Affymetrix & Illumina [2,552,511] (imputed)","N",720,"2012-12-06",1,0,52,"Disc degeneration (lumbar)",1,722.6,NULL,NULL,NULL
6784,"rs1029296",22993228,"Novel genetic variants associated with lumbar disc degeneration in northern Europeans: a meta-analysis of 4600 subjects.","Disc degeneration (lumbar)","4,683 European ancestry individuals","NR","6p21.32",6,32856381,"Intergenic","PPP1R2P1 - HLA-Z",100507444,267017,"rs1029296-C","rs1029296",1029296,"Intergenic",1,0.10,9E-8,7.04576,"",.19,0.19,"[0.12-0.26] unit increase","Affymetrix & Illumina [2,552,511] (imputed)","N",720,"2012-12-06",1,0,52,"Disc degeneration (lumbar)",1,722.6,NULL,NULL,NULL
14612,"rs2566755",19801982,"Twenty bone-mineral-density loci identified by large-scale meta-analysis of genome-wide association studies.","Bone mineral density (hip)","19,195 European individuals","NR","1p31.3",1,68635390,"GPR177","WLS;GNG12-AS1",NULL,NULL,"rs2566755-C","rs2566755",2566755,"intron;intron",0,0.21,2E-12,11.699,"",.10,0.10,"[0.07-0.13] s.d. increase","Affymetrix & Illumina [2,543,686](imputed)","N",410,"2009-10-16",1,1,58,"Bone mineral density (hip)",1,743,NULL,NULL,NULL
14613,"rs87938",19801982,"Twenty bone-mineral-density loci identified by large-scale meta-analysis of genome-wide association studies.","Bone mineral density (hip)","19,195 European individuals","NR","3p22.1",3,41137672,"CTNNB1","RPS27P4 - MRPS31P1",389112,351449,"rs87938-A","rs87938",87938,"Intergenic",1,0.45,8E-10,9.09691,"",.07,0.07,"[0.05-0.09] s.d. decrease","Affymetrix & Illumina [2,543,686](imputed)","N",410,"2009-10-16",1,1,58,"Bone mineral density (hip)",1,743,NULL,NULL,NULL
14614,"rs1366594",19801982,"Twenty bone-mineral-density loci identified by large-scale meta-analysis of genome-wide association studies.","Bone mineral density (hip)","19,195 European individuals","NR","5q14.3",5,88376061,"MEF2C","MEF2C - MIR3660",4208,100500825,"rs1366594-C","rs1366594",1366594,"Intergenic",1,0.45,1E-13,13,"",.09,0.09,"[0.07-0.11] s.d. decrease","Affymetrix & Illumina [2,543,686](imputed)","N",410,"2009-10-16",1,1,58,"Bone mineral density (hip)",1,743,NULL,NULL,NULL
14615,"rs7781370",19801982,"Twenty bone-mineral-density loci identified by large-scale meta-analysis of genome-wide association studies.","Bone mineral density (hip)","19,195 European individuals","NR","7q21.3",7,96133531,"FLJ42280","C7orf76",NULL,NULL,"rs7781370-T","rs7781370",7781370,"nearGene-5",0,0.34,5E-12,11.301,"",.08,0.08,"[0.06-0.10] s.d. decrease","Affymetrix & Illumina [2,543,686](imputed)","N",410,"2009-10-16",1,1,58,"Bone mineral density (hip)",1,743,NULL,NULL,NULL
14616,"rs7117858",19801982,"Twenty bone-mineral-density loci identified by large-scale meta-analysis of genome-wide association studies.","Bone mineral density (hip)","19,195 European individuals","NR","11p15.2",11,15694462,"SOX6","INSC - SOX6",387755,55553,"rs7117858-G","rs7117858",7117858,"Intergenic",1,0.20,6E-10,9.22185,"",.09,0.09,"[0.06-0.12] s.d. increase","Affymetrix & Illumina [2,543,686](imputed)","N",410,"2009-10-16",1,1,58,"Bone mineral density (hip)",1,743,NULL,NULL,NULL
14620,"rs7932354",19801982,"Twenty bone-mineral-density loci identified by large-scale meta-analysis of genome-wide association studies.","Bone mineral density (hip)","19,195 European individuals","NR","11p11.2",11,46722221,"ARHGAP1","ZNF408",NULL,NULL,"rs7932354-T","rs7932354",7932354,"nearGene-5",0,0.29,4E-9,8.39794,"",.07,0.07,"[0.05-0.09] s.d. increase","Affymetrix & Illumina [2,543,686](imputed)","N",410,"2009-10-16",1,1,58,"Bone mineral density (hip)",1,743,NULL,NULL,NULL
14621,"rs228769",19801982,"Twenty bone-mineral-density loci identified by large-scale meta-analysis of genome-wide association studies.","Bone mineral density (hip)","19,195 European individuals","NR","17q21.31",17,42193185,"HDAC5","HDAC5",NULL,NULL,"rs228769-G","rs228769",228769,"intron",0,0.20,2E-8,7.69897,"",.08,0.08,"[0.05-0.11] s.d. increase","Affymetrix & Illumina [2,543,686](imputed)","N",410,"2009-10-16",1,1,58,"Bone mineral density (hip)",1,743,NULL,NULL,NULL
14622,"rs6426749",19801982,"Twenty bone-mineral-density loci identified by large-scale meta-analysis of genome-wide association studies.","Bone mineral density (hip)","19,195 European individuals","NR","1p36.12",1,22711473,"ZBTB40","MIR4418 - ZBTB40",100616433,9923,"rs6426749-C","rs6426749",6426749,"Intergenic",1,0.17,9E-8,7.04576,"",.08,0.08,"[0.05-0.11] s.d. increase","Affymetrix & Illumina [2,543,686](imputed)","N",410,"2009-10-16",1,0,58,"Bone mineral density (hip)",1,743,NULL,NULL,NULL
