"SNP","Lab_name","best_measure","best_P","best_OR_Beta","catalog_assoc_SNP","catalog_assoc_gene","CHR","MapInfo","gene","rsID","cases","eh_case","el_case","Mutation","MAF_W","mean_Beta","mean_P","median_Beta","median_P","first_Beta","first_P","min_Beta","min_P","max_Beta","max_P","ever_low_OR","ever_low_P","ever_high_OR","ever_high_P","Lab_cat","Lab_full_name","lab_name","cID","SNP","PUBMEDID","Study","Disease_Trait","Initial_Sample_Size","Replication_Sample_Size","Region","Chr","Chr_pos","Reported_Gene","Mapped_gene","Upstream_gene_id","Downstream_gene_id","Strongest_SNP","SNPs","Snp_id_current","Context","Intergenic","Risk_Allele_Frequency","p_value","Pvalue_mog","p_value_text","OR_or_beta_text","OR_or_beta","CI_95","Platform","CNV","tID","Date_Added_to_Catalog","continuous_trait","GWS"
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",9388,"rs2135319",22085899,"UGT1A1 is a major locus influencing bilirubin levels in African Americans.","Bilirubin levels","619 African American individuals","NR","3p13",3,72023700,"RP11-648C16.1","PROK2 - CCDC137P",60675,642802,"rs2135319-A","rs2135319",2135319,"Intergenic",1,0.081,4E-6,5.39794,"",.19,0.19,"[0.112-0.276] unit increase","Affymetrix [808,465]","N",272,"2011-12-17",1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",9389,"rs12052359",22085899,"UGT1A1 is a major locus influencing bilirubin levels in African Americans.","Bilirubin levels","619 African American individuals","NR","2p12",2,81872922,"AC013262.1","LRRTM1 - MTND4P25",347730,100873246,"rs12052359-A","rs12052359",12052359,"Intergenic",1,0.062,7E-6,5.1549,"",.22,0.22,"[0.127-0.321] unit increase","Affymetrix [808,465]","N",272,"2011-12-17",1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",9390,"rs11809789",22085899,"UGT1A1 is a major locus influencing bilirubin levels in African Americans.","Bilirubin levels","619 African American individuals","NR","1p31.1",1,82074852,"RP5-837I24.4","RPS20P7 - ST13P20",100270901,729828,"rs11809789-A","rs11809789",11809789,"Intergenic",1,0.014,6E-6,5.22185,"",.40,0.40,"[0.226-0.565] unit increase","Affymetrix [808,465]","N",272,"2011-12-17",1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",9391,"rs12549576",22085899,"UGT1A1 is a major locus influencing bilirubin levels in African Americans.","Bilirubin levels","619 African American individuals","NR","8q23.3",8,112976141,"AC068954.1, RP11-58O3.2","EEF1A1P37 - MIR2053",100421825,100302225,"rs12549576-G","rs12549576",12549576,"Intergenic",1,0.040,1E-6,6,"",.30,0.30,"[0.18-0.419] unit increase","Affymetrix [808,465]","N",272,"2011-12-17",1,0
"rs4148325","TBil","ever_high",2.78e-266,2.287,"Bilirubin levels",NULL,2,234673309,"UGT1A8, etc.","rs4148325",23076,5602,1620,"Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent",0.31650000,0.16,6.644e-81,0.16,2.712e-94,0.1582,3.388e-46,0.112,8.441e-183,0.2161,4.814e-16,0.55,6.569e-42,2.29,2.78e-266,"LiverPanel","BILIRUBIN TOTAL BLOOD","TBil",10715,"rs4148325",21646302,"Mayo Genome Consortia: a genotype-phenotype resource for genome-wide association studies with an application to the analysis of circulating bilirubin levels.","Bilirubin levels","6,307 European ancestry individuals","NR","2q37.1",2,234673309,"UGT1A","UGT1A10;UGT1A8;UGT1A7;UGT1A6;UGT1A5;UGT1A9;UGT1A4;UGT1A1;UGT1A3",NULL,NULL,"rs4148325-?","rs4148325",4148325,"intron;intron;intron;intron;intron;intron;intron;intron;intron",0,0.33,5E-62,61.301,"",.17,0.17,"[0.15-0.19] mg/dL increase","Illumina [583,129]","N",272,"2011-06-20",1,1
"rs2361502","TBil","ever_high",1.681e-92,1.624,"Bilirubin levels",NULL,2,234698790,"","rs2361502",23076,5602,1620,"",0.28900000,0.1088,1.044e-35,0.1107,7.432e-43,0.09898,7.537e-18,0.07545,1.396e-77,0.1419,0.0000002713,0.67,1.101e-19,1.62,1.681e-92,"LiverPanel","BILIRUBIN TOTAL BLOOD","TBil",10716,"rs2361502",21646302,"Mayo Genome Consortia: a genotype-phenotype resource for genome-wide association studies with an application to the analysis of circulating bilirubin levels.","Bilirubin levels","6,307 European ancestry individuals","NR","2q37.1",2,234698790,"LOC339766","MROH2A",NULL,NULL,"rs2361502-?","rs2361502",2361502,"intron",0,0.29,7E-23,22.1549,"",.10,0.10,"[0.08-0.12] mg/dL increase","Illumina [583,129]","N",272,"2011-06-20",1,1
"rs4363657","TBil","ever_high",0.0000001427,1.165,"Bilirubin levels","Bilirubin levels || Response to statin therapy || Sex hormone-binding globulin levels (Men + Women) || Methotrexate clearance (acute lymphoblastic leukemia) || Metabolic traits (SM-10 + 59 other traits) || Methotrexate phramacokinetics (acute lymphoblastic leukemia) || Metabolite levels (Glycochenodeoxycholic acid 3-glucuronide)",12,21368722,"SLCO1B1","rs4363657",23076,5602,1620,"Silent",0.16330000,0.05015,0.000002521,0.038,0.0001158,0.0427,0.002356,0.02527,0.0000003404,0.1177,0.0004757,0.83,0.0004584,1.17,0.0000001427,"LiverPanel","BILIRUBIN TOTAL BLOOD","TBil",10717,"rs4363657",21646302,"Mayo Genome Consortia: a genotype-phenotype resource for genome-wide association studies with an application to the analysis of circulating bilirubin levels.","Bilirubin levels","6,307 European ancestry individuals","NR","12p12.1",12,21368722,"SLCO1B1","SLCO1B1",NULL,NULL,"rs4363657-?","rs4363657",4363657,"intron",0,0.17,5E-8,7.30103,"",.06,0.06,"[0.04-0.08] mg/dL increase","Illumina [583,129]","N",272,"2011-06-20",1,1
"rs6704644","TBil","min",3.374e-18,0.0528,"Bilirubin levels","Bilirubin levels",2,234406655,"USP40","rs6704644",23076,5602,1620,"Silent",0.10190000,0.05771,0.000009987,0.06819,0.00000001673,0.06523,0.0001509,0.0528,3.374e-18,0.04115,0.319,0.81,0.001446,1.28,0.000000000001115,"LiverPanel","BILIRUBIN TOTAL BLOOD","TBil",10718,"rs6704644",21646302,"Mayo Genome Consortia: a genotype-phenotype resource for genome-wide association studies with an application to the analysis of circulating bilirubin levels.","Bilirubin levels","6,307 European ancestry individuals","NR","2q37.1",2,234406655,"USP40","USP40",NULL,NULL,"rs6704644-?","rs6704644",6704644,"intron",0,0.11,8E-8,7.09691,"",.08,0.08,"[0.05-0.11] mg/dL increase","Illumina [583,129]","N",272,"2011-06-20",1,0
"rs17665859","TBil","max",0.0203,0.1117,"Bilirubin levels","Bilirubin levels",8,445601,"C8orf42","rs17665859",23076,5602,1620,"Silent,Silent",0.07310000,0.01696,0.2656,0.01113,0.4297,-0.0009641,0.9617,-0.0116,0.1013,0.1117,0.0203,1.02,0.7572,1.06,0.1576,"LiverPanel","BILIRUBIN TOTAL BLOOD","TBil",10719,"rs17665859",21646302,"Mayo Genome Consortia: a genotype-phenotype resource for genome-wide association studies with an application to the analysis of circulating bilirubin levels.","Bilirubin levels","6,307 European ancestry individuals","NR","8p23.3",8,445601,"C8orf42","C8orf42",NULL,NULL,"rs17665859-?","rs17665859",17665859,"intron",0,0.07,5E-7,6.30103,"",.09,0.09,"[0.06-0.12] mg/dL decrease","Illumina [583,129]","N",272,"2011-06-20",1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",3679,"rs2417940",23371916,"A genome-wide association study for serum bilirubin levels and gene-environment interaction in a Chinese population.","Bilirubin levels","1,452 Han Chinese ancestry individuals","8,830 Han Chinese ancestry individuals","12p12.2",12,21017875,"SLCO1B3","SLCO1B3",NULL,NULL,"rs2417940-?","rs2417940",2417940,"intron",0,0.16,7E-19,18.1549,"(Total bilirubin)",.06,0.06,"[0.045-0.073] unit increase","Affymetrix [658,288] (Imputed)","N",275,"2013-05-09",1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",3680,"rs2417940",23371916,"A genome-wide association study for serum bilirubin levels and gene-environment interaction in a Chinese population.","Bilirubin levels","1,452 Han Chinese ancestry individuals","8,830 Han Chinese ancestry individuals","12p12.2",12,21017875,"SLCO1B3","SLCO1B3",NULL,NULL,"rs2417940-?","rs2417940",2417940,"intron",0,0.16,2E-16,15.699,"(Direct bilirubin)",.07,0.07,"[0.056-0.092] unit increase","Affymetrix [658,288] (Imputed)","N",273,"2013-05-09",1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",3681,"rs2417940",23371916,"A genome-wide association study for serum bilirubin levels and gene-environment interaction in a Chinese population.","Bilirubin levels","1,452 Han Chinese ancestry individuals","8,830 Han Chinese ancestry individuals","12p12.2",12,21017875,"SLCO1B3","SLCO1B3",NULL,NULL,"rs2417940-?","rs2417940",2417940,"intron",0,0.16,5E-13,12.301,"(Indirect bilirubin)",.06,0.06,"[0.04-0.072] unit increase","Affymetrix [658,288] (Imputed)","N",274,"2013-05-09",1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",13095,"rs2417940",20639394,"Genome-wide association of serum bilirubin levels in Korean population.","Bilirubin levels","8,841 Korean ancestry individuals","1,096 Korean ancestry individuals","12p12.2",12,21017875,"SLCO1B3, LST3","SLCO1B3",NULL,NULL,"rs2417940-?","rs2417940",2417940,"intron",0,0.207,2E-17,16.699,"",.05,0.05,"[NR] bilirubin level increase","Affymetrix [1,227,049] (imputed)","N",272,"2013-11-16",1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",13096,"rs2501324",20639394,"Genome-wide association of serum bilirubin levels in Korean population.","Bilirubin levels","8,841 Korean ancestry individuals","1,096 Korean ancestry individuals","1q23.2",1,159856429,"CCDC19","CCDC19",NULL,NULL,"rs2501324-?","rs2501324",2501324,"cds-synon",0,0.01,2E-10,9.69897,"",.14,0.14,"[NR] bilirubin level increase","Affymetrix [1,227,049] (imputed)","N",272,"2013-11-16",1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",13097,"rs7140958",20639394,"Genome-wide association of serum bilirubin levels in Korean population.","Bilirubin levels","8,841 Korean ancestry individuals","1,096 Korean ancestry individuals","14q21.2",14,46029687,"Intergenic","DNAJC19P9 - RPL10L",644589,140801,"rs7140958-?","rs7140958",7140958,"Intergenic",1,0.02,2E-7,6.69897,"",.09,0.09,"[NR] bilirubin level increase","Affymetrix [1,227,049] (imputed)","N",272,"2013-11-16",1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",13098,"rs6928954",20639394,"Genome-wide association of serum bilirubin levels in Korean population.","Bilirubin levels","8,841 Korean ancestry individuals","1,096 Korean ancestry individuals","6p21.32",6,33060822,"Intergenic","HLA-DPA2",NULL,NULL,"rs6928954-?","rs6928954",6928954,NULL,0,0.023,1E-6,6,"",.08,0.08,"[NR] bilirubin level increase","Affymetrix [1,227,049] (imputed)","N",272,"2013-11-16",1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",13099,"rs17031671",20639394,"Genome-wide association of serum bilirubin levels in Korean population.","Bilirubin levels","8,841 Korean ancestry individuals","1,096 Korean ancestry individuals","4q31.3",4,155389247,"DCHS2","DCHS2",NULL,NULL,"rs17031671-?","rs17031671",17031671,"intron",0,0.017,6E-11,10.2218,"",.12,0.12,"[NR] bilirubin level decrease","Affymetrix [1,227,049] (imputed)","N",272,"2013-11-16",1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",13100,"rs7606224",20639394,"Genome-wide association of serum bilirubin levels in Korean population.","Bilirubin levels","8,841 Korean ancestry individuals","1,096 Korean ancestry individuals","2q32.2",2,190643649,"ORMDL1","ORMDL1",NULL,NULL,"rs7606224-?","rs7606224",7606224,"intron",0,0.011,2E-6,5.69897,"",.10,0.10,"[NR] bilirubin level increase","Affymetrix [1,227,049] (imputed)","N",272,"2013-11-16",1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",13101,"rs1550532",20639394,"Genome-wide association of serum bilirubin levels in Korean population.","Bilirubin levels","8,841 Korean ancestry individuals","1,096 Korean ancestry individuals","2q37.1",2,234264848,"DGKD","DGKD",NULL,NULL,"rs1550532-?","rs1550532",1550532,"intron",0,0.317,3E-19,18.5229,"",.04,0.04,"[NR] bilirubin level increase","Affymetrix [1,227,049] (imputed)","N",272,"2013-11-16",1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",13102,"rs2154427",20639394,"Genome-wide association of serum bilirubin levels in Korean population.","Bilirubin levels","8,841 Korean ancestry individuals","1,096 Korean ancestry individuals","21q22.11",21,34168573,"C21orf49","C21orf49;C21orf62",NULL,NULL,"rs2154427-?","rs2154427",2154427,"intron;intron",0,0.013,1E-6,6,"",.10,0.10,"[NR] bilirubin level increase","Affymetrix [1,227,049] (imputed)","N",272,"2013-11-16",1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",13103,"rs16906293",20639394,"Genome-wide association of serum bilirubin levels in Korean population.","Bilirubin levels","8,841 Korean ancestry individuals","1,096 Korean ancestry individuals","8q24.23",8,137768892,"Intergenic","MAPRE1P1 - FAM135B",80327,51059,"rs16906293-?","rs16906293",16906293,"Intergenic",1,0.014,6E-6,5.22185,"",.09,0.09,"[NR] bilirubin level increase","Affymetrix [1,227,049] (imputed)","N",272,"2013-11-16",1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TBil",13104,"rs2667011",20639394,"Genome-wide association of serum bilirubin levels in Korean population.","Bilirubin levels","8,841 Korean ancestry individuals","1,096 Korean ancestry individuals","2q24.2",2,160867059,"PLA2R1","PLA2R1",NULL,NULL,"rs2667011-?","rs2667011",2667011,"intron",0,0.248,2E-13,12.699,"",.04,0.04,"[NR] bilirubin level decrease","Affymetrix [1,227,049] (imputed)","N",272,"2013-11-16",1,1
