"cID","SNP","PUBMEDID","Study","Disease_Trait","Initial_Sample_Size","Replication_Sample_Size","Region","Chr","Chr_pos","Reported_Gene","Mapped_gene","Upstream_gene_id","Downstream_gene_id","Strongest_SNP","SNPs","Snp_id_current","Context","Intergenic","Risk_Allele_Frequency","p_value","Pvalue_mog","p_value_text","OR_or_beta_text","OR_or_beta","CI_95","Platform","CNV","tID","Date_Added_to_Catalog","continuous_trait","GWS","tID","trait","match_available","jd_code","lab_available","lab_name","good_match"
2756,"rs11571833",23535729,"Large-scale genotyping identifies 41 new loci associated with breast cancer risk.","Breast cancer","10,052 European ancestry cases, 12,575 European ancestry controls","45,290 European ancestry cases, 41,880 European ancestry controls","13q13.1",13,32972626,"BRCA2, N4BP2L1, N4BP2L2","BRCA2",NULL,NULL,"rs11571833-T","rs11571833",11571833,"STOP-GAIN",0,0.0080,5E-8,7.30103,"",1.26,1.26,"[1.14-1.39]","Illumina & Affymetrix [~2.6 million] (Imputed)","N",437,"2013-09-12",0,1,85,"Breast cancer",1,174.11,NULL,NULL,NULL
9721,"rs34289250",21964575,"Mutations in BRIP1 confer high risk of ovarian cancer.","Ovarian cancer","640 Icelandic ancestry cases, 41,607 Icelandic ancestry controls","NR","17q23.2",17,59880646,"BRIP1","BRIP1",NULL,NULL,"rs34289250-C","rs34289250",34289250,"intron",0,0.0089,6E-13,12.2218,"",7.95,7.95,"[NR]","Illumina [15,957,390] (Imputed)","N",1889,"2014-02-10",0,1,98,"Ovarian cancer",1,184.11,NULL,NULL,NULL
6750,"rs7142143",23007406,"Genome-wide association study identifies germline polymorphisms associated with relapse of childhood acute lymphoblastic leukemia.","Acute lymphoblastic leukemia (childhood)","1,268 cases","1,267 cases","14q22.1",14,51403531,"PYGL","PYGL",NULL,NULL,"rs7142143-C","rs7142143",7142143,"intron",0,0.01,7E-9,8.1549,"",3.61,3.61,"[2.34-5.57]","Affymetrix [444,044]","N",12,"2012-12-06",0,1,183,"Acute lymphoblastic leukemia (childhood)",1,204.11,NULL,NULL,NULL
8265,"rs5955543",22544364,"A genome-wide association study identifies susceptibility loci for Wilms tumor.","Wilms tumor","757 European ancestry cases, 1,879 European ancestry controls","1,488 European ancestry cases, 3,851 European ancestry controls","Xp22.13",23,17698397,"NR","NHS",NULL,NULL,"rs5955543-G","rs5955543",5955543,"intron",0,0.01,1E-9,9,"",2.64,2.64,"[1.74-4.01]","Illumina [599,255]","N",2772,"2012-07-13",0,1,294,"Wilms tumor",1,189.11,NULL,NULL,NULL
7590,"rs12153855",22694956,"Genome-wide association study of age-related macular degeneration identifies associated variants in the TNXB-FKBPL-NOTCH4 region of chromosome 6p21.3.","Age-related macular degeneration","893 European ancestry cases, 2,199 European ancestry controls","1,411 European ancestry cases, 1,431 European ancestry controls","6p21.33",6,32074804,"TNXB","TNXB",NULL,NULL,"rs12153855-C","rs12153855",12153855,"intron",0,0.011,1E-9,9,"",1.44,1.44,"[1.28-1.63]","Illumina [2,272,849] (imputed)","N",96,"2012-08-08",0,1,34,"Age-related macular degeneration",1,362.2,NULL,NULL,NULL
13506,"rs9380272",20385819,"Genetic variants near TIMP3 and high-density lipoprotein-associated loci influence susceptibility to age-related macular degeneration.","Age-related macular degeneration","2,978 European ancestry cases, 2,859 European ancestry controls","7,071 European ancestry cases, 678 Japanese cases, 4,289 European ancestry controls, 336 Japanese controls","6p21.33",6,31906010,"C2,CFB","C2",NULL,NULL,"rs9380272-A","rs9380272",9380272,"intron",0,0.012,2E-8,7.69897,"",4.31,4.31,"[2.76-6.87]","Illumina [~2.5 million] (imputed)","N",96,"2010-05-06",0,1,34,"Age-related macular degeneration",1,362.2,NULL,NULL,NULL
10512,"rs4665058",21738491,"Identification of a sudden cardiac death susceptibility locus at 2q24.2 through genome-wide association in European ancestry individuals.","Sudden cardiac arrest","1,283 European ancestry cases, ~20,000 European ancestry controls","3,119 European ancestry cases, 11,146 European ancestry controls","2q24.2",2,160190209,"BAZ2B","BAZ2B",NULL,NULL,"rs4665058-A","rs4665058",4665058,"intron",0,0.014,2E-10,9.69897,"",1.92,1.92,"[1.57-2.34]","Affymetrix & Illumina [~2.5 million] (imputed)","N",2529,"2011-07-19",0,1,2079,"Sudden cardiac arrest",1,427.42,NULL,NULL,NULL
8956,"rs116909374",22267200,"Discovery of common variants associated with low TSH levels and thyroid cancer risk.","Thyroid cancer","27,758 European ancestry individuals","1,156 European ancestry cases, up to 42,617 European ancestry controls","14q13.3",14,36738361,"MBIP","PTCSC3 - MBIP",100886964,51562,"rs116909374-T","rs116909374",116909374,"Intergenic",1,0.017,5E-11,10.301,"",2.09,2.09,"[1.68-2.60]","Illumina [~16 million] (Imputed)","N",2581,"2012-02-09",0,1,989,"Thyroid cancer",1,193,NULL,NULL,NULL
14861,"rs17085106",19656524,"A genome-wide association study identifies a locus for nonsyndromic cleft lip with or without cleft palate on 8q24.","Orofacial clefts","111 European ancestry cases, 5,951 European ancestry controls","NR","18q22.3",18,69439073,"Intergenic","RPS2P6 - CBLN2",342808,147381,"rs17085106-?","rs17085106",17085106,"Intergenic",1,0.018,4E-8,7.39794,"",4.07,4.07,"[2.37-7.00]","Illumina [495,858]","N",1861,"2009-09-04",0,1,1196,"Orofacial clefts",1,749.1,NULL,NULL,NULL
16155,"rs11175593",18587394,"Genome-wide association defines more than 30 distinct susceptibility loci for Crohn's disease.","Crohn's disease","3,230 cases4,829 controls","1,339 trios, 2,325 cases, 1,809 controls","12q12",12,40601940,"LRRK2, MUC19","RPL30P13 - LRRK2",100271305,120892,"rs11175593-T","rs11175593",11175593,"Intergenic",1,0.02,3E-10,9.52288,"",1.54,1.54,"[NR]","Affymetrix and Illumina[635,547](imputed)","N",665,"2008-11-25",0,1,1,"Crohn's disease",1,555.1,NULL,NULL,NULL
16167,"rs2066847",18587394,"Genome-wide association defines more than 30 distinct susceptibility loci for Crohn's disease.","Crohn's disease","3,230 cases4,829 controls","1,339 trios, 2,325 cases, 1,809 controls","16q12.1",16,50763778,"NOD2","NOD2",NULL,NULL,"rs2066847-C","rs2066847",2066847,"frameshift",0,0.02,3E-24,23.5229,"",3.99,3.99,"[NR]","Affymetrix and Illumina[635,547](imputed)","N",665,"2008-11-25",0,1,1,"Crohn's disease",1,555.1,NULL,NULL,NULL
4798,"rs2230926",23273568,"Meta-analysis followed by replication identifies loci in or near CDKN1B, TET3, CD80, DRAM1, and ARID5B as associated with systemic lupus erythematosus in Asians.","Systemic lupus erythematosus","1,656 Han Chinese cases, 3,394 Han Chinese controls","3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls","6q23.3",6,138196066,"TNFAIP3","TNFAIP3",NULL,NULL,"rs2230926-G","rs2230926",2230926,"missense",0,0.02,1E-13,13,"",2.71,2.71,"","Illumina [2,100,739] (imputed)","N",2539,"2013-02-21",0,1,38,"Systemic lupus erythematosus",1,695.42,NULL,NULL,NULL
2792,"rs11814448",23535729,"Large-scale genotyping identifies 41 new loci associated with breast cancer risk.","Breast cancer","10,052 European ancestry cases, 12,575 European ancestry controls","45,290 European ancestry cases, 41,880 European ancestry controls","10p12.31",10,22315843,"DNAJC1","DNAJC1 - ADIPOR1P1",64215,645220,"rs11814448-C","rs11814448",11814448,"Intergenic",1,0.02,9E-16,15.0458,"",1.26,1.26,"[1.18-1.35]","Illumina & Affymetrix [~2.6 million] (Imputed)","N",437,"2013-09-12",0,1,85,"Breast cancer",1,174.11,NULL,NULL,NULL
8264,"rs2283873",22544364,"A genome-wide association study identifies susceptibility loci for Wilms tumor.","Wilms tumor","757 European ancestry cases, 1,879 European ancestry controls","1,488 European ancestry cases, 3,851 European ancestry controls","22q12.2",22,31013296,"NR","TCN2",NULL,NULL,"rs2283873-A","rs2283873",2283873,"intron",0,0.02,5E-12,11.301,"",2.05,2.05,"[1.57-2.69]","Illumina [599,255]","N",2772,"2012-07-13",0,1,294,"Wilms tumor",1,189.11,NULL,NULL,NULL
11195,"rs3798220",21378990,"Large-scale association analysis identifies 13 new susceptibility loci for coronary artery disease.","Coronary heart disease","22,233 European ancestry cases, 64,762 European ancestry controls","28,834 cases, 27,674 controls, 2,115 individuals.","6q25.3",6,160961137,"LPA","LPA",NULL,NULL,"rs3798220-C","rs3798220",3798220,"missense",0,0.02,3E-11,10.5229,"",1.51,1.51,"[1.33-1.70]","Affymetrix & Illumina {~2.3 million] (imputed)","N",643,"2011-04-11",0,1,597,"Coronary heart disease",1,411,NULL,NULL,NULL
4701,"rs17482078",23291587,"Genome-wide association analysis identifies new susceptibility loci for Beh&#x000e7;et's disease and epistasis between HLA-B*51 and ERAP1.","Behcet's disease","435 Turkish cases with uveitis, 780 Turkish cases without uveitis, 1,278 Turkish controls","355 Turkish cases with uveitis, 483 Turkish cases without uveitis, 601 Turkish controls, up to 612 Japanese ancestry cases, up to 740 Japanese ancestry controls","5q15",5,96118866,"ERAP1","ERAP1",NULL,NULL,"rs17482078-T","rs17482078",17482078,"missense",0,0.02,5E-11,10.301,"(Turkish cases with Uveitis - Recessive Model)",4.56,4.56,"[2.88-7.22]","Illumina [779,465] (imputed)","N",266,"2013-03-27",0,1,1431,"Behcet's disease",1,711.3,NULL,NULL,NULL
4702,"rs17482078",23291587,"Genome-wide association analysis identifies new susceptibility loci for Beh&#x000e7;et's disease and epistasis between HLA-B*51 and ERAP1.","Behcet's disease","435 Turkish cases with uveitis, 780 Turkish cases without uveitis, 1,278 Turkish controls","355 Turkish cases with uveitis, 483 Turkish cases without uveitis, 601 Turkish controls, up to 612 Japanese ancestry cases, up to 740 Japanese ancestry controls","5q15",5,96118866,"ERAP1","ERAP1",NULL,NULL,"rs17482078-T","rs17482078",17482078,"missense",0,0.02,4E-8,7.39794,"(All Turkish cases - Recessive Model)",3.08,3.08,"[2.04-4.65]","Illumina [779,465] (imputed)","N",264,"2013-03-27",0,1,1431,"Behcet's disease",1,711.3,NULL,NULL,NULL
6354,"rs2066847",23128233,"Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.","Crohn's disease","Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls","Up to 25,683 European ancestry cases, up to 17,015 European ancestry controls","16q12.1",16,50763778,"NOD2,ADCY7","NOD2",NULL,NULL,"rs2066847-T","rs2066847",2066847,"frameshift",0,0.024,6E-209,208.222,"",3.10,3.10,"[1.497-1.618]","Affyemtrix & Illumina [1.23 million] (imputed)","N",665,"2013-02-12",0,1,1,"Crohn's disease",1,555.1,NULL,NULL,NULL
11818,"rs11564258",21102463,"Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.","Crohn's disease","6,333 European ancestry cases, 15,056 European ancestry controls","15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry parent-offspring trios","12q12",12,40792300,"MUC19,LRRK2","MUC19",NULL,NULL,"rs11564258-A","rs11564258",11564258,"intron",0,0.025,6E-21,20.2218,"",1.74,1.74,"[1.55-1.95]","Affymetrix & Illumina [953,241] (imputed)","N",665,"2012-10-19",0,1,1,"Crohn's disease",1,555.1,NULL,NULL,NULL
6433,"rs11564258",23128233,"Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.","Inflammatory bowel disease","12,924 European ancestry cases, 21,442 European ancestry controls","25,683 European ancestry cases, 17,015 European ancestry controls","12q12",12,40792300,"LRRK2,MUC19","MUC19",NULL,NULL,"rs11564258-A","rs11564258",11564258,"intron",0,0.025,6E-29,28.2218,"",1.33,1.33,"[1.217-1.461]","Affymetrix & Illumina [1.23 million](imputed)","N",1232,"2013-02-12",0,1,333,"Inflammatory bowel disease",1,555,NULL,NULL,NULL
16108,"rs5029939",19165918,"Genetic variants near TNFAIP3 on 6q23 are associated with systemic lupus erythematosus.","Systemic lupus erythematosus","431 cases,2,155 controls","740 trios","6q23.3",6,138195723,"TNFAIP3","TNFAIP3",NULL,NULL,"rs5029939-?","rs5029939",5029939,"intron",0,0.03,3E-12,11.5229,"",2.28,2.28,"[NR]","Affymetrix[313,238]","N",2539,"2008-11-25",0,1,38,"Systemic lupus erythematosus",1,695.42,NULL,NULL,NULL
10726,"rs8030672",21642993,"Genome-wide association study identifies three new susceptibility loci for esophageal squamous-cell carcinoma in Chinese populations.","Esophageal cancer","2,031 Han Chinese cases, 2,044 Han Chinese controls","3,986 Han Chinese cases, 4,157 Han Chinese controls","15q23",15,69059084,"ANP32A","CORO2B - ANP32A",10391,8125,"rs8030672-A","rs8030672",8030672,"Intergenic",1,0.03,1E-11,11,"",1.56,1.56,"[1.37-1.78]","Affymetrix [666,141]","N",819,"2011-06-16",0,1,65,"Esophageal cancer",1,150,NULL,NULL,NULL
16386,"rs2395029",18369459,"A genome-wide association study of psoriasis and psoriatic arthritis identifies new disease loci.","Psoriasis","218 cases,519 controls","1,153 cases,1,217 controls","6p21.33",6,31431780,"HLA-C","HCP5",NULL,NULL,"rs2395029-C","rs2395029",2395029,"ncRNA",0,0.03,2E-26,25.699,"",4.10,4.10,"[3.10-5.30]","Illumina[305,983]","N",2116,"2008-11-25",0,1,104,"Psoriasis",1,696.4,NULL,NULL,NULL
11466,"rs34372695",21292315,"Imputation of sequence variants for identification of genetic risks for Parkinson's disease: a meta-analysis of genome-wide association studies.","Parkinson's disease","5,333 European ancestry cases, 12,019 European ancestry controls","7,053 European ancestry cases, 9,007 European ancestry controls","1q22",1,156030037,"SYT11","RAB25",NULL,NULL,"rs34372695-T","rs34372695",34372695,"nearGene-5",0,0.03,4E-12,11.3979,"",1.47,1.47,"[1.35-1.59]","Illumina [7,689,524] (imputed)","N",1918,"2011-03-18",0,1,136,"Parkinson's disease",1,332,NULL,NULL,NULL
15548,"rs2395029",19115949,"Genomewide association study of an AIDS-nonprogression cohort emphasizes the role played by HLA genes (ANRS Genomewide Association Study 02).","AIDS progression","275 HIV positive patients, 1,438 controls","626 patients","6p21.33",6,31431780,"HCP5, MICB, MCCD1, BAT1, LTB, TNF","HCP5",NULL,NULL,"rs2395029-G","rs2395029",2395029,"ncRNA",0,0.03,3E-19,18.5229,"",3.47,3.47,"[2.39-5.04]","Illumina [291,119]","N",116,"2009-01-16",0,1,162,"AIDS progression",1,"071",NULL,NULL,NULL
14815,"rs2089222",19684603,"Germline genomic variants associated with childhood acute lymphoblastic leukemia.","Acute lymphoblastic leukemia (childhood)","317 European descent cases, 17,958 European descent controls","NR","12q24.22",12,117002658,"KRTHB5","MAP1LC3B2",NULL,NULL,"rs2089222-A","rs2089222",2089222,"intron",0,0.03,8E-8,7.09691,"",2.26,2.26,"[1.60-3.0]","Affymetrix [307,944]","N",12,"2009-09-11",0,0,183,"Acute lymphoblastic leukemia (childhood)",1,204.11,NULL,NULL,NULL
2555,"rs11109072",23563609,"Genome-wide SNP and CNV analysis identifies common and low-frequency variants associated with severe early-onset obesity.","Obesity (early onset extreme)","1,509 European ancestry cases, 5,380 European ancestry controls","971 European ancestry cases, 1,990 European ancestry controls","12q23.1",12,97901270,"RMST","RMST",NULL,NULL,"rs11109072-A","rs11109072",11109072,"intron",0,0.03,4E-9,8.39794,"",1.67,1.67,"[1.41-1.99]","Affymetrix [~2 million] (Imputed)","N",1720,"2013-10-24",0,1,399,"Obesity (early onset extreme)",1,278.11,NULL,NULL,NULL
9521,"rs16948876",22019778,"Identification of two new loci at IL23R and RAB32 that influence susceptibility to leprosy.","Leprosy","706 Chinese ancestry cases, 5,581 Chinese ancestry controls","3,301 Chinese ancestry cases, 5,299 Chinese ancestry controls","16q12.1",16,50854418,"CYLD","CYLD - SOD1P2",1540,100652974,"rs16948876-A","rs16948876",16948876,"Intergenic",1,0.03,2E-10,9.69897,"",1.56,1.56,"[1.36-1.79]","NR [1,701,673] (imputed)","N",1316,"2011-11-24",0,1,1503,"Leprosy",1,"031.1",NULL,NULL,NULL
16984,"rs16901979",17401366,"Genome-wide association study identifies a second prostate cancer susceptibility variant at 8q24.","Prostate cancer","1,453 cases,3,064 controls","1,210 EA cases, 2,445 EA controls; 373 AA cases, 372 AA controls","8q24.21",8,128124916,"Intergenic","SRRM1P1 - POU5F1B",401475,5462,"rs16901979-A","rs16901979",16901979,"Intergenic",1,"0.03 (EA)",1E-12,12,"(EA)",1.79,1.79,"[1.53-2.11] (EA)","Illumina[316,515]","N",2032,"2008-11-25",0,1,177,"Prostate cancer",1,185,NULL,NULL,NULL
11937,"rs2395029",21051598,"The major genetic determinants of HIV-1 control affect HLA class I peptide presentation.","HIV-1 control","516 European cases, 1,196 European controls, 341 African American cases, 892 African American controls, 117 Hispanic controls, 560 Hispanic controls","NR","6p21.33",6,31431780,"HLA-B","HCP5",NULL,NULL,"rs2395029-G","rs2395029",2395029,"ncRNA",0,0.032,1E-25,25,"(European)",5.30,5.30,"[NR]","Illumina [1,384,048] (imputed)","N",1067,"2011-01-13",0,1,1358,"HIV-1 control",1,"071",NULL,NULL,NULL
2765,"rs132390",23535729,"Large-scale genotyping identifies 41 new loci associated with breast cancer risk.","Breast cancer","10,052 European ancestry cases, 12,575 European ancestry controls","45,290 European ancestry cases, 41,880 European ancestry controls","22q12.2",22,29621477,"EMID1, RHBDD3, EWSR1, CHEK2","EMID1",NULL,NULL,"rs132390-C","rs132390",132390,"intron",0,0.036,3E-9,8.52288,"",1.12,1.12,"[1.07-1.18]","Illumina & Affymetrix [~2.6 million] (Imputed)","N",437,"2013-09-12",0,1,85,"Breast cancer",1,174.11,NULL,NULL,NULL
14515,"rs2230926",19838193,"Genome-wide association study in a Chinese Han population identifies nine new susceptibility loci for systemic lupus erythematosus.","Systemic lupus erythematosus","1,047 Chinese Han cases, 1,205 Chinese Han controls","3,152 Chinese Han cases, 7,050 Chinese Han controls","6q23.3",6,138196066,"TNFAIP3","TNFAIP3",NULL,NULL,"rs2230926-C","rs2230926",2230926,"missense",0,0.04,1E-17,17,"",1.72,1.72,"[1.52-1.94]","Illumina [493,955]","N",2539,"2009-11-09",0,1,38,"Systemic lupus erythematosus",1,695.42,NULL,NULL,NULL
8627,"rs34778348",22438815,"Comprehensive research synopsis and systematic meta-analyses in Parkinson's disease genetics: The PDGene database.","Parkinson's disease","2,197 cases, 2,061 controls","Up to 98,080 individuals of European and Asian ancestry","12q12",12,40757328,"LRRK2","LRRK2",NULL,NULL,"rs34778348-?","rs34778348",34778348,"missense",0,0.04,3E-21,20.5229,"(Asian)",2.23,2.23,"[1.89-2.63]","Illumina and Perlegen [7,123,920] (imputed)","N",1919,"2012-05-18",0,1,136,"Parkinson's disease",1,332,NULL,NULL,NULL
14677,"rs16901979",19767754,"Genome-wide association and replication studies identify four variants associated with prostate cancer susceptibility.","Prostate cancer","Up to 1,968 Icelandic cases, 35,382 Icelandic controls","Up to 11,806 European descent cases, 12,387 European descent controls","8q24.21",8,128124916,"Intergenic","SRRM1P1 - POU5F1B",401475,5462,"rs16901979-A","rs16901979",16901979,"Intergenic",1,0.04,3E-14,13.5229,"",1.80,1.80,"[1.55-2.09]","Illumina [310,520]","N",2025,"2009-10-05",0,1,177,"Prostate cancer",1,185,NULL,NULL,NULL
13654,"rs7809799",20228798,"Genome-wide association study for ulcerative colitis identifies risk loci at 7q22 and 22q13 (IL17REL).","Ulcerative colitis","1,043 German cases, 1,703 German controls","2,539 European descent cases, 5,428 European descent controls","7q22.1",7,98760504,"SMURF1,KPNA7","SMURF1 - KPNA7",57154,402569,"rs7809799-G","rs7809799",7809799,"Intergenic",1,0.04,9E-11,10.0458,"",1.56,1.56,"[1.36-1.78]","Affymetrix [1,897,764] (imputed)","N",2656,"2010-03-24",0,1,181,"Ulcerative colitis",1,555.2,NULL,NULL,NULL
1012,"rs7903146",23945395,"Genome-wide association study identifies three novel loci for type 2 diabetes.","Type 2 diabetes","5,976 Japanese ancestry cases, 20,829 Japanese ancestry controls","18,207 Japanese ancestry cases, 6,780 Japanese ancestry controls, 6,209 Chinese ancestry cases, 7,205 Chinese ancestry controls","10q25.2",10,114758349,"TCF7L2","TCF7L2",NULL,NULL,"rs7903146-T","rs7903146",7903146,"intron",0,0.04,2E-15,14.699,"",1.48,1.48,"[1.34-1.63]","Illumina [6,209,637] (Imputed)","N",2634,"2014-03-11",0,1,356,"Type 2 diabetes",1,250.2,NULL,NULL,NULL
15223,"rs7903146",19401414,"Confirmation of multiple risk Loci and genetic impacts by a genome-wide association study of type 2 diabetes in the Japanese population.","Type 2 diabetes","519 Japanese ancestry cases, 503 Japanese ancestry controls","5,629 Japanese ancestry cases, 7,370 Japanese ancestry controls","10q25.2",10,114758349,"TCF7L2","TCF7L2",NULL,NULL,"rs7903146-T","rs7903146",7903146,"intron",0,0.04,8E-12,11.0969,"",1.54,1.54,"[1.36-1.74]","Illumina [482,625]","N",2634,"2009-05-07",0,1,356,"Type 2 diabetes",1,250.2,NULL,NULL,NULL
2319,"rs145848414",23571587,"Variants in the ATP-binding cassette transporter (ABCA7), apolipoprotein E &#x003f5;4,and the risk of late-onset Alzheimer disease in African Americans.","Alzheimer's disease (late onset)","1,968 African American cases, 3,928 African American controls",NULL,"5q35.2",5,174014114,"Intergenic","SUMO2P6 - HIGD1AP3",100127922,100859920,"rs145848414-A","rs145848414",145848414,"Intergenic",1,0.04,7E-8,7.1549,"",2.29,2.29,"[1.69-3.09]","Illumina [17,332,474] (Imputed)","N",153,"2013-08-24",0,0,890,"Alzheimer's disease (late onset)",1,290.11,NULL,NULL,NULL
