SNP	pheno	maf	PheWAS_MAF_W	prev	table	minN	jd_string	PheWAS_OR	PheWAS_P	logit_OR	logit_p-val	fisher_OR	fisher_pval	exact_OR	exact_p-val	pval_norm	bayes factor
exm1048192	pheno_362.29	1.093e-03	0.001093	9.834e-03	[[26428, 54], [257, 6]]	6	Macular degeneration (senile) of retina NOS	17.79	2.331e-09	13.10	3.154e-08	11.43	2.741e-05	11.43	8.963e-04	7.492e-03	48.56
exm1050291	pheno_624	1.564e-03	0.001564	5.804e-03	[[13834, 42], [77, 4]]	4	Symptoms involving female genital tract	17.45	9.963e-08	0.00	0.000e+00	17.11	1.427e-04	17.11	2.024e-03	8.471e-03	16.68
exm1052799	pheno_802	1.046e-03	0.001046	8.456e-03	[[22307, 43], [197, 4]]	4	Fracture of pelvis	18.51	8.998e-08	17.47	1.293e-07	10.53	8.095e-04	10.53	3.857e-03	1.249e-02	12.46
exm1052962	pheno_870.6	4.224e-03	0.004222	8.769e-04	[[25989, 210, 0], [20, 2, 1]]	4.0	Open wound of neck	20.35	2.129e-08	20.52	1.443e-08	23.67	3.846e-05	23.67	1.213e-03	6.121e-03	20.36
exm1053243	pheno_731	1.761e-03	0.001761	1.381e-03	[[22037, 72], [29, 3]]	3	Osteitis deformans and osteopathies associated with other disorders classified elsewhere	39.59	4.889e-09	36.48	8.371e-09	31.66	1.725e-04	31.66	2.025e-03	3.744e-03	9.72
exm1053243	pheno_394.2	1.761e-03	0.001761	5.848e-03	[[21684, 71], [131, 5]]	5	Mitral valve disease	13.55	4.214e-08	13.17	5.371e-08	11.66	1.115e-04	11.66	1.611e-03	9.291e-03	26.56
exm1054490	pheno_642.1	2.418e-03	0.002417	6.860e-03	[[15062, 72], [100, 5]]	5	Preeclampsia and eclampsia	13.0	1.225e-07	0.00	0.000e+00	10.46	1.881e-04	10.46	2.004e-03	1.004e-02	23.51
exm1054959	pheno_333.8	2.002e-03	0.002001	1.408e-03	[[22597, 94], [29, 3]]	3	Other degenerative diseases of the basal ganglia	27.09	1.403e-07	27.65	9.659e-08	24.87	3.419e-04	24.87	2.635e-03	5.527e-03	9.18
exm1055697	pheno_626.11	1.093e-03	0.001093	1.442e-02	[[11050, 21], [157, 5]]	5	Absent or infrequent menstruation	15.16	1.011e-07	0.00	0.000e+00	16.76	3.019e-05	16.76	1.343e-03	7.740e-03	29.02
exm1056970	pheno_597.8	2.675e-03	0.002674	6.178e-03	[[26410, 133], [158, 7]]	7	Urethral hypermobility/ISD	9.79	1.461e-08	9.33	2.462e-08	8.80	2.727e-05	8.80	7.132e-04	6.563e-03	68.20
exm1057912	pheno_715.2	1.093e-03	0.001093	2.300e-03	[[24254, 42], [53, 3]]	3	Ankylosing spondylitis	38.39	5.743e-09	38.27	4.063e-09	32.69	1.526e-04	32.69	1.884e-03	3.519e-03	9.92
exm1058296	pheno_876	6.393e-03	0.006391	1.980e-03	[[25877, 321, 5], [47, 4, 1]]	6.0	Posttraumatic wound infection not elsewhere classified	8.3	1.224e-07	8.15	1.485e-07	9.63	5.979e-05	9.63	1.069e-03	8.061e-03	43.18
exm1059236	pheno_292.2	1.161e-03	0.00116	1.452e-03	[[24003, 60], [32, 3]]	3	Mild cognitive impairment	51.25	7.941e-10	43.77	1.978e-09	37.50	1.050e-04	37.50	1.664e-03	2.711e-03	10.11
exm1060234	pheno_530.6	1.379e-03	0.001379	2.129e-03	[[19171, 49], [38, 3]]	3	Diverticulum of esophagus, acquired	36.76	3.457e-08	34.31	2.727e-08	30.89	1.840e-04	30.89	2.061e-03	3.906e-03	9.70
exm1062820	pheno_526.3	3.484e-03	0.003483	1.343e-03	[[27308, 186], [33, 4]]	4	Anomalies of jaw size/symmetry	18.07	1.147e-07	17.33	1.738e-07	17.80	1.215e-04	17.80	1.902e-03	8.164e-03	17.14
exm106534	pheno_743.21	1.043e-03	0.001043	7.582e-03	[[22988, 44], [171, 5]]	5	Pathologic fracture of vertebrae	15.89	3.237e-08	15.63	2.785e-08	15.28	3.449e-05	15.28	1.130e-03	7.884e-03	32.02
exm1065517	pheno_292.1	7.503e-03	0.007517	2.135e-02	[[23711, 350, 2], [502, 22, 1]]	24.0	Aphasia/speech disturbance	3.07	1.397e-07	3.11	9.841e-08	3.16	2.731e-06	3.16	5.014e-05	4.865e-04	1346.95
exm106603	pheno_282.9	1.564e-03	0.001564	4.232e-03	[[19000, 57], [76, 5]]	5	Other hereditary hemolytic anemias	23.45	6.558e-10	22.69	1.241e-09	21.93	6.420e-06	21.93	6.740e-04	6.114e-03	40.48
exm106603	pheno_283.2	1.564e-03	0.001564	3.347e-03	[[19000, 57], [60, 4]]	4	Non-autoimmune hemolytic anemias	23.38	5.008e-09	23.01	5.217e-09	22.22	5.161e-05	22.22	1.388e-03	6.582e-03	19.28
exm106603	pheno_282	1.564e-03	0.001564	5.635e-03	[[19000, 57], [103, 5]]	5	Hereditary hemolytic anemias	17.02	1.19e-08	16.58	1.852e-08	16.18	2.595e-05	16.18	1.013e-03	7.567e-03	33.79
exm1066104	pheno_370.1	1.792e-03	0.001792	2.718e-03	[[22687, 74], [63, 4]]	4	Corneal ulcer	20.26	1.675e-08	20.22	1.456e-08	19.47	8.209e-05	19.47	1.582e-03	7.452e-03	18.47
exm1066585	pheno_735.22	1.615e-03	0.001614	9.093e-04	[[26286, 82, 1], [21, 3, 0]]	3.0	Claw toe (acquired)	32.83	8.095e-09	32.88	5.401e-09	41.79	7.088e-05	41.79	1.352e-03	2.131e-03	10.68
exm1068060	pheno_710	2.693e-03	0.002692	2.359e-02	[[24158, 128, 1], [571, 16, 0]]	16.0	Osteomyelitis, periostitis, and other infections involving bone	4.93	1.993e-09	4.94	1.783e-09	5.15	4.131e-07	5.15	4.270e-05	8.933e-04	1331.82
exm1068060	pheno_710.1	2.693e-03	0.002692	2.265e-02	[[24158, 128, 1], [548, 15, 0]]	15.0	Osteomyelitis	4.8	9.585e-09	4.82	8.530e-09	5.03	1.192e-06	5.03	7.439e-05	1.210e-03	789.78
exm1068136	pheno_816	1.430e-03	0.001429	1.252e-03	[[28631, 77, 1], [33, 3, 0]]	3.0	Cerebral laceration and contusion	24.42	6.327e-08	25.17	3.412e-08	31.56	1.554e-04	31.56	1.779e-03	3.700e-03	10.22
exm1068322	pheno_255.3	1.496e-02	0.01495	1.165e-03	[[24966, 754, 6], [22, 8, 0]]	8.0	Adrenogenital disorders	10.96	9.587e-10	10.36	2.669e-09	10.18	3.220e-06	10.18	3.311e-04	4.783e-03	139.05
exm1069490	pheno_286.12	1.026e-03	0.001026	1.504e-03	[[22509, 49], [31, 3]]	3	Congenital deficiency of other clotting factors (including factor VII)	48.98	5.778e-10	47.38	6.386e-10	44.45	6.544e-05	44.45	1.415e-03	1.875e-03	10.33
exm1070202	pheno_187.2	1.161e-03	0.00116	4.895e-03	[[11774, 18], [55, 3]]	3	Malignant neoplasm of testis	35.26	3.118e-08	0.00	0.000e+00	35.68	1.390e-04	35.68	2.049e-03	3.057e-03	9.44
exm1073244	pheno_599.8	4.609e-03	0.004608	1.816e-03	[[21779, 203, 0], [36, 3, 1]]	5.0	Other symptoms involving urinary system	13.15	3.977e-08	13.65	2.311e-08	14.37	4.036e-05	14.37	1.083e-03	8.048e-03	32.85
exm1073661	pheno_149.3	4.475e-03	0.004473	1.533e-03	[[27757, 244], [38, 5]]	5	Cancer of hypopharynx	14.71	2.607e-08	15.39	1.467e-08	14.97	3.874e-05	14.97	1.196e-03	8.019e-03	31.11
exm107506	pheno_259.8	4.979e-03	0.004978	8.932e-04	[[25473, 249, 6], [19, 4, 0]]	4.0	Polyglandular activity in multiple endocrine adenomatosis	12.87	8.258e-08	12.77	8.658e-08	18.68	9.433e-05	18.68	1.649e-03	7.725e-03	18.23
exm1077952	pheno_800.2	1.363e-03	0.001363	8.920e-03	[[25374, 63, 0], [224, 4, 1]]	6.0	Fracture of unspecified part of femur	9.34	1.238e-07	9.22	1.655e-07	10.71	3.640e-05	10.71	9.433e-04	7.682e-03	46.96
exm1078163	pheno_375	1.026e-03	0.001026	3.821e-03	[[25757, 53], [95, 4]]	4	Disorders of lacrimal system	20.3	1.373e-08	20.17	1.359e-08	20.46	6.782e-05	20.46	1.480e-03	7.104e-03	18.94
exm1079829	pheno_474.1	1.178e-03	0.001177	1.478e-03	[[20890, 52], [28, 3]]	3	Acute tonsillitis	43.89	4.229e-09	42.64	7.227e-09	43.04	7.282e-05	43.04	1.487e-03	2.024e-03	10.21
exm1081043	pheno_575.1	2.127e-03	0.002126	8.587e-03	[[27165, 109], [229, 8]]	8	Cholangitis	8.96	4.589e-09	8.78	5.664e-09	8.71	8.200e-06	8.71	4.009e-04	5.033e-03	119.70
exm1081043	pheno_571.6	2.127e-03	0.002126	1.011e-02	[[23127, 101], [229, 8]]	8	Primary biliary cirrhosis	8.09	2.444e-08	7.70	4.811e-08	8.00	1.521e-05	8.00	5.110e-04	5.323e-03	100.43
exm1081369	pheno_571.6	1.247e-03	0.001247	1.011e-02	[[23206, 53], [232, 6]]	6	Primary biliary cirrhosis	11.43	2.793e-08	10.76	5.413e-08	11.32	2.917e-05	11.32	9.239e-04	7.546e-03	47.67
exm1081492	pheno_451.2	3.666e-02	0.03666	9.459e-03	[[21030, 1561, 28], [181, 32, 3]]	38.0	Phlebitis and thrombophlebitis of lower extremities	2.63	2.257e-08	2.63	2.231e-08	2.60	6.987e-07	2.60	1.176e-05	1.102e-04	5833.34
exm1081887	pheno_523.3	2.586e-02	0.02586	3.369e-03	[[26104, 1387, 2], [76, 17, 0]]	17.0	Periodontitis (acute or chronic)	4.19	9.828e-08	4.15	1.097e-07	3.88	6.613e-06	3.88	1.336e-04	1.242e-03	501.16
exm1084167	pheno_149.3	2.507e-03	0.002506	1.533e-03	[[27865, 135], [39, 4]]	4	Cancer of hypopharynx	25.43	2.022e-09	26.40	1.290e-09	21.17	6.139e-05	21.17	1.466e-03	6.902e-03	18.95
exm1084167	pheno_592.13	2.507e-03	0.002506	3.098e-03	[[21132, 107], [61, 5]]	5	Chronic interstitial cystitis	14.13	4.967e-08	14.12	4.076e-08	16.19	2.540e-05	16.19	9.919e-04	7.544e-03	34.17
exm1085535	pheno_112.3	3.006e-03	0.003005	3.836e-03	[[25458, 149, 0], [93, 6, 0]]	6.0	Candidiasis of skin and nails	11.12	2.072e-08	11.09	2.110e-08	10.71	3.281e-05	10.71	8.415e-04	7.545e-03	50.17
exm1086230	pheno_642.1	2.431e-03	0.002431	6.860e-03	[[15075, 78], [99, 6]]	6	Preeclampsia and eclampsia	14.26	2.77e-09	0.00	0.000e+00	11.71	2.421e-05	11.71	8.603e-04	7.399e-03	49.71
exm1086230	pheno_575.1	2.431e-03	0.002431	8.587e-03	[[27137, 126], [229, 8]]	8	Cholangitis	7.8	3.557e-08	7.74	3.491e-08	7.52	2.217e-05	7.52	5.716e-04	5.497e-03	92.06
exm1086336	pheno_523.1	2.777e-03	0.002776	7.647e-03	[[27355, 144, 1], [204, 8, 0]]	8.0	Gingivitis	6.91	1.048e-07	6.85	1.216e-07	7.23	2.709e-05	7.23	5.882e-04	5.571e-03	89.48
exm1086782	pheno_010	1.178e-03	0.001195	1.799e-03	[[24891, 59], [42, 3]]	3	Tuberculosis	34.91	1.101e-08	32.56	1.499e-08	30.13	1.915e-04	30.13	2.045e-03	4.055e-03	9.77
exm1092064	pheno_580.4	2.664e-03	0.002664	3.894e-03	[[22092, 112], [82, 5]]	5	Renal sclerosis, NOS	12.01	1.378e-07	12.27	1.022e-07	12.03	9.584e-05	12.03	1.514e-03	9.089e-03	27.48
exm1094882	pheno_157	1.486e-03	0.001485	8.602e-03	[[25191, 75], [214, 6]]	6	Pancreatic cancer	10.15	9.127e-08	9.66	1.744e-07	9.42	7.314e-05	9.42	1.219e-03	8.299e-03	39.90
exm1095188	pheno_271.9	1.077e-03	0.001076	6.754e-04	[[29528, 59, 1], [18, 2, 0]]	2.0	Other disorders of carbohydrate transport and metabolism	46.52	1.387e-07	60.00	5.634e-08	51.01	8.465e-04	51.01	2.397e-03	4.893e-04	4.64
exm1097059	pheno_743.22	1.514e-03	0.001514	4.279e-03	[[22973, 58], [95, 4]]	4	Pathologic fracture of femur	17.48	7.029e-08	17.48	7.088e-08	16.68	1.456e-04	16.68	1.930e-03	8.554e-03	17.10
exm1097680	pheno_701.3	1.161e-03	0.00116	1.965e-03	[[26348, 61], [49, 3]]	3	Circumscribed scleroderma	29.18	4.539e-08	28.78	4.743e-08	26.44	2.740e-04	26.44	2.326e-03	4.997e-03	9.53
exm1097680	pheno_258	1.161e-03	0.00116	2.288e-03	[[25669, 58], [56, 3]]	3	Iatrogenic endocrine disorders	25.99	1.21e-07	26.07	1.024e-07	23.71	3.726e-04	23.71	2.621e-03	5.869e-03	9.26
exm1098203	pheno_360.2	2.676e-03	0.002676	1.659e-03	[[26326, 136, 1], [41, 2, 1]]	4.0	Progressive myopia	15.31	3.603e-08	14.65	5.151e-08	18.22	9.661e-05	18.22	1.569e-03	7.815e-03	18.70
exm1099035	pheno_871.3	1.935e-03	0.001934	2.170e-03	[[26112, 94, 1], [53, 4, 0]]	4.0	Open wound of foot except toe(s) alone	19.37	8.215e-09	16.49	4.671e-08	19.82	7.026e-05	19.82	1.402e-03	7.233e-03	19.53
exm1099035	pheno_110.13	1.935e-03	0.001934	3.372e-03	[[25613, 96, 1], [83, 4, 0]]	4.0	Dermatophytosis of the body	14.77	1.398e-07	11.35	1.407e-06	12.32	4.105e-04	12.32	2.691e-03	1.078e-02	14.80
exm1101699	pheno_530.9	4.425e-03	0.004423	9.380e-03	[[19060, 157, 0], [173, 9, 0]]	9.0	Heartburn	6.41	1.359e-07	6.43	1.232e-07	6.18	2.966e-05	6.18	5.464e-04	4.806e-03	105.08
exm1105441	pheno_586.3	5.535e-03	0.005533	1.525e-03	[[22023, 228, 5], [29, 5, 0]]	5.0	Vascular disorders of kidney/hypertrophy	12.64	1.053e-08	11.95	1.385e-08	14.76	3.638e-05	14.76	1.064e-03	7.936e-03	33.14
exm1106680	pheno_642.1	2.195e-03	0.002194	6.860e-03	[[15084, 68], [99, 6]]	6	Preeclampsia and eclampsia	16.33	5.561e-10	0.00	0.000e+00	13.44	1.167e-05	13.44	6.886e-04	6.898e-03	56.73
exm1107163	pheno_728.1	1.464e-03	0.001463	9.753e-04	[[23500, 58, 2], [20, 3, 0]]	3.0	Muscular calcification and ossification	27.2	1.042e-08	27.51	7.080e-09	52.95	3.634e-05	52.95	1.075e-03	1.193e-03	10.98
exm1108572	pheno_642.1	1.758e-03	0.001757	6.860e-03	[[15080, 56], [99, 5]]	5	Preeclampsia and eclampsia	17.06	7.832e-09	0.00	0.000e+00	13.60	5.901e-05	13.60	1.348e-03	8.505e-03	29.23
exm1110501	pheno_642.1	3.165e-03	0.003164	6.860e-03	[[15024, 100], [97, 7]]	7	Preeclampsia and eclampsia	12.14	1.877e-09	0.00	0.000e+00	10.84	8.425e-06	10.84	5.147e-04	5.989e-03	85.62
exm1110501	pheno_697	3.165e-03	0.003164	1.112e-02	[[24937, 154], [270, 11]]	11	Sarcoidosis	6.2	1.088e-08	6.45	4.777e-09	6.60	2.466e-06	6.60	1.607e-04	2.610e-03	330.48
exm1110501	pheno_575.1	3.165e-03	0.003164	8.587e-03	[[27036, 165], [224, 9]]	9	Cholangitis	6.85	3.991e-08	6.80	4.082e-08	6.58	1.912e-05	6.58	4.658e-04	4.577e-03	119.43
exm1114645	pheno_459.9	3.445e-03	0.003444	1.693e-02	[[21150, 136], [377, 11]]	11	Circulatory disease NEC	5.62	9.887e-08	5.31	2.089e-07	4.54	7.067e-05	4.54	7.013e-04	4.192e-03	99.08
exm1116107	pheno_539	1.060e-03	0.00106	7.219e-03	[[29367, 58], [209, 5]]	5	Bariatric surgery	13.54	4.434e-08	13.58	4.187e-08	12.11	9.364e-05	12.11	1.516e-03	9.065e-03	27.49
exm1116495	pheno_259.8	1.262e-03	0.001261	8.932e-04	[[25671, 54, 2], [20, 3, 0]]	3.0	Polyglandular activity in multiple endocrine adenomatosis	30.23	5.214e-09	32.02	2.152e-09	61.82	2.314e-05	61.82	9.148e-04	7.603e-04	11.20
exm111896	pheno_713.5	1.669e-03	0.001669	3.364e-03	[[24149, 79], [78, 4]]	4	Arthropathy associated with neurological disorders	17.43	6.843e-08	16.76	8.835e-08	15.68	1.804e-04	15.68	2.061e-03	8.993e-03	16.66
exm1119928	pheno_340.1	1.416e-03	0.001415	4.440e-03	[[27895, 75, 1], [119, 5, 0]]	5.0	Migrain with aura	13.72	1.385e-08	13.40	1.950e-08	14.93	3.327e-05	14.93	1.003e-03	7.834e-03	34.20
exm112120	pheno_703.8	1.497e-03	0.001497	1.576e-03	[[27795, 82], [41, 3]]	3	Other specified diseases of nail	25.49	1.264e-07	25.21	1.188e-07	24.80	3.295e-04	24.80	2.507e-03	5.505e-03	9.36
exm1124179	pheno_573.2	1.909e-02	0.01908	1.492e-02	[[22451, 833, 5], [312, 32, 9]]	50.0	Liver replaced by transplant	4.0	2.233e-20	4.02	1.851e-20	4.14	2.859e-11	4.14	nan	2.967e-07	nan
exm1124179	pheno_270.3	1.909e-02	0.01908	1.706e-02	[[26634, 994, 6], [437, 30, 13]]	56.0	Disorders of plasma protein metabolism	3.29	2.182e-17	3.29	2.000e-17	3.34	-5.521e-11	3.34	nan	3.363e-07	nan
exm1124179	pheno_571.51	1.909e-02	0.01908	2.985e-02	[[22451, 833, 5], [654, 54, 9]]	72.0	Cirrhosis of liver without mention of alcohol	2.82	1.548e-16	2.83	1.127e-16	2.87	2.642e-11	2.87	nan	7.701e-08	nan
exm1124179	pheno_270	1.909e-02	0.01908	2.072e-02	[[26634, 994, 6], [537, 34, 13]]	60.0	Disorders of protein plasma/amino-acid transport and metabolism	2.85	7.998e-15	2.84	8.927e-15	2.92	2.399e-11	2.92	nan	5.600e-07	nan
exm1124179	pheno_851	1.909e-02	0.01908	1.763e-02	[[24137, 904, 11], [408, 33, 9]]	51.0	Complications of transplants and reattached limbs	3.05	1.688e-14	3.01	2.946e-14	3.19	-2.687e-11	3.19	nan	1.473e-06	nan
