ind	SNP	pheno	maf	prev	table	minN	logit_OR	logit_p-val	exact_OR	exact_p-val	bayes factor
82	exm41	pheno_172.21	1.447e-03	1.003e-02	[[24008, 69], [243, 1]]	1.000e+00	1.514e+00	6.828e-01	1.432e+00	2.415e-01	1.04
85	exm41	pheno_173	1.447e-03	6.963e-02	[[24008, 69], [1799, 3]]	3.000e+00	5.851e-01	3.659e-01	5.802e-01	1.682e-01	1.82
86	exm41	pheno_174	1.447e-03	5.784e-02	[[25544, 77], [1568, 5]]	5.000e+00	1.049e+00	9.212e-01	1.058e+00	3.982e-01	1.01
87	exm41	pheno_174.1	1.447e-03	1.066e-01	[[12110, 36], [1445, 5]]	5.000e+00	0.000e+00	0.000e+00	1.164e+00	3.322e-01	1.05
88	exm41	pheno_174.11	1.447e-03	1.059e-01	[[12110, 36], [1433, 5]]	5.000e+00	0.000e+00	0.000e+00	1.174e+00	3.263e-01	1.06
90	exm41	pheno_175	1.447e-03	2.855e-02	[[11198, 29], [329, 1]]	1.000e+00	0.000e+00	0.000e+00	1.174e+00	3.110e-01	1.01
94	exm41	pheno_182	1.447e-03	2.358e-02	[[12590, 36], [304, 1]]	1.000e+00	0.000e+00	0.000e+00	1.150e+00	3.172e-01	1.01
95	exm41	pheno_184	1.447e-03	3.367e-02	[[12793, 36], [444, 3]]	3.000e+00	0.000e+00	0.000e+00	2.401e+00	8.614e-02	1.86
96	exm41	pheno_184.1	1.447e-03	2.522e-02	[[12793, 36], [330, 2]]	2.000e+00	0.000e+00	0.000e+00	2.154e+00	1.277e-01	1.40
97	exm41	pheno_184.11	1.447e-03	2.031e-02	[[12793, 36], [264, 2]]	2.000e+00	0.000e+00	0.000e+00	2.692e+00	9.029e-02	1.62
98	exm41	pheno_184.2	1.447e-03	1.209e-02	[[12793, 36], [155, 2]]	2.000e+00	0.000e+00	0.000e+00	4.585e+00	4.120e-02	2.28
99	exm41	pheno_185	1.447e-03	1.422e-01	[[9656, 28], [1598, 8]]	8.000e+00	0.000e+00	0.000e+00	1.726e+00	1.029e-01	2.05
103	exm41	pheno_189	1.447e-03	3.627e-02	[[28168, 78], [1058, 5]]	5.000e+00	1.813e+00	2.065e-01	1.707e+00	1.252e-01	1.62
104	exm41	pheno_189.1	1.447e-03	2.104e-02	[[28168, 78], [603, 4]]	4.000e+00	2.465e+00	8.176e-02	2.396e+00	6.431e-02	2.31
105	exm41	pheno_189.11	1.447e-03	1.879e-02	[[28168, 78], [537, 4]]	4.000e+00	2.764e+00	4.987e-02	2.690e+00	4.929e-02	2.71
106	exm41	pheno_189.12	1.447e-03	3.422e-03	[[28168, 78], [96, 1]]	1.000e+00	3.876e+00	1.828e-01	3.762e+00	7.520e-02	1.36
107	exm41	pheno_189.2	1.447e-03	1.729e-02	[[28168, 78], [496, 1]]	1.000e+00	7.627e-01	7.902e-01	7.281e-01	8.649e-02	1.07
108	exm41	pheno_189.21	1.447e-03	1.705e-02	[[28168, 78], [489, 1]]	1.000e+00	7.742e-01	8.016e-01	7.385e-01	9.002e-02	1.06
109	exm41	pheno_189.4	1.447e-03	6.437e-03	[[28168, 78], [181, 2]]	2.000e+00	4.090e+00	5.195e-02	3.990e+00	4.815e-02	2.11
116	exm41	pheno_195	1.447e-03	7.221e-02	[[20786, 67], [1620, 2]]	2.000e+00	3.719e-01	1.692e-01	3.830e-01	4.382e-02	5.48
117	exm41	pheno_195.1	1.447e-03	4.685e-02	[[20786, 67], [1023, 1]]	1.000e+00	2.902e-01	2.202e-01	3.033e-01	9.502e-04	4.98
119	exm41	pheno_197	1.447e-03	1.461e-01	[[20786, 67], [3560, 8]]	8.000e+00	6.855e-01	3.153e-01	6.972e-01	1.591e-01	1.75
120	exm41	pheno_198	1.447e-03	1.490e-01	[[20786, 67], [3647, 5]]	5.000e+00	4.164e-01	6.136e-02	4.253e-01	9.211e-03	18.91
121	exm41	pheno_198.1	1.447e-03	8.226e-02	[[20786, 67], [1868, 1]]	1.000e+00	1.633e-01	7.267e-02	1.661e-01	6.667e-04	269.43
122	exm41	pheno_198.2	1.447e-03	5.604e-02	[[20786, 67], [1237, 1]]	1.000e+00	2.462e-01	1.652e-01	2.508e-01	1.532e-04	11.77
124	exm41	pheno_198.4	1.447e-03	4.093e-02	[[20786, 67], [888, 2]]	2.000e+00	6.915e-01	6.092e-01	6.987e-01	4.156e-02	1.17
126	exm41	pheno_198.6	1.447e-03	3.899e-02	[[20786, 67], [843, 3]]	3.000e+00	1.084e+00	8.925e-01	1.104e+00	3.628e-01	1.01
127	exm41	pheno_198.7	1.447e-03	1.535e-02	[[20786, 67], [324, 1]]	1.000e+00	9.541e-01	9.629e-01	9.575e-01	1.673e-01	1.00
128	exm41	pheno_199	1.447e-03	7.415e-02	[[20786, 67], [1666, 4]]	4.000e+00	7.334e-01	5.482e-01	7.449e-01	3.173e-01	1.21
130	exm41	pheno_200	1.447e-03	1.873e-02	[[26896, 82], [514, 1]]	1.000e+00	6.312e-01	6.480e-01	6.381e-01	5.763e-02	1.16
139	exm41	pheno_204	1.447e-03	3.457e-02	[[26896, 82], [964, 2]]	2.000e+00	6.751e-01	5.837e-01	6.805e-01	3.635e-02	1.21
140	exm41	pheno_204.1	1.447e-03	1.598e-02	[[26896, 82], [437, 1]]	1.000e+00	7.459e-01	7.715e-01	7.506e-01	9.417e-02	1.06
141	exm41	pheno_204.11	1.447e-03	1.147e-02	[[26896, 82], [312, 1]]	1.000e+00	1.060e+00	9.543e-01	1.051e+00	3.497e-01	1.00
143	exm41	pheno_204.2	1.447e-03	1.255e-02	[[26896, 82], [342, 1]]	1.000e+00	9.488e-01	9.584e-01	9.591e-01	1.681e-01	1.00
144	exm41	pheno_204.21	1.447e-03	1.125e-02	[[26896, 82], [306, 1]]	1.000e+00	1.060e+00	9.540e-01	1.072e+00	3.418e-01	1.00
148	exm41	pheno_208	1.447e-03	8.520e-02	[[25393, 74], [2363, 9]]	9.000e+00	1.321e+00	4.370e-01	1.307e+00	2.112e-01	1.29
151	exm41	pheno_211	1.447e-03	1.365e-02	[[26659, 77], [368, 2]]	2.000e+00	1.916e+00	3.662e-01	1.882e+00	1.539e-01	1.28
153	exm41	pheno_213	1.447e-03	4.712e-03	[[22321, 66], [105, 1]]	1.000e+00	3.195e+00	2.515e-01	3.221e+00	9.052e-02	1.30
154	exm41	pheno_214	1.447e-03	8.475e-03	[[28812, 84], [246, 1]]	1.000e+00	1.401e+00	7.382e-01	1.394e+00	2.490e-01	1.03
155	exm41	pheno_214.1	1.447e-03	4.238e-03	[[28812, 84], [122, 1]]	1.000e+00	2.822e+00	3.045e-01	2.811e+00	1.060e-01	1.25
157	exm41	pheno_216	1.447e-03	5.231e-02	[[26118, 78], [1441, 5]]	5.000e+00	1.166e+00	7.400e-01	1.162e+00	3.246e-01	1.05
158	exm41	pheno_217	1.447e-03	4.824e-03	[[26118, 78], [126, 1]]	1.000e+00	2.673e+00	3.307e-01	2.658e+00	1.135e-01	1.23
159	exm41	pheno_217.1	1.447e-03	3.765e-03	[[26118, 78], [98, 1]]	1.000e+00	3.424e+00	2.240e-01	3.417e+00	8.422e-02	1.33
171	exm41	pheno_227	1.447e-03	8.330e-03	[[28370, 81], [237, 2]]	2.000e+00	2.969e+00	1.302e-01	2.956e+00	7.540e-02	1.73
174	exm41	pheno_229	1.447e-03	4.818e-03	[[29042, 83], [140, 1]]	1.000e+00	2.514e+00	3.614e-01	2.499e+00	1.221e-01	1.21
175	exm41	pheno_240	1.447e-03	1.003e-02	[[23426, 74], [237, 1]]	1.000e+00	1.335e+00	7.749e-01	1.336e+00	2.628e-01	1.02
176	exm41	pheno_241	1.447e-03	3.455e-02	[[23426, 74], [839, 2]]	2.000e+00	7.471e-01	6.863e-01	7.546e-01	6.053e-02	1.10
177	exm41	pheno_241.1	1.447e-03	1.645e-02	[[23426, 74], [391, 2]]	2.000e+00	1.606e+00	5.120e-01	1.619e+00	1.960e-01	1.17
178	exm41	pheno_241.2	1.447e-03	2.258e-02	[[23426, 74], [542, 1]]	1.000e+00	5.821e-01	5.926e-01	5.841e-01	4.211e-02	1.24
179	exm41	pheno_242	1.447e-03	2.193e-02	[[23426, 74], [526, 1]]	1.000e+00	6.094e-01	6.235e-01	6.018e-01	4.699e-02	1.21
183	exm41	pheno_244	1.447e-03	1.401e-01	[[23426, 74], [3822, 8]]	8.000e+00	6.564e-01	2.675e-01	6.626e-01	1.191e-01	2.16
184	exm41	pheno_244.1	1.447e-03	3.653e-02	[[23426, 74], [889, 2]]	2.000e+00	7.082e-01	6.318e-01	7.122e-01	4.586e-02	1.15
186	exm41	pheno_244.4	1.447e-03	1.237e-01	[[23426, 74], [3308, 8]]	8.000e+00	7.615e-01	4.744e-01	7.656e-01	2.462e-01	1.34
188	exm41	pheno_245	1.447e-03	8.187e-03	[[23426, 74], [193, 1]]	1.000e+00	1.679e+00	6.085e-01	1.640e+00	2.045e-01	1.07
190	exm41	pheno_245.2	1.447e-03	5.417e-03	[[23426, 74], [127, 1]]	1.000e+00	2.553e+00	3.551e-01	2.493e+00	1.227e-01	1.21
193	exm41	pheno_249	1.447e-03	5.634e-03	[[21467, 66], [121, 1]]	1.000e+00	2.633e+00	3.394e-01	2.688e+00	1.123e-01	1.24
194	exm41	pheno_250	1.447e-03	1.888e-01	[[21467, 66], [4997, 15]]	1.500e+01	9.876e-01	9.659e-01	9.764e-01	5.195e-01	1.00
195	exm41	pheno_250.1	1.447e-03	6.411e-02	[[21467, 66], [1472, 3]]	3.000e+00	6.591e-01	4.809e-01	6.629e-01	1.502e-02	1.36
199	exm41	pheno_250.14	1.447e-03	1.157e-02	[[21467, 66], [251, 1]]	1.000e+00	1.304e+00	7.928e-01	1.296e+00	2.729e-01	1.02
201	exm41	pheno_250.2	1.447e-03	1.784e-01	[[21467, 66], [4660, 15]]	1.500e+01	1.065e+00	8.286e-01	1.047e+00	4.138e-01	1.02
203	exm41	pheno_250.22	1.447e-03	3.634e-02	[[21467, 66], [810, 2]]	2.000e+00	8.313e-01	7.980e-01	8.031e-01	7.954e-02	1.06
204	exm41	pheno_250.23	1.447e-03	1.721e-02	[[21467, 66], [375, 2]]	2.000e+00	1.770e+00	4.287e-01	1.735e+00	1.760e-01	1.22
205	exm41	pheno_250.24	1.447e-03	3.845e-02	[[21467, 66], [857, 4]]	4.000e+00	1.578e+00	3.817e-01	1.518e+00	1.859e-01	1.29
206	exm41	pheno_250.25	1.447e-03	1.052e-02	[[21467, 66], [228, 1]]	1.000e+00	1.502e+00	6.877e-01	1.427e+00	2.428e-01	1.04
207	exm41	pheno_250.3	1.447e-03	4.255e-02	[[21467, 66], [955, 2]]	2.000e+00	6.834e-01	5.967e-01	6.812e-01	3.639e-02	1.20
208	exm41	pheno_250.4	1.447e-03	6.018e-02	[[21467, 66], [1376, 3]]	3.000e+00	7.130e-01	5.685e-01	7.091e-01	2.466e-02	1.23
209	exm41	pheno_250.41	1.447e-03	9.886e-03	[[21467, 66], [213, 2]]	2.000e+00	3.098e+00	1.175e-01	3.054e+00	7.228e-02	1.77
212	exm41	pheno_250.7	1.447e-03	1.900e-02	[[21467, 66], [415, 2]]	2.000e+00	1.586e+00	5.225e-01	1.568e+00	2.069e-01	1.15
213	exm41	pheno_251	1.447e-03	5.527e-03	[[25650, 77], [142, 1]]	1.000e+00	2.330e+00	4.024e-01	2.346e+00	1.320e-01	1.19
215	exm41	pheno_252	1.447e-03	1.312e-02	[[25650, 77], [340, 2]]	2.000e+00	2.048e+00	3.199e-01	1.960e+00	1.443e-01	1.32
216	exm41	pheno_252.1	1.447e-03	1.065e-02	[[25650, 77], [275, 2]]	2.000e+00	2.541e+00	1.966e-01	2.423e+00	1.030e-01	1.52
223	exm41	pheno_255	1.447e-03	2.112e-02	[[25650, 77], [551, 4]]	4.000e+00	2.415e+00	8.677e-02	2.418e+00	6.302e-02	2.34
227	exm41	pheno_255.2	1.447e-03	1.353e-02	[[25650, 77], [350, 3]]	3.000e+00	2.835e+00	7.808e-02	2.855e+00	5.861e-02	2.24
228	exm41	pheno_255.3	1.447e-03	1.165e-03	[[25650, 77], [29, 1]]	1.000e+00	1.111e+01	1.945e-02	1.149e+01	2.229e-02	1.72
234	exm41	pheno_259	1.447e-03	6.334e-03	[[25650, 77], [162, 2]]	2.000e+00	4.333e+00	4.259e-02	4.113e+00	4.617e-02	2.15
235	exm41	pheno_259.1	1.447e-03	3.370e-03	[[25650, 77], [85, 2]]	2.000e+00	8.102e+00	3.923e-03	7.838e+00	1.931e-02	3.02
240	exm41	pheno_260	1.447e-03	7.998e-02	[[21943, 60], [1909, 4]]	4.000e+00	7.626e-01	6.003e-01	7.663e-01	3.438e-01	1.16
242	exm41	pheno_260.2	1.447e-03	3.147e-02	[[21943, 60], [711, 4]]	4.000e+00	2.058e+00	1.635e-01	2.057e+00	9.314e-02	1.87
243	exm41	pheno_260.6	1.447e-03	2.417e-02	[[21943, 60], [544, 1]]	1.000e+00	6.655e-01	6.867e-01	6.723e-01	6.799e-02	1.12
244	exm41	pheno_261	1.447e-03	8.022e-02	[[21943, 60], [1914, 5]]	5.000e+00	9.855e-01	9.753e-01	9.554e-01	5.548e-01	1.00
245	exm41	pheno_261.2	1.447e-03	2.187e-02	[[21943, 60], [491, 1]]	1.000e+00	7.666e-01	7.932e-01	7.448e-01	9.195e-02	1.06
246	exm41	pheno_261.4	1.447e-03	6.246e-02	[[21943, 60], [1462, 4]]	4.000e+00	1.030e+00	9.546e-01	1.001e+00	4.459e-01	1.00
248	exm41	pheno_264	1.447e-03	5.809e-02	[[21943, 60], [1355, 2]]	2.000e+00	5.117e-01	3.618e-01	5.398e-01	8.502e-03	1.73
250	exm41	pheno_269	1.447e-03	2.186e-02	[[27566, 82], [616, 2]]	2.000e+00	1.083e+00	9.116e-01	1.091e+00	3.608e-01	1.01
251	exm41	pheno_270	1.447e-03	2.072e-02	[[27566, 82], [583, 2]]	2.000e+00	1.142e+00	8.527e-01	1.153e+00	3.324e-01	1.02
254	exm41	pheno_270.3	1.447e-03	1.706e-02	[[27566, 82], [478, 2]]	2.000e+00	1.403e+00	6.375e-01	1.407e+00	2.446e-01	1.09
255	exm41	pheno_270.32	1.447e-03	1.134e-02	[[27566, 82], [316, 1]]	1.000e+00	1.064e+00	9.510e-01	1.064e+00	3.448e-01	1.00
260	exm41	pheno_272	1.447e-03	3.256e-01	[[18537, 57], [8955, 24]]	2.400e+01	8.502e-01	5.318e-01	8.716e-01	2.892e-01	1.16
261	exm41	pheno_272.1	1.447e-03	3.248e-01	[[18537, 57], [8923, 24]]	2.400e+01	8.538e-01	5.426e-01	8.747e-01	2.948e-01	1.15
262	exm41	pheno_272.11	1.447e-03	1.705e-01	[[18537, 57], [3807, 15]]	1.500e+01	1.273e+00	4.268e-01	1.281e+00	1.952e-01	1.40
263	exm41	pheno_272.12	1.447e-03	1.111e-02	[[18537, 57], [208, 1]]	1.000e+00	1.569e+00	6.568e-01	1.564e+00	2.175e-01	1.06
264	exm41	pheno_272.13	1.447e-03	1.876e-01	[[18537, 57], [4284, 10]]	1.000e+01	6.989e-01	3.124e-01	7.591e-01	2.108e-01	1.43
266	exm41	pheno_274	1.447e-03	3.782e-02	[[27930, 81], [1098, 3]]	3.000e+00	9.605e-01	9.459e-01	9.421e-01	1.265e-01	1.00
267	exm41	pheno_274.1	1.447e-03	3.643e-02	[[27930, 81], [1056, 3]]	3.000e+00	9.980e-01	9.973e-01	9.796e-01	1.508e-01	1.00
268	exm41	pheno_274.11	1.447e-03	9.442e-03	[[27930, 81], [264, 3]]	3.000e+00	4.019e+00	1.991e-02	3.918e+00	3.259e-02	3.10
271	exm41	pheno_275	1.447e-03	6.521e-02	[[26340, 77], [1838, 5]]	5.000e+00	9.328e-01	8.804e-01	9.306e-01	5.253e-01	1.01
273	exm41	pheno_275.3	1.447e-03	2.358e-02	[[26340, 77], [637, 1]]	1.000e+00	5.351e-01	5.348e-01	5.370e-01	3.029e-02	1.35
274	exm41	pheno_275.5	1.447e-03	3.351e-02	[[26340, 77], [914, 2]]	2.000e+00	7.427e-01	6.784e-01	7.485e-01	5.834e-02	1.10
275	exm41	pheno_275.51	1.447e-03	1.348e-02	[[26340, 77], [359, 2]]	2.000e+00	1.900e+00	3.719e-01	1.906e+00	1.508e-01	1.29
277	exm41	pheno_275.6	1.447e-03	1.425e-02	[[26340, 77], [380, 2]]	2.000e+00	1.851e+00	3.925e-01	1.800e+00	1.652e-01	1.25
278	exm41	pheno_276	1.447e-03	2.728e-01	[[19152, 63], [7190, 17]]	1.700e+01	7.174e-01	2.273e-01	7.188e-01	9.835e-02	2.33
279	exm41	pheno_276.1	1.447e-03	2.077e-01	[[19152, 63], [5024, 12]]	1.200e+01	7.115e-01	2.842e-01	7.261e-01	1.443e-01	1.82
281	exm41	pheno_276.12	1.447e-03	6.922e-02	[[19152, 63], [1424, 5]]	5.000e+00	1.034e+00	9.425e-01	1.067e+00	3.923e-01	1.01
282	exm41	pheno_276.13	1.447e-03	5.251e-02	[[19152, 63], [1064, 1]]	1.000e+00	2.722e-01	1.974e-01	2.857e-01	5.606e-04	6.30
283	exm41	pheno_276.14	1.447e-03	1.307e-01	[[19152, 63], [2882, 6]]	6.000e+00	6.247e-01	2.735e-01	6.329e-01	1.260e-01	2.11
284	exm41	pheno_276.4	1.447e-03	4.890e-02	[[19152, 63], [987, 1]]	1.000e+00	3.041e-01	2.379e-01	3.080e-01	1.081e-03	4.68
286	exm41	pheno_276.42	1.447e-03	9.382e-03	[[19152, 63], [181, 1]]	1.000e+00	1.688e+00	6.046e-01	1.680e+00	1.990e-01	1.08
287	exm41	pheno_276.5	1.447e-03	1.388e-01	[[19152, 63], [3091, 6]]	6.000e+00	5.861e-01	2.117e-01	5.901e-01	8.485e-02	2.84
293	exm41	pheno_277.7	1.447e-03	4.883e-03	[[28448, 82], [137, 3]]	3.000e+00	7.560e+00	6.673e-04	7.597e+00	1.103e-02	5.43
294	exm41	pheno_278	1.447e-03	1.094e-01	[[24788, 78], [3050, 6]]	6.000e+00	6.260e-01	2.696e-01	6.252e-01	1.162e-01	2.26
295	exm41	pheno_278.1	1.447e-03	9.311e-02	[[24788, 78], [2548, 5]]	5.000e+00	6.243e-01	3.078e-01	6.236e-01	1.392e-01	2.01
296	exm41	pheno_278.11	1.447e-03	3.739e-02	[[24788, 78], [963, 3]]	3.000e+00	9.943e-01	9.922e-01	9.900e-01	1.577e-01	1.00
298	exm41	pheno_278.4	1.447e-03	1.286e-02	[[24788, 78], [323, 1]]	1.000e+00	9.990e-01	9.992e-01	9.839e-01	1.768e-01	1.00
299	exm41	pheno_279	1.447e-03	3.469e-02	[[27246, 79], [981, 1]]	1.000e+00	3.535e-01	3.019e-01	3.516e-01	2.997e-03	3.06
300	exm41	pheno_279.1	1.447e-03	2.128e-02	[[27246, 79], [593, 1]]	1.000e+00	5.769e-01	5.851e-01	5.816e-01	4.148e-02	1.25
301	exm41	pheno_279.11	1.447e-03	4.372e-03	[[27246, 79], [119, 1]]	1.000e+00	2.898e+00	2.930e-01	2.898e+00	1.023e-01	1.26
303	exm41	pheno_279.7	1.447e-03	9.569e-03	[[27246, 79], [263, 1]]	1.000e+00	1.359e+00	7.613e-01	1.311e+00	2.685e-01	1.02
305	exm41	pheno_280	1.447e-03	7.589e-02	[[19002, 54], [1558, 7]]	7.000e+00	1.711e+00	1.862e-01	1.581e+00	1.317e-01	1.66
306	exm41	pheno_280.1	1.447e-03	5.882e-02	[[19002, 54], [1185, 6]]	6.000e+00	1.940e+00	1.279e-01	1.782e+00	1.016e-01	1.90
307	exm41	pheno_280.2	1.447e-03	2.517e-02	[[19002, 54], [491, 1]]	1.000e+00	7.795e-01	8.057e-01	7.167e-01	8.234e-02	1.08
315	exm41	pheno_283	1.447e-03	8.945e-03	[[19002, 54], [171, 1]]	1.000e+00	2.070e+00	4.726e-01	2.058e+00	1.555e-01	1.14
316	exm41	pheno_283.1	1.447e-03	3.712e-03	[[19002, 54], [70, 1]]	1.000e+00	5.237e+00	1.035e-01	5.027e+00	5.441e-02	1.47
318	exm41	pheno_284	1.447e-03	4.896e-02	[[19002, 54], [979, 2]]	2.000e+00	6.903e-01	6.074e-01	7.189e-01	4.772e-02	1.14
319	exm41	pheno_284.1	1.447e-03	3.440e-02	[[19002, 54], [678, 1]]	1.000e+00	5.051e-01	4.991e-01	5.190e-01	2.609e-02	1.40
320	exm41	pheno_285	1.447e-03	2.617e-01	[[19002, 54], [6738, 18]]	1.800e+01	9.522e-01	8.589e-01	9.400e-01	4.373e-01	1.02
321	exm41	pheno_285.1	1.447e-03	7.866e-02	[[19002, 54], [1624, 3]]	3.000e+00	6.822e-01	5.215e-01	6.500e-01	1.279e-02	1.40
322	exm41	pheno_285.2	1.447e-03	9.040e-02	[[19002, 54], [1890, 4]]	4.000e+00	7.537e-01	5.866e-01	7.447e-01	3.175e-01	1.20
323	exm41	pheno_285.21	1.447e-03	2.611e-02	[[19002, 54], [510, 1]]	1.000e+00	6.929e-01	7.167e-01	6.900e-01	7.357e-02	1.10
324	exm41	pheno_285.22	1.447e-03	5.574e-02	[[19002, 54], [1123, 2]]	2.000e+00	6.387e-01	5.344e-01	6.267e-01	2.267e-02	1.33
