ind	SNP	pheno	maf	prev	table	logit_OR	logit_p-val	exact_OR	exact_p-val
116	exm41	pheno_195	1.447e-03	7.221e-02	[[20786, 67], [1620, 2]]	3.719e-01	1.692e-01	3.830e-01	4.615e-02
117	exm41	pheno_195.1	1.447e-03	4.685e-02	[[20786, 67], [1023, 1]]	2.902e-01	2.202e-01	3.033e-01	5.511e-02
119	exm41	pheno_197	1.447e-03	1.461e-01	[[20786, 67], [3560, 8]]	6.855e-01	3.153e-01	6.972e-01	2.210e-02
120	exm41	pheno_198	1.447e-03	1.490e-01	[[20786, 67], [3647, 5]]	4.164e-01	6.136e-02	4.253e-01	1.018e-02
121	exm41	pheno_198.1	1.447e-03	8.226e-02	[[20786, 67], [1868, 1]]	1.633e-01	7.267e-02	1.661e-01	6.849e-04
122	exm41	pheno_198.2	1.447e-03	5.604e-02	[[20786, 67], [1237, 1]]	2.462e-01	1.652e-01	2.508e-01	2.064e-02
124	exm41	pheno_198.4	1.447e-03	4.093e-02	[[20786, 67], [888, 2]]	6.915e-01	6.092e-01	6.987e-01	1.877e-02
126	exm41	pheno_198.6	1.447e-03	3.899e-02	[[20786, 67], [843, 3]]	1.084e+00	8.925e-01	1.104e+00	3.528e-01
127	exm41	pheno_198.7	1.447e-03	1.535e-02	[[20786, 67], [324, 1]]	9.541e-01	9.629e-01	9.575e-01	1.276e-01
128	exm41	pheno_199	1.447e-03	7.415e-02	[[20786, 67], [1666, 4]]	7.334e-01	5.482e-01	7.449e-01	6.732e-02
130	exm41	pheno_200	1.447e-03	1.873e-02	[[26896, 82], [514, 1]]	6.312e-01	6.480e-01	6.381e-01	4.274e-02
139	exm41	pheno_204	1.447e-03	3.457e-02	[[26896, 82], [964, 2]]	6.751e-01	5.837e-01	6.805e-01	8.615e-02
140	exm41	pheno_204.1	1.447e-03	1.598e-02	[[26896, 82], [437, 1]]	7.459e-01	7.715e-01	7.506e-01	1.193e-02
141	exm41	pheno_204.11	1.447e-03	1.147e-02	[[26896, 82], [312, 1]]	1.060e+00	9.543e-01	1.051e+00	3.441e-01
143	exm41	pheno_204.2	1.447e-03	1.255e-02	[[26896, 82], [342, 1]]	9.488e-01	9.584e-01	9.591e-01	1.010e-01
144	exm41	pheno_204.21	1.447e-03	1.125e-02	[[26896, 82], [306, 1]]	1.060e+00	9.540e-01	1.072e+00	3.363e-01
148	exm41	pheno_208	1.447e-03	8.520e-02	[[25393, 74], [2363, 9]]	1.321e+00	4.370e-01	1.307e+00	2.005e-01
151	exm41	pheno_211	1.447e-03	1.365e-02	[[26659, 77], [368, 2]]	1.916e+00	3.662e-01	1.882e+00	1.494e-01
153	exm41	pheno_213	1.447e-03	4.712e-03	[[22321, 66], [105, 1]]	3.195e+00	2.515e-01	3.221e+00	8.738e-02
154	exm41	pheno_214	1.447e-03	8.475e-03	[[28812, 84], [246, 1]]	1.401e+00	7.382e-01	1.394e+00	2.444e-01
155	exm41	pheno_214.1	1.447e-03	4.238e-03	[[28812, 84], [122, 1]]	2.822e+00	3.045e-01	2.811e+00	1.030e-01
157	exm41	pheno_216	1.447e-03	5.231e-02	[[26118, 78], [1441, 5]]	1.166e+00	7.400e-01	1.162e+00	3.145e-01
158	exm41	pheno_217	1.447e-03	4.824e-03	[[26118, 78], [126, 1]]	2.673e+00	3.307e-01	2.658e+00	1.103e-01
159	exm41	pheno_217.1	1.447e-03	3.765e-03	[[26118, 78], [98, 1]]	3.424e+00	2.240e-01	3.417e+00	8.147e-02
171	exm41	pheno_227	1.447e-03	8.330e-03	[[28370, 81], [237, 2]]	2.969e+00	1.302e-01	2.956e+00	7.271e-02
174	exm41	pheno_229	1.447e-03	4.818e-03	[[29042, 83], [140, 1]]	2.514e+00	3.614e-01	2.499e+00	1.189e-01
175	exm41	pheno_240	1.447e-03	1.003e-02	[[23426, 74], [237, 1]]	1.335e+00	7.749e-01	1.336e+00	2.575e-01
176	exm41	pheno_241	1.447e-03	3.455e-02	[[23426, 74], [839, 2]]	7.471e-01	6.863e-01	7.546e-01	4.103e-02
177	exm41	pheno_241.1	1.447e-03	1.645e-02	[[23426, 74], [391, 2]]	1.606e+00	5.120e-01	1.619e+00	1.904e-01
178	exm41	pheno_241.2	1.447e-03	2.258e-02	[[23426, 74], [542, 1]]	5.821e-01	5.926e-01	5.841e-01	3.126e-02
179	exm41	pheno_242	1.447e-03	2.193e-02	[[23426, 74], [526, 1]]	6.094e-01	6.235e-01	6.018e-01	4.308e-02
183	exm41	pheno_244	1.447e-03	1.401e-01	[[23426, 74], [3822, 8]]	6.564e-01	2.675e-01	6.626e-01	8.460e-02
184	exm41	pheno_244.1	1.447e-03	3.653e-02	[[23426, 74], [889, 2]]	7.082e-01	6.318e-01	7.122e-01	8.948e-03
186	exm41	pheno_244.4	1.447e-03	1.237e-01	[[23426, 74], [3308, 8]]	7.615e-01	4.744e-01	7.656e-01	7.261e-02
188	exm41	pheno_245	1.447e-03	8.187e-03	[[23426, 74], [193, 1]]	1.679e+00	6.085e-01	1.640e+00	1.998e-01
190	exm41	pheno_245.2	1.447e-03	5.417e-03	[[23426, 74], [127, 1]]	2.553e+00	3.551e-01	2.493e+00	1.192e-01
193	exm41	pheno_249	1.447e-03	5.634e-03	[[21467, 66], [121, 1]]	2.633e+00	3.394e-01	2.688e+00	1.087e-01
194	exm41	pheno_250	1.447e-03	1.888e-01	[[21467, 66], [4997, 15]]	9.876e-01	9.659e-01	9.764e-01	3.929e-01
195	exm41	pheno_250.1	1.447e-03	6.411e-02	[[21467, 66], [1472, 3]]	6.591e-01	4.809e-01	6.629e-01	1.219e-01
199	exm41	pheno_250.14	1.447e-03	1.157e-02	[[21467, 66], [251, 1]]	1.304e+00	7.928e-01	1.296e+00	2.670e-01
201	exm41	pheno_250.2	1.447e-03	1.784e-01	[[21467, 66], [4660, 15]]	1.065e+00	8.286e-01	1.047e+00	3.909e-01
203	exm41	pheno_250.22	1.447e-03	3.634e-02	[[21467, 66], [810, 2]]	8.313e-01	7.980e-01	8.031e-01	8.898e-02
204	exm41	pheno_250.23	1.447e-03	1.721e-02	[[21467, 66], [375, 2]]	1.770e+00	4.287e-01	1.735e+00	1.703e-01
205	exm41	pheno_250.24	1.447e-03	3.845e-02	[[21467, 66], [857, 4]]	1.578e+00	3.817e-01	1.518e+00	1.781e-01
206	exm41	pheno_250.25	1.447e-03	1.052e-02	[[21467, 66], [228, 1]]	1.502e+00	6.877e-01	1.427e+00	2.373e-01
207	exm41	pheno_250.3	1.447e-03	4.255e-02	[[21467, 66], [955, 2]]	6.834e-01	5.967e-01	6.812e-01	4.956e-04
208	exm41	pheno_250.4	1.447e-03	6.018e-02	[[21467, 66], [1376, 3]]	7.130e-01	5.685e-01	7.091e-01	2.431e-02
209	exm41	pheno_250.41	1.447e-03	9.886e-03	[[21467, 66], [213, 2]]	3.098e+00	1.175e-01	3.054e+00	6.919e-02
212	exm41	pheno_250.7	1.447e-03	1.900e-02	[[21467, 66], [415, 2]]	1.586e+00	5.225e-01	1.568e+00	2.006e-01
213	exm41	pheno_251	1.447e-03	5.527e-03	[[25650, 77], [142, 1]]	2.330e+00	4.024e-01	2.346e+00	1.284e-01
215	exm41	pheno_252	1.447e-03	1.312e-02	[[25650, 77], [340, 2]]	2.048e+00	3.199e-01	1.960e+00	1.399e-01
216	exm41	pheno_252.1	1.447e-03	1.065e-02	[[25650, 77], [275, 2]]	2.541e+00	1.966e-01	2.423e+00	9.946e-02
223	exm41	pheno_255	1.447e-03	2.112e-02	[[25650, 77], [551, 4]]	2.415e+00	8.677e-02	2.418e+00	5.997e-02
227	exm41	pheno_255.2	1.447e-03	1.353e-02	[[25650, 77], [350, 3]]	2.835e+00	7.808e-02	2.855e+00	5.600e-02
228	exm41	pheno_255.3	1.447e-03	1.165e-03	[[25650, 77], [29, 1]]	1.111e+01	1.945e-02	1.149e+01	2.069e-02
234	exm41	pheno_259	1.447e-03	6.334e-03	[[25650, 77], [162, 2]]	4.333e+00	4.259e-02	4.113e+00	4.416e-02
235	exm41	pheno_259.1	1.447e-03	3.370e-03	[[25650, 77], [85, 2]]	8.102e+00	3.923e-03	7.838e+00	1.816e-02
240	exm41	pheno_260	1.447e-03	7.998e-02	[[21943, 60], [1909, 4]]	7.626e-01	6.003e-01	7.663e-01	7.663e-02
242	exm41	pheno_260.2	1.447e-03	3.147e-02	[[21943, 60], [711, 4]]	2.058e+00	1.635e-01	2.057e+00	8.805e-02
243	exm41	pheno_260.6	1.447e-03	2.417e-02	[[21943, 60], [544, 1]]	6.655e-01	6.867e-01	6.723e-01	9.716e-02
244	exm41	pheno_261	1.447e-03	8.022e-02	[[21943, 60], [1914, 5]]	9.855e-01	9.753e-01	9.554e-01	2.568e-01
245	exm41	pheno_261.2	1.447e-03	2.187e-02	[[21943, 60], [491, 1]]	7.666e-01	7.932e-01	7.448e-01	3.276e-02
246	exm41	pheno_261.4	1.447e-03	6.246e-02	[[21943, 60], [1462, 4]]	1.030e+00	9.546e-01	1.001e+00	4.205e-01
248	exm41	pheno_264	1.447e-03	5.809e-02	[[21943, 60], [1355, 2]]	5.117e-01	3.618e-01	5.398e-01	1.313e-02
250	exm41	pheno_269	1.447e-03	2.186e-02	[[27566, 82], [616, 2]]	1.083e+00	9.116e-01	1.091e+00	3.538e-01
251	exm41	pheno_270	1.447e-03	2.072e-02	[[27566, 82], [583, 2]]	1.142e+00	8.527e-01	1.153e+00	3.256e-01
254	exm41	pheno_270.3	1.447e-03	1.706e-02	[[27566, 82], [478, 2]]	1.403e+00	6.375e-01	1.407e+00	2.388e-01
255	exm41	pheno_270.32	1.447e-03	1.134e-02	[[27566, 82], [316, 1]]	1.064e+00	9.510e-01	1.064e+00	3.393e-01
260	exm41	pheno_272	1.447e-03	3.256e-01	[[18537, 57], [8955, 24]]	8.502e-01	5.318e-01	8.716e-01	2.699e-01
261	exm41	pheno_272.1	1.447e-03	3.248e-01	[[18537, 57], [8923, 24]]	8.538e-01	5.426e-01	8.747e-01	2.754e-01
262	exm41	pheno_272.11	1.447e-03	1.705e-01	[[18537, 57], [3807, 15]]	1.273e+00	4.268e-01	1.281e+00	1.792e-01
263	exm41	pheno_272.12	1.447e-03	1.111e-02	[[18537, 57], [208, 1]]	1.569e+00	6.568e-01	1.564e+00	2.117e-01
264	exm41	pheno_272.13	1.447e-03	1.876e-01	[[18537, 57], [4284, 10]]	6.989e-01	3.124e-01	7.591e-01	1.154e-01
266	exm41	pheno_274	1.447e-03	3.782e-02	[[27930, 81], [1098, 3]]	9.605e-01	9.459e-01	9.421e-01	1.596e-01
267	exm41	pheno_274.1	1.447e-03	3.643e-02	[[27930, 81], [1056, 3]]	9.980e-01	9.973e-01	9.796e-01	1.827e-01
268	exm41	pheno_274.11	1.447e-03	9.442e-03	[[27930, 81], [264, 3]]	4.019e+00	1.991e-02	3.918e+00	3.100e-02
271	exm41	pheno_275	1.447e-03	6.521e-02	[[26340, 77], [1838, 5]]	9.328e-01	8.804e-01	9.306e-01	2.010e-01
273	exm41	pheno_275.3	1.447e-03	2.358e-02	[[26340, 77], [637, 1]]	5.351e-01	5.348e-01	5.370e-01	2.800e-01
274	exm41	pheno_275.5	1.447e-03	3.351e-02	[[26340, 77], [914, 2]]	7.427e-01	6.784e-01	7.485e-01	1.808e-02
275	exm41	pheno_275.51	1.447e-03	1.348e-02	[[26340, 77], [359, 2]]	1.900e+00	3.719e-01	1.906e+00	1.463e-01
277	exm41	pheno_275.6	1.447e-03	1.425e-02	[[26340, 77], [380, 2]]	1.851e+00	3.925e-01	1.800e+00	1.604e-01
278	exm41	pheno_276	1.447e-03	2.728e-01	[[19152, 63], [7190, 17]]	7.174e-01	2.273e-01	7.188e-01	5.231e-02
279	exm41	pheno_276.1	1.447e-03	2.077e-01	[[19152, 63], [5024, 12]]	7.115e-01	2.842e-01	7.261e-01	6.711e-02
281	exm41	pheno_276.12	1.447e-03	6.922e-02	[[19152, 63], [1424, 5]]	1.034e+00	9.425e-01	1.067e+00	3.783e-01
282	exm41	pheno_276.13	1.447e-03	5.251e-02	[[19152, 63], [1064, 1]]	2.722e-01	1.974e-01	2.857e-01	4.226e-02
283	exm41	pheno_276.14	1.447e-03	1.307e-01	[[19152, 63], [2882, 6]]	6.247e-01	2.735e-01	6.329e-01	9.364e-02
284	exm41	pheno_276.4	1.447e-03	4.890e-02	[[19152, 63], [987, 1]]	3.041e-01	2.379e-01	3.080e-01	5.967e-02
286	exm41	pheno_276.42	1.447e-03	9.382e-03	[[19152, 63], [181, 1]]	1.688e+00	6.046e-01	1.680e+00	1.938e-01
287	exm41	pheno_276.5	1.447e-03	1.388e-01	[[19152, 63], [3091, 6]]	5.861e-01	2.117e-01	5.901e-01	5.603e-02
293	exm41	pheno_277.7	1.447e-03	4.883e-03	[[28448, 82], [137, 3]]	7.560e+00	6.673e-04	7.597e+00	1.033e-02
294	exm41	pheno_278	1.447e-03	1.094e-01	[[24788, 78], [3050, 6]]	6.260e-01	2.696e-01	6.252e-01	5.204e-02
295	exm41	pheno_278.1	1.447e-03	9.311e-02	[[24788, 78], [2548, 5]]	6.243e-01	3.078e-01	6.236e-01	5.442e-02
296	exm41	pheno_278.11	1.447e-03	3.739e-02	[[24788, 78], [963, 3]]	9.943e-01	9.922e-01	9.900e-01	2.079e-01
298	exm41	pheno_278.4	1.447e-03	1.286e-02	[[24788, 78], [323, 1]]	9.990e-01	9.992e-01	9.839e-01	1.170e-01
299	exm41	pheno_279	1.447e-03	3.469e-02	[[27246, 79], [981, 1]]	3.535e-01	3.019e-01	3.516e-01	9.468e-02
300	exm41	pheno_279.1	1.447e-03	2.128e-02	[[27246, 79], [593, 1]]	5.769e-01	5.851e-01	5.816e-01	3.432e-03
301	exm41	pheno_279.11	1.447e-03	4.372e-03	[[27246, 79], [119, 1]]	2.898e+00	2.930e-01	2.898e+00	9.928e-02
303	exm41	pheno_279.7	1.447e-03	9.569e-03	[[27246, 79], [263, 1]]	1.359e+00	7.613e-01	1.311e+00	2.635e-01
305	exm41	pheno_280	1.447e-03	7.589e-02	[[19002, 54], [1558, 7]]	1.711e+00	1.862e-01	1.581e+00	1.224e-01
306	exm41	pheno_280.1	1.447e-03	5.882e-02	[[19002, 54], [1185, 6]]	1.940e+00	1.279e-01	1.782e+00	9.445e-02
307	exm41	pheno_280.2	1.447e-03	2.517e-02	[[19002, 54], [491, 1]]	7.795e-01	8.057e-01	7.167e-01	3.636e-02
315	exm41	pheno_283	1.447e-03	8.945e-03	[[19002, 54], [171, 1]]	2.070e+00	4.726e-01	2.058e+00	1.507e-01
316	exm41	pheno_283.1	1.447e-03	3.712e-03	[[19002, 54], [70, 1]]	5.237e+00	1.035e-01	5.027e+00	5.180e-02
318	exm41	pheno_284	1.447e-03	4.896e-02	[[19002, 54], [979, 2]]	6.903e-01	6.074e-01	7.189e-01	5.015e-02
319	exm41	pheno_284.1	1.447e-03	3.440e-02	[[19002, 54], [678, 1]]	5.051e-01	4.991e-01	5.190e-01	2.346e-02
320	exm41	pheno_285	1.447e-03	2.617e-01	[[19002, 54], [6738, 18]]	9.522e-01	8.589e-01	9.400e-01	3.751e-01
321	exm41	pheno_285.1	1.447e-03	7.866e-02	[[19002, 54], [1624, 3]]	6.822e-01	5.215e-01	6.500e-01	3.311e-05
322	exm41	pheno_285.2	1.447e-03	9.040e-02	[[19002, 54], [1890, 4]]	7.537e-01	5.866e-01	7.447e-01	8.587e-02
323	exm41	pheno_285.21	1.447e-03	2.611e-02	[[19002, 54], [510, 1]]	6.929e-01	7.167e-01	6.900e-01	2.118e-02
324	exm41	pheno_285.22	1.447e-03	5.574e-02	[[19002, 54], [1123, 2]]	6.387e-01	5.344e-01	6.267e-01	1.115e-01
325	exm41	pheno_285.9	1.447e-03	2.053e-01	[[19002, 54], [4909, 14]]	1.020e+00	9.469e-01	1.004e+00	4.361e-01
326	exm41	pheno_286	1.447e-03	1.274e-01	[[22499, 66], [3284, 12]]	1.237e+00	5.026e-01	1.246e+00	2.167e-01
330	exm41	pheno_286.2	1.447e-03	9.297e-02	[[22499, 66], [2304, 9]]	1.318e+00	4.466e-01	1.332e+00	1.886e-01
331	exm41	pheno_286.3	1.447e-03	1.941e-03	[[12308, 33], [23, 1]]	0.000e+00	0.000e+00	1.622e+01	1.431e-02
333	exm41	pheno_286.5	1.447e-03	1.264e-02	[[22499, 66], [288, 1]]	1.182e+00	8.689e-01	1.184e+00	2.982e-01
335	exm41	pheno_286.7	1.447e-03	2.883e-02	[[22499, 66], [668, 2]]	1.014e+00	9.842e-01	1.021e+00	3.878e-01
336	exm41	pheno_286.8	1.447e-03	8.698e-03	[[22499, 66], [197, 1]]	1.749e+00	5.799e-01	1.730e+00	1.869e-01
338	exm41	pheno_287	1.447e-03	8.440e-02	[[22499, 66], [2076, 4]]	6.541e-01	4.105e-01	6.568e-01	1.064e-01
340	exm41	pheno_287.3	1.447e-03	7.834e-02	[[22499, 66], [1914, 4]]	7.092e-01	5.053e-01	7.124e-01	1.959e-02
341	exm41	pheno_287.31	1.447e-03	1.260e-02	[[22499, 66], [287, 1]]	1.197e+00	8.586e-01	1.188e+00	2.969e-01
343	exm41	pheno_288	1.447e-03	8.476e-02	[[21685, 71], [2010, 5]]	7.517e-01	5.383e-01	7.598e-01	7.701e-02
344	exm41	pheno_288.1	1.447e-03	6.297e-02	[[21685, 71], [1461, 1]]	2.074e-01	1.185e-01	2.091e-01	5.830e-03
345	exm41	pheno_288.11	1.447e-03	5.581e-02	[[21685, 71], [1285, 1]]	2.362e-01	1.521e-01	2.377e-01	1.462e-02
346	exm41	pheno_288.2	1.447e-03	5.363e-02	[[21685, 71], [1229, 4]]	9.828e-01	9.731e-01	9.941e-01	2.641e-01
348	exm41	pheno_289	1.447e-03	2.409e-02	[[21685, 71], [534, 3]]	1.694e+00	3.727e-01	1.716e+00	1.528e-01
349	exm41	pheno_289.4	1.447e-03	5.908e-02	[[21685, 71], [1365, 1]]	2.203e-01	1.333e-01	2.238e-01	9.699e-03
350	exm41	pheno_289.5	1.447e-03	4.439e-03	[[21685, 71], [96, 1]]	3.156e+00	2.566e-01	3.181e+00	8.868e-02
351	exm41	pheno_289.8	1.447e-03	6.847e-03	[[21685, 71], [149, 1]]	1.954e+00	5.077e-01	2.050e+00	1.516e-01
353	exm41	pheno_290	1.447e-03	3.932e-02	[[23992, 70], [981, 4]]	1.529e+00	4.254e-01	1.398e+00	2.145e-01
354	exm41	pheno_290.1	1.447e-03	2.571e-02	[[23992, 70], [632, 3]]	1.821e+00	3.370e-01	1.627e+00	1.698e-01
355	exm41	pheno_290.11	1.447e-03	9.386e-03	[[23992, 70], [227, 1]]	1.670e+00	6.197e-01	1.510e+00	2.213e-01
359	exm41	pheno_290.2	1.447e-03	1.466e-02	[[23992, 70], [357, 1]]	1.001e+00	9.991e-01	9.601e-01	1.128e-01
361	exm41	pheno_291	1.447e-03	4.897e-02	[[23992, 70], [1235, 4]]	1.138e+00	8.022e-01	1.110e+00	3.499e-01
364	exm41	pheno_291.8	1.447e-03	4.565e-02	[[23992, 70], [1147, 4]]	1.230e+00	6.901e-01	1.195e+00	3.008e-01
365	exm41	pheno_292	1.447e-03	9.265e-02	[[23992, 70], [2451, 6]]	8.690e-01	7.433e-01	8.390e-01	1.436e-01
369	exm41	pheno_292.3	1.447e-03	2.254e-02	[[23992, 70], [554, 1]]	6.619e-01	6.841e-01	6.187e-01	4.980e-02
