"Chr","Chr_pos","SNP","jd_code","PUBMEDID","Disease_Trait","Reported_Gene","Mapped_gene","p_value","OR_or_beta_text","CI_95","Context","Risk_Allele_Frequency","Initial_Sample_Size","SNP","jd_code","jd_string","cases","controls","odds_ratio","P","CHR","BP","gene","rsID","Mutation","MAF_W","PHRED","catalog_assoc_SNP","catalog_assoc_gene","RawScore","Category","Category_string"
22,30592487,"rs713875",555.1,21102463,"Crohn's disease","MTMR3","RPS3AP51 - LIF",7E-12,1.08,"[1.04-1.13]","Intergenic",0.471,"6,333 European ancestry cases, 15,056 European ancestry controls","rs713875",555.1,"Regional enteritis",445,21248,1.27,0.0004261,22,30592487,"","rs713875","",0.45180000,6.1770,"Crohn's disease",NULL,0.400787,10,"digestive"
2,103054449,"rs2058660",555.1,21102463,"Crohn's disease","IL18RAP,IL12RL2,IL18R1,IL1RL1","IL18RAP",2E-12,1.19,"[1.14-1.26]","intron",0.231,"6,333 European ancestry cases, 15,056 European ancestry controls","rs2058660",555.1,"Regional enteritis",445,21248,1.24,0.005678,2,103054449,"IL18RAP","rs2058660","Silent",0.23070000,3.7570,"Crohn's disease","Crohn's disease",-0.050361,10,"digestive"
21,45615023,"rs2838519",555.1,21102463,"Crohn's disease","ICOSLG","C21orf33 - ICOSLG",2E-14,1.18,"[1.13-1.23]","Intergenic",0.391,"6,333 European ancestry cases, 15,056 European ancestry controls","rs2838519",555.1,"Regional enteritis",445,21248,1.17,0.02033,21,45615023,"","rs2838519","",0.39810000,2.4170,"Ulcerative colitis || Crohn's disease",NULL,-0.334097,10,"digestive"
19,1124835,"rs740495",555.1,21102463,"Crohn's disease","GPX4,SBNO2","SBNO2",8E-12,1.16,"[1.10-1.21]","intron",0.247,"6,333 European ancestry cases, 15,056 European ancestry controls","rs740495",555.1,"Regional enteritis",445,21248,1.24,0.003471,19,1124835,"SBNO2","rs740495","Silent,Silent",0.26270000,2.0480,"Crohn's disease","Crohn's disease",-0.418474,10,"digestive"
10,35535695,"rs12242110",555.1,21102463,"Crohn's disease","CREM","CCNY",1E-9,1.15,"[1.10-1.20]","nearGene-5",0.315,"6,333 European ancestry cases, 15,056 European ancestry controls","rs12242110",555.1,"Regional enteritis",445,21248,1.24,0.002816,10,35535695,"","rs12242110","",0.31770000,3.5010,"Crohn's disease",NULL,-0.101752,10,"digestive"
2,61224259,"rs10181042",555.1,21102463,"Crohn's disease","C2orf74,REL","PUS10",7E-9,1.14,"[1.09-1.19]","intron",0.42,"6,333 European ancestry cases, 15,056 European ancestry controls","rs10181042",555.1,"Regional enteritis",445,21248,1.20,0.007162,2,61224259,"PUS10","rs10181042","Silent",0.41310000,0.8320,"Crohn's disease","Inflammatory bowel disease || Ulcerative colitis || Crohn's disease || Crohn's disease and celiac disease (combined) || Celiac disease",-0.744829,10,"digestive"
11,76301375,"rs7927997",555.1,21102463,"Crohn's disease","C11orf30","C11orf30 - LRRC32",6E-13,1.17,"[1.12-1.22]","Intergenic",0.389,"6,333 European ancestry cases, 15,056 European ancestry controls","rs7927997",555.1,"Regional enteritis",445,21248,1.23,0.002085,11,76301375,"","rs7927997","",0.39820000,2.5740,"Crohn's disease",NULL,-0.298913,10,"digestive"
6,90973159,"rs1847472",555.1,21102463,"Crohn's disease","BACH2","BACH2",5E-9,1.07,"[1.03-1.11]","intron",0.658,"6,333 European ancestry cases, 15,056 European ancestry controls","rs1847472",555.1,"Regional enteritis",445,21248,0.83,0.01135,6,90973159,"BACH2","rs1847472","Silent,Silent",0.34170000,0.0730,"Crohn's disease || Inflammatory bowel disease","Graves' disease || IgG glycosylation (IGP44) || IgG glycosylation (IGP7) || Crohn's disease || Inflammatory bowel disease || Cognitive performance (Animals) || Type 1 diabetes || Vitiligo || Obesity-related traits (BMR ) || Celiac disease || Type 1 diabetes autoantibodies (T1D) || Visceral adipose tissue/subcutaneous adipose tissue ratio (overall) || Multiple sclerosis",-1.197493,10,"digestive"
2,234184417,"rs3792109",555.1,21102463,"Crohn's disease","ATG16L1","ATG16L1;SCARNA5",7E-41,1.34,"[1.29-1.40]","intron;ncRNA",0.529,"6,333 European ancestry cases, 15,056 European ancestry controls","rs3792109",555.1,"Regional enteritis",445,21248,0.85,0.01755,2,234184417,"ATG16L1,SCARNA5","rs3792109","Silent,Silent,Silent,Silent,Silent,Silent",0.48160000,15.3600,"Crohn's disease",NULL,2.811537,10,"digestive"
1,200935866,"rs11584383",555.1,18587394,"Crohn's disease","Intergenic","C1orf106 - KIF21B",1E-11,1.18,"[NR]","Intergenic",0.70,"3,230 cases4,829 controls","rs11584383",555.1,"Regional enteritis",445,21248,0.84,0.02404,1,200935866,"","rs11584383","",0.29990000,3.9050,"Crohn's disease || Ulcerative colitis",NULL,-0.021234,10,"digestive"
10,35287650,"rs17582416",555.1,18587394,"Crohn's disease","Intergenic","PRDX2P2 - CUL2",2E-9,1.16,"[NR]","Intergenic",0.35,"3,230 cases4,829 controls","rs17582416",555.1,"Regional enteritis",445,21248,1.27,0.0006996,10,35287650,"","rs17582416","",0.34620000,0.2730,"Crohn's disease",NULL,-0.991588,10,"digestive"
12,40601940,"rs11175593",555.1,18587394,"Crohn's disease","LRRK2, MUC19","RPL30P13 - LRRK2",3E-10,1.54,"[NR]","Intergenic",0.02,"3,230 cases4,829 controls","rs11175593",555.1,"Regional enteritis",445,21248,1.55,0.04428,12,40601940,"","rs11175593","",0.01734000,3.0330,"Crohn's disease",NULL,-0.199103,10,"digestive"
21,45615561,"rs762421",555.1,18587394,"Crohn's disease","ICOSLG","C21orf33 - ICOSLG",1E-9,1.13,"[NR]","Intergenic",0.39,"3,230 cases4,829 controls","rs762421",555.1,"Regional enteritis",445,21248,1.17,0.02343,21,45615561,"","rs762421","",0.39320000,1.6080,"Crohn's disease",NULL,-0.524733,10,"digestive"
1,67702526,"rs11465804",555.1,18587394,"Crohn's disease","IL23R","IL23R",7E-63,2.50,"[NR]","intron",0.93,"3,230 cases4,829 controls","rs11465804",555.1,"Regional enteritis",445,21248,0.69,0.02313,1,67702526,"IL23R","rs11465804","Silent",0.06245000,5.5160,"Crohn's disease","Psoriasis || Ulcerative colitis || Crohn's disease || Inflammatory bowel disease || Ankylosing spondylitis",0.280126,10,"digestive"
2,234180410,"rs3828309",555.1,18587394,"Crohn's disease","ATG16L1","ATG16L1",2E-32,1.25,"[NR]","intron",0.53,"3,230 cases4,829 controls","rs3828309",555.1,"Regional enteritis",445,21248,0.85,0.01835,2,234180410,"ATG16L1","rs3828309","Silent,Silent,Silent,Silent,Silent",0.48480000,2.2300,"Crohn's disease","Crohn's disease",-0.376410,10,"digestive"
5,131770805,"rs2188962",555.1,18587394,"Crohn's disease","Intergenic","C5orf56",2E-18,1.25,"[NR]","intron",0.43,"3,230 cases4,829 controls","rs2188962",555.1,"Regional enteritis",445,21248,1.17,0.02428,5,131770805,"C5orf56","rs2188962","Silent",0.41800000,4.7490,"Crohn's disease || Inflammatory bowel disease","Platelet counts || Crohn's disease || Inflammatory bowel disease || Fibrinogen || Asthma",0.139346,10,"digestive"
10,101291593,"rs11190140",555.1,18587394,"Crohn's disease","NKX2-3","NKX2-3",3E-16,1.20,"[NR]","nearGene-5",0.48,"3,230 cases4,829 controls","rs11190140",555.1,"Regional enteritis",445,21248,1.22,0.003463,10,101291593,"","rs11190140","",0.49030000,11.5500,"Crohn's disease || Ulcerative colitis",NULL,1.672167,10,"digestive"
16,50763778,"rs2066847",555.1,18587394,"Crohn's disease","NOD2","NOD2",3E-24,3.99,"[NR]","frameshift",0.02,"3,230 cases4,829 controls","rs2066847",555.1,"Regional enteritis",445,21248,2.59,0.0000000006032,16,50763778,"NOD2","rs2066847","",0.02267000,NULL,"Crohn's disease","Crohn's disease || Inflammatory bowel disease",NULL,10,"digestive"
10,64438486,"rs10995271",555.1,18587394,"Crohn's disease","ZNF365","ZNF365 - ALDH7A1P4",4E-20,1.25,"[NR]","Intergenic",0.39,"3,230 cases4,829 controls","rs10995271",555.1,"Regional enteritis",445,21248,1.19,0.01303,10,64438486,"","rs10995271","",0.38110000,4.1650,"Crohn's disease",NULL,0.029149,10,"digestive"
16,50756881,"rs2076756",555.1,17684544,"Crohn's disease","CARD15","NOD2",1E-21,1.71,"[1.42-2.05]","intron",0.27,"393 cases,399 controls","rs2076756",555.1,"Regional enteritis",445,21248,1.31,0.000257,16,50756881,"NOD2","rs2076756","Silent",0.26050000,5.9030,"Crohn's disease || Inflammatory bowel disease","Crohn's disease || Inflammatory bowel disease",0.350723,10,"digestive"
3,49701983,"rs9858542",555.1,17554300,"Crohn's disease","BSN, MST1","BSN",4E-8,1.09,"[0.96-1.24]","cds-synon",0.28,"1,748 cases,2,938 controls","rs9858542",555.1,"Regional enteritis",445,21248,1.17,0.02781,3,49701983,"BSN","rs9858542","Synonymous_T3912T",0.28880000,9.3670,"Crohn's disease || Ulcerative colitis","Crohn's disease || Ulcerative colitis",1.069619,10,"digestive"
10,101287764,"rs10883365",555.1,17554300,"Crohn's disease","NKX2-3","GOT1 - NKX2-3",6E-8,1.20,"[1.03-1.39]","Intergenic",0.48,"1,748 cases,2,938 controls","rs10883365",555.1,"Regional enteritis",445,21248,1.22,0.003479,10,101287764,"","rs10883365","",0.49050000,5.8640,"Crohn's disease",NULL,0.343507,10,"digestive"
1,67675516,"rs11805303",555.1,17554300,"Crohn's disease","IL23R","IL23R",6E-12,1.39,"[1.22-1.58]","intron",0.32,"1,748 cases,2,938 controls","rs11805303",555.1,"Regional enteritis",445,21248,1.45,0.00000009781,1,67675516,"IL23R","rs11805303","Silent",0.30370000,4.3390,"Crohn's disease","Psoriasis || Ulcerative colitis || Crohn's disease || Inflammatory bowel disease || Ankylosing spondylitis",0.062368,10,"digestive"
2,234158839,"rs10210302",555.1,17554300,"Crohn's disease","ATG16L1","ATG16L1",5E-14,1.19,"[1.01-1.41]","nearGene-5",0.48,"1,748 cases,2,938 controls","rs10210302",555.1,"Regional enteritis",445,21248,0.87,0.0342,2,234158839,"","rs10210302","",0.48560000,5.7040,"Crohn's disease",NULL,0.314406,10,"digestive"
3,49701983,"rs9858542",555.1,17554261,"Crohn's disease","MST1","BSN",5E-8,1.17,"[1.14-1.31]","cds-synon",0.29,"1,748 cases,2,938 controls","rs9858542",555.1,"Regional enteritis",445,21248,1.17,0.02781,3,49701983,"BSN","rs9858542","Synonymous_T3912T",0.28880000,9.3670,"Crohn's disease || Ulcerative colitis","Crohn's disease || Ulcerative colitis",1.069619,10,"digestive"
10,101287764,"rs10883365",555.1,17554261,"Crohn's disease","NKX2-3","GOT1 - NKX2-3",4E-10,1.18,"[1.05-1.32]","Intergenic",0.48,"1,748 cases,2,938 controls","rs10883365",555.1,"Regional enteritis",445,21248,1.22,0.003479,10,101287764,"","rs10883365","",0.49050000,5.8640,"Crohn's disease",NULL,0.343507,10,"digestive"
5,40437948,"rs9292777",555.1,17554261,"Crohn's disease","Intergenic","INTS6P1 - PTGER4",3E-18,1.34,"[1.20-1.50]","Intergenic",0.40,"1,748 cases,2,938 controls","rs9292777",555.1,"Regional enteritis",445,21248,0.80,0.002136,5,40437948,"","rs9292777","",0.39780000,1.2400,"Multiple sclerosis || Crohn's disease",NULL,-0.621486,10,"digestive"
5,40431183,"rs1373692",555.1,17447842,"Crohn's disease","Intergenic","INTS6P1 - PTGER4",2E-12,1.46,"[NR]","Intergenic",0.59,"547 cases,928 controls","rs1373692",555.1,"Regional enteritis",445,21248,0.80,0.002178,5,40431183,"","rs1373692","",0.39770000,8.7150,"Crohn's disease",NULL,0.912864,10,"digestive"
4,111710169,"rs2200733",427.2,17603472,"Atrial fibrillation/atrial flutter","PITX2,ENPEP","PITX2 - MIR297",3E-41,1.72,"[1.59-1.86]","Intergenic",0.11,"550 cases,4,476 controls","rs2200733",427.2,"Atrial fibrillation and flutter",3208,18407,1.43,5.381e-16,4,111710169,"","rs2200733","",0.11200000,0.4610,"Atrial fibrillation/atrial flutter || Stroke (ischemic) || Atrial fibrillation",NULL,-0.888991,8,"circulatory system"
4,111720761,"rs10033464",427.2,17603472,"Atrial fibrillation/atrial flutter","PITX2,ENPEP","PITX2 - MIR297",7E-11,1.39,"[1.26-1.53]","Intergenic",0.08,"550 cases,4,476 controls","rs10033464",427.2,"Atrial fibrillation and flutter",3208,18407,1.21,0.0001231,4,111720761,"","rs10033464","",0.09397000,17.5000,"Atrial fibrillation/atrial flutter",NULL,3.404443,8,"circulatory system"
1,196679455,"rs10737680",362.2,23455636,"Age-related macular degeneration","CFH","CFH",1E-434,2.43,"[2.39-2.47]","intron",0.64,"6,713 European ancestry cases, 48,402 European ancestry contols, 110 Southern Indian ancestry cases, 119 Southern Indian ancestry controls, 827 Japanese ancestry cases, 3,323 Japanese ancestry controls","rs10737680",362.2,"Degeneration of macula and posterior pole of retina",846,26482,0.71,0.0000000002588,1,196679455,"CFH","rs10737680","Silent",0.39810000,0.8450,"Age-related macular degeneration","Age-related macular degeneration || Circulating myeloperoxidase levels (serum) || Age-related macular degeneration (CNV) || Age-related macular degeneration (GA) || Age-related macular degeneration (EA) || End-stage coagulation (FXIIIA) || Age-related macular degeneration (extreme sampling) || Complement C3 and C4 levels (Serum level of C3) || Nephropathy",-0.740426,7,"sense organs"
6,31930462,"rs429608",362.2,23455636,"Age-related macular degeneration","C2, CFB","SKIV2L",4E-89,1.74,"[1.68-1.79]","intron",0.86,"6,713 European ancestry cases, 48,402 European ancestry contols, 110 Southern Indian ancestry cases, 119 Southern Indian ancestry controls, 827 Japanese ancestry cases, 3,323 Japanese ancestry controls","rs429608",362.2,"Degeneration of macula and posterior pole of retina",846,26482,0.78,0.0009138,6,31930462,"SKIV2L","rs429608","Silent",0.15380000,12.1100,"Age-related macular degeneration","Age-related macular degeneration || IgG glycosylation (IGP2) || IgG glycosylation (IGP42)",1.838769,7,"sense organs"
1,196646176,"rs1329424",362.2,23326517,"Age-related macular degeneration","CFH","CFH",2E-31,1.41,"[1.33-1.49]","intron",0.38,"3,772 European ancestry cases, 16,033 European ancestry controls","rs1329424",362.2,"Degeneration of macula and posterior pole of retina",846,26482,1.34,0.00000002303,1,196646176,"CFH","rs1329424","Silent,Silent",0.38740000,4.4870,"Age-related macular degeneration (EA) || Age-related macular degeneration","Age-related macular degeneration || Circulating myeloperoxidase levels (serum) || Age-related macular degeneration (CNV) || Age-related macular degeneration (GA) || Age-related macular degeneration (EA) || End-stage coagulation (FXIIIA) || Age-related macular degeneration (extreme sampling) || Complement C3 and C4 levels (Serum level of C3) || Nephropathy",0.090329,7,"sense organs"
10,124219275,"rs3793917",362.2,23326517,"Age-related macular degeneration","ARMS2,HTRA1","HTRA1",4E-24,1.45,"[1.35-1.56]","nearGene-5",0.2,"3,772 European ancestry cases, 16,033 European ancestry controls","rs3793917",362.2,"Degeneration of macula and posterior pole of retina",846,26482,1.36,0.0000001355,10,124219275,"","rs3793917","",0.21470000,0.1900,"Age-related macular degeneration || Age-related macular degeneration (EA)",NULL,-1.054270,7,"sense organs"
10,124219275,"rs3793917",362.2,23326517,"Age-related macular degeneration","ARMS2, HTRA1","HTRA1",1E-25,1.39,"[1.32-1.49]","nearGene-5",0.26,"3,772 European ancestry cases, 16,033 European ancestry controls","rs3793917",362.2,"Degeneration of macula and posterior pole of retina",846,26482,1.36,0.0000001355,10,124219275,"","rs3793917","",0.21470000,0.1900,"Age-related macular degeneration || Age-related macular degeneration (EA)",NULL,-1.054270,7,"sense organs"
6,31916951,"rs541862",362.2,22694956,"Age-related macular degeneration","CFB","CFB",9E-17,1.89,"[1.61-2.17]","intron",0.99,"893 European ancestry cases, 2,199 European ancestry controls","rs541862",362.2,"Degeneration of macula and posterior pole of retina",846,26482,0.74,0.00153,6,31916951,"CFB","rs541862","Silent",0.09435000,4.6850,"Age-related macular degeneration","Age-related macular degeneration || Age-related macular degeneration (CNV) || Age-related macular degeneration (GA)",0.127331,7,"sense organs"
1,196679455,"rs10737680",362.2,20385819,"Age-related macular degeneration","CFH","CFH",2E-76,3.11,"[2.76-3.51]","intron",0.566,"2,978 European ancestry cases, 2,859 European ancestry controls","rs10737680",362.2,"Degeneration of macula and posterior pole of retina",846,26482,0.71,0.0000000002588,1,196679455,"CFH","rs10737680","Silent",0.39810000,0.8450,"Age-related macular degeneration","Age-related macular degeneration || Circulating myeloperoxidase levels (serum) || Age-related macular degeneration (CNV) || Age-related macular degeneration (GA) || Age-related macular degeneration (EA) || End-stage coagulation (FXIIIA) || Age-related macular degeneration (extreme sampling) || Complement C3 and C4 levels (Serum level of C3) || Nephropathy",-0.740426,7,"sense organs"
10,124219275,"rs3793917",362.2,20385819,"Age-related macular degeneration","ARMS2,HTRA1","HTRA1",4E-60,3.40,"[2.94-3.94]","nearGene-5",0.164,"2,978 European ancestry cases, 2,859 European ancestry controls","rs3793917",362.2,"Degeneration of macula and posterior pole of retina",846,26482,1.36,0.0000001355,10,124219275,"","rs3793917","",0.21470000,0.1900,"Age-related macular degeneration || Age-related macular degeneration (EA)",NULL,-1.054270,7,"sense organs"
6,31930462,"rs429608",362.2,20385819,"Age-related macular degeneration","C2,CFB","SKIV2L",3E-21,2.16,"[1.84-2.53]","intron",0.842,"2,978 European ancestry cases, 2,859 European ancestry controls","rs429608",362.2,"Degeneration of macula and posterior pole of retina",846,26482,0.78,0.0009138,6,31930462,"SKIV2L","rs429608","Silent",0.15380000,12.1100,"Age-related macular degeneration","Age-related macular degeneration || IgG glycosylation (IGP2) || IgG glycosylation (IGP42)",1.838769,7,"sense organs"
1,196646176,"rs1329424",362.2,20385819,"Age-related macular degeneration","CFH","CFH",6E-16,1.88,"[1.68-2.10]","intron",0.351,"2,978 European ancestry cases, 2,859 European ancestry controls","rs1329424",362.2,"Degeneration of macula and posterior pole of retina",846,26482,1.34,0.00000002303,1,196646176,"CFH","rs1329424","Silent,Silent",0.38740000,4.4870,"Age-related macular degeneration (EA) || Age-related macular degeneration","Age-related macular degeneration || Circulating myeloperoxidase levels (serum) || Age-related macular degeneration (CNV) || Age-related macular degeneration (GA) || Age-related macular degeneration (EA) || End-stage coagulation (FXIIIA) || Age-related macular degeneration (extreme sampling) || Complement C3 and C4 levels (Serum level of C3) || Nephropathy",0.090329,7,"sense organs"
1,196701051,"rs380390",362.2,15761122,"Age-related macular degeneration","CFH","CFH",4E-8,4.60,"[2.0-11]","intron","0.70 (HapMap CEU)","96 European ancestry cases,50 European ancestry controls","rs380390",362.2,"Degeneration of macula and posterior pole of retina",846,26482,1.35,0.00000000594,1,196701051,"CFH","rs380390","Silent",0.42450000,0.0290,"Age-related macular degeneration","Age-related macular degeneration || Circulating myeloperoxidase levels (serum) || Age-related macular degeneration (CNV) || Age-related macular degeneration (GA) || Age-related macular degeneration (EA) || End-stage coagulation (FXIIIA) || Age-related macular degeneration (extreme sampling) || Complement C3 and C4 levels (Serum level of C3) || Nephropathy",-1.344748,7,"sense organs"
2,191964633,"rs7574865",695.42,23273568,"Systemic lupus erythematosus","STAT4","STAT4",1E-21,1.63,"","intron",0.34,"1,656 Han Chinese cases, 3,394 Han Chinese controls","rs7574865",695.42,"Systemic lupus erythematosus",437,24926,1.28,0.001468,2,191964633,"STAT4","rs7574865","Silent,Silent",0.22420000,2.1500,"Systemic lupus erythematosus || Hepatocellular carcinoma (hepatitis B virus related) || Rheumatoid arthritis || Celiac disease and Rheumatoid arthritis || Systemic lupus erythematosus (case-only) || Primary biliary cirrhosis || Systemic lupus erythematosus (anti-dsDNA +) || Systemic sclerosis","Behcet's disease || Inflammatory bowel disease || Systemic lupus erythematosus || Systemic sclerosis || Systemic sclerosis (IcSSc) || Celiac disease and Rheumatoid arthritis || Hepatocellular carcinoma (hepatitis B virus related) || Primary biliary cirrhosis || Rheumatoid arthritis || Systemic lupus erythematosus (anti-dsDNA +) || Systemic lupus erythematosus (case-only) || Systemic lupus erythematosus and Systemic sclerosis",-0.394622,13,"dermatologic"
1,173191475,"rs2205960",695.42,23273568,"Systemic lupus erythematosus","TNFSF4","TNFSF4 - RPL26P11",3E-12,1.36,"","Intergenic",0.25,"1,656 Han Chinese cases, 3,394 Han Chinese controls","rs2205960",695.42,"Systemic lupus erythematosus",437,24926,1.20,0.02178,1,173191475,"","rs2205960","",0.22660000,1.1090,"Systemic lupus erythematosus",NULL,-0.658875,13,"dermatologic"
2,191964633,"rs7574865",695.42,21408207,"Systemic lupus erythematosus","STAT4","STAT4",2E-20,1.77,"[1.57-1.99]","intron",0.23,"811 anti-dsDNA positive European ancestry cases, 906 anti-dsDNA negative European ancestry cases, 4,813 European ancestry controls","rs7574865",695.42,"Systemic lupus erythematosus",437,24926,1.28,0.001468,2,191964633,"STAT4","rs7574865","Silent,Silent",0.22420000,2.1500,"Systemic lupus erythematosus || Hepatocellular carcinoma (hepatitis B virus related) || Rheumatoid arthritis || Celiac disease and Rheumatoid arthritis || Systemic lupus erythematosus (case-only) || Primary biliary cirrhosis || Systemic lupus erythematosus (anti-dsDNA +) || Systemic sclerosis","Behcet's disease || Inflammatory bowel disease || Systemic lupus erythematosus || Systemic sclerosis || Systemic sclerosis (IcSSc) || Celiac disease and Rheumatoid arthritis || Hepatocellular carcinoma (hepatitis B virus related) || Primary biliary cirrhosis || Rheumatoid arthritis || Systemic lupus erythematosus (anti-dsDNA +) || Systemic lupus erythematosus (case-only) || Systemic lupus erythematosus and Systemic sclerosis",-0.394622,13,"dermatologic"
7,128594183,"rs10488631",695.42,21408207,"Systemic lupus erythematosus","IRF5","TNPO3",7E-18,1.92,"[1.66-2.22]","nearGene-3",0.11,"811 anti-dsDNA positive European ancestry cases, 906 anti-dsDNA negative European ancestry cases, 4,813 European ancestry controls","rs10488631",695.42,"Systemic lupus erythematosus",437,24926,1.55,0.000003131,7,128594183,"","rs10488631","",0.11310000,4.5950,"Rheumatoid arthritis || Systemic sclerosis (ACA positive) || Systemic sclerosis (IcSSc) || Primary biliary cirrhosis || Systemic lupus erythematosus || Systemic sclerosis || Systemic lupus erythematosus (anti-dsDNA +) || Systemic sclerosis (ATA positive) || Systemic sclerosis (dcSSc)",NULL,0.110622,13,"dermatologic"
16,31313253,"rs9888739",695.42,21408207,"Systemic lupus erythematosus","ITGAM","ITGAM",1E-15,1.80,"[1.56-2.07]","intron",0.13,"811 anti-dsDNA positive European ancestry cases, 906 anti-dsDNA negative European ancestry cases, 4,813 European ancestry controls","rs9888739",695.42,"Systemic lupus erythematosus",437,24926,1.22,0.03755,16,31313253,"ITGAM","rs9888739","Silent,Silent",0.12530000,0.6020,"Systemic lupus erythematosus || Systemic lupus erythematosus (anti-dsDNA +)","Systemic lupus erythematosus || Systemic lupus erythematosus (anti-dsDNA +) || Systemic lupus erythematosus and Systemic sclerosis",-0.828676,13,"dermatologic"
