SNP	pheno	maf	prev	table	minN	logit_OR	logit_p-val	exact_OR	exact_p-val	bayes factor
exm1040858	pheno_433.11	1.161e-03	5.530e-03	[[24590, 48, 0], [133, 3, 1]]	0.000e+00	1.680e+01	4.470e-08	1.906e+01	4.681e-03	38.76
exm1042558	pheno_526.5	7.573e-03	1.669e-03	[[27099, 397, 3], [40, 6, 0]]	0.000e+00	9.073e+00	1.405e-07	9.451e+00	4.149e-03	41.72
exm1044077	pheno_221	1.920e-03	2.372e-03	[[12136, 47], [26, 3]]	3.000e+00	0.000e+00	0.000e+00	2.979e+01	2.407e-02	9.33
exm1044519	pheno_323.8	9.766e-03	1.543e-03	[[28523, 558, 3], [38, 7, 0]]	0.000e+00	8.598e+00	6.813e-08	8.614e+00	2.493e-03	65.91
exm1045523	pheno_420	1.228e-03	2.106e-02	[[27087, 58], [575, 9]]	9.000e+00	7.201e+00	4.546e-08	7.310e+00	1.211e-03	127.46
exm1045591	pheno_626.14	1.665e-03	2.702e-03	[[11039, 31], [27, 3]]	3.000e+00	0.000e+00	0.000e+00	3.957e+01	2.313e-02	9.73
exm1047380	pheno_295.1	2.618e-03	3.904e-03	[[20233, 104], [75, 5]]	5.000e+00	1.206e+01	1.510e-07	1.297e+01	6.347e-03	29.06
exm1048192	pheno_362.29	1.093e-03	9.834e-03	[[26428, 54], [257, 6]]	6.000e+00	1.310e+01	3.154e-08	1.143e+01	3.574e-03	48.56
exm1050291	pheno_624	1.564e-03	5.804e-03	[[13834, 42], [77, 4]]	4.000e+00	0.000e+00	0.000e+00	1.711e+01	1.209e-02	16.68
exm1052799	pheno_802	1.046e-03	8.456e-03	[[22307, 43], [197, 4]]	4.000e+00	1.747e+01	1.293e-07	1.053e+01	1.647e-02	12.46
exm1052962	pheno_870.6	4.224e-03	8.769e-04	[[25989, 210, 0], [20, 2, 1]]	0.000e+00	2.052e+01	1.443e-08	2.367e+01	9.679e-03	20.36
exm1053243	pheno_731	1.761e-03	1.381e-03	[[22037, 72], [29, 3]]	3.000e+00	3.648e+01	8.371e-09	3.166e+01	2.283e-02	9.72
exm1053243	pheno_394.2	1.761e-03	5.848e-03	[[21684, 71], [131, 5]]	5.000e+00	1.317e+01	5.371e-08	1.166e+01	6.978e-03	26.56
exm1054490	pheno_642.1	2.418e-03	6.860e-03	[[15062, 72], [100, 5]]	5.000e+00	0.000e+00	0.000e+00	1.046e+01	7.978e-03	23.51
exm1054959	pheno_333.8	2.002e-03	1.408e-03	[[22597, 94], [29, 3]]	3.000e+00	2.765e+01	9.659e-08	2.487e+01	2.426e-02	9.18
exm1055697	pheno_626.11	1.093e-03	1.442e-02	[[11050, 21], [157, 5]]	5.000e+00	0.000e+00	0.000e+00	1.676e+01	6.604e-03	29.02
exm1056970	pheno_597.8	2.675e-03	6.178e-03	[[26410, 133], [158, 7]]	7.000e+00	9.329e+00	2.462e-08	8.797e+00	2.402e-03	68.20
exm1057912	pheno_715.2	1.093e-03	2.300e-03	[[24254, 42], [53, 3]]	3.000e+00	3.827e+01	4.063e-09	3.269e+01	2.222e-02	9.92
exm1058296	pheno_876	6.393e-03	1.980e-03	[[25877, 321, 5], [47, 4, 1]]	1.000e+00	8.147e+00	1.485e-07	9.632e+00	3.993e-03	43.18
exm1059236	pheno_292.2	1.161e-03	1.452e-03	[[24003, 60], [32, 3]]	3.000e+00	4.377e+01	1.978e-09	3.750e+01	2.187e-02	10.11
exm1060234	pheno_530.6	1.379e-03	2.129e-03	[[19171, 49], [38, 3]]	3.000e+00	3.431e+01	2.727e-08	3.089e+01	2.286e-02	9.70
exm1062820	pheno_526.3	3.484e-03	1.343e-03	[[27308, 186], [33, 4]]	4.000e+00	1.733e+01	1.738e-07	1.780e+01	1.174e-02	17.14
exm106534	pheno_743.21	1.043e-03	7.582e-03	[[22988, 44], [171, 5]]	5.000e+00	1.563e+01	2.785e-08	1.528e+01	5.765e-03	32.02
exm1065517	pheno_292.1	7.503e-03	2.135e-02	[[23711, 350, 2], [502, 22, 1]]	1.000e+00	3.107e+00	9.841e-08	3.157e+00	8.756e-05	1346.95
exm106603	pheno_282.9	1.564e-03	4.232e-03	[[19000, 57], [76, 5]]	5.000e+00	2.269e+01	1.241e-09	2.193e+01	4.499e-03	40.48
exm106603	pheno_283.2	1.564e-03	3.347e-03	[[19000, 57], [60, 4]]	4.000e+00	2.301e+01	5.217e-09	2.222e+01	1.031e-02	19.28
exm106603	pheno_282	1.564e-03	5.635e-03	[[19000, 57], [103, 5]]	5.000e+00	1.658e+01	1.852e-08	1.618e+01	5.430e-03	33.79
exm1066104	pheno_370.1	1.792e-03	2.718e-03	[[22687, 74], [63, 4]]	4.000e+00	2.022e+01	1.456e-08	1.947e+01	1.075e-02	18.47
exm1066585	pheno_735.22	1.615e-03	9.093e-04	[[26286, 82, 1], [21, 3, 0]]	0.000e+00	3.288e+01	5.401e-09	4.179e+01	2.038e-02	10.68
exm1068060	pheno_710	2.693e-03	2.359e-02	[[24158, 128, 1], [571, 16, 0]]	0.000e+00	4.942e+00	1.783e-09	5.149e+00	9.386e-05	1331.82
exm1068060	pheno_710.1	2.693e-03	2.265e-02	[[24158, 128, 1], [548, 15, 0]]	0.000e+00	4.818e+00	8.530e-09	5.031e+00	1.632e-04	789.78
exm1068136	pheno_816	1.430e-03	1.252e-03	[[28631, 77, 1], [33, 3, 0]]	0.000e+00	2.517e+01	3.412e-08	3.156e+01	2.126e-02	10.22
exm1068322	pheno_255.3	1.496e-02	1.165e-03	[[24966, 754, 6], [22, 8, 0]]	0.000e+00	1.036e+01	2.669e-09	1.018e+01	1.126e-03	139.05
exm1069490	pheno_286.12	1.026e-03	1.504e-03	[[22509, 49], [31, 3]]	3.000e+00	4.738e+01	6.386e-10	4.445e+01	2.143e-02	10.33
exm1070202	pheno_187.2	1.161e-03	4.895e-03	[[11774, 18], [55, 3]]	3.000e+00	0.000e+00	0.000e+00	3.568e+01	2.400e-02	9.44
exm1073244	pheno_599.8	4.609e-03	1.816e-03	[[21779, 203, 0], [36, 3, 1]]	0.000e+00	1.365e+01	2.311e-08	1.437e+01	5.534e-03	32.85
exm1073661	pheno_149.3	4.475e-03	1.533e-03	[[27757, 244], [38, 5]]	5.000e+00	1.539e+01	1.467e-08	1.497e+01	5.963e-03	31.11
exm107506	pheno_259.8	4.979e-03	8.932e-04	[[25473, 249, 6], [19, 4, 0]]	0.000e+00	1.277e+01	8.658e-08	1.868e+01	1.089e-02	18.23
exm1077952	pheno_800.2	1.363e-03	8.920e-03	[[25374, 63, 0], [224, 4, 1]]	0.000e+00	9.222e+00	1.655e-07	1.071e+01	3.680e-03	46.96
exm1078163	pheno_375	1.026e-03	3.821e-03	[[25757, 53], [95, 4]]	4.000e+00	2.017e+01	1.359e-08	2.046e+01	1.046e-02	18.94
exm1079829	pheno_474.1	1.178e-03	1.478e-03	[[20890, 52], [28, 3]]	3.000e+00	4.264e+01	7.227e-09	4.304e+01	2.173e-02	10.21
exm1081043	pheno_575.1	2.127e-03	8.587e-03	[[27165, 109], [229, 8]]	8.000e+00	8.776e+00	5.664e-09	8.706e+00	1.298e-03	119.70
exm1081043	pheno_571.6	2.127e-03	1.011e-02	[[23127, 101], [229, 8]]	8.000e+00	7.704e+00	4.811e-08	7.999e+00	1.565e-03	100.43
exm1081369	pheno_571.6	1.247e-03	1.011e-02	[[23206, 53], [232, 6]]	6.000e+00	1.076e+01	5.413e-08	1.132e+01	3.648e-03	47.67
exm1081492	pheno_451.2	3.666e-02	9.459e-03	[[21030, 1561, 28], [181, 32, 3]]	3.000e+00	2.629e+00	2.231e-08	2.602e+00	1.819e-05	5833.34
exm1081887	pheno_523.3	2.586e-02	3.369e-03	[[26104, 1387, 2], [76, 17, 0]]	0.000e+00	4.151e+00	1.097e-07	3.876e+00	2.582e-04	501.16
exm1084167	pheno_149.3	2.507e-03	1.533e-03	[[27865, 135], [39, 4]]	4.000e+00	2.640e+01	1.290e-09	2.117e+01	1.050e-02	18.95
exm1084167	pheno_592.13	2.507e-03	3.098e-03	[[21132, 107], [61, 5]]	5.000e+00	1.412e+01	4.076e-08	1.619e+01	5.355e-03	34.17
exm1085535	pheno_112.3	3.006e-03	3.836e-03	[[25458, 149, 0], [93, 6, 0]]	0.000e+00	1.109e+01	2.110e-08	1.071e+01	3.395e-03	50.17
exm1086230	pheno_642.1	2.431e-03	6.860e-03	[[15075, 78], [99, 6]]	6.000e+00	0.000e+00	0.000e+00	1.171e+01	3.484e-03	49.71
exm1086230	pheno_575.1	2.431e-03	8.587e-03	[[27137, 126], [229, 8]]	8.000e+00	7.744e+00	3.491e-08	7.524e+00	1.710e-03	92.06
exm1086336	pheno_523.1	2.777e-03	7.647e-03	[[27355, 144, 1], [204, 8, 0]]	0.000e+00	6.850e+00	1.216e-07	7.225e+00	1.753e-03	89.48
exm1086782	pheno_010	1.178e-03	1.799e-03	[[24891, 59], [42, 3]]	3.000e+00	3.256e+01	1.499e-08	3.013e+01	2.256e-02	9.77
exm1092064	pheno_580.4	2.664e-03	3.894e-03	[[22092, 112], [82, 5]]	5.000e+00	1.227e+01	1.022e-07	1.203e+01	6.723e-03	27.48
exm1094882	pheno_157	1.486e-03	8.602e-03	[[25191, 75], [214, 6]]	6.000e+00	9.661e+00	1.744e-07	9.417e+00	4.377e-03	39.90
exm1095188	pheno_271.9	1.077e-03	6.754e-04	[[29528, 59, 1], [18, 2, 0]]	0.000e+00	6.000e+01	5.634e-08	5.101e+01	5.459e-02	4.64
exm1097059	pheno_743.22	1.514e-03	4.279e-03	[[22973, 58], [95, 4]]	4.000e+00	1.748e+01	7.088e-08	1.668e+01	1.166e-02	17.10
exm1097680	pheno_701.3	1.161e-03	1.965e-03	[[26348, 61], [49, 3]]	3.000e+00	2.878e+01	4.743e-08	2.644e+01	2.314e-02	9.53
exm1097680	pheno_258	1.161e-03	2.288e-03	[[25669, 58], [56, 3]]	3.000e+00	2.607e+01	1.024e-07	2.371e+01	2.384e-02	9.26
exm1098203	pheno_360.2	2.676e-03	1.659e-03	[[26326, 136, 1], [41, 2, 1]]	1.000e+00	1.465e+01	5.151e-08	1.822e+01	1.049e-02	18.70
exm1099035	pheno_871.3	1.935e-03	2.170e-03	[[26112, 94, 1], [53, 4, 0]]	0.000e+00	1.649e+01	4.671e-08	1.982e+01	1.002e-02	19.53
exm1099035	pheno_110.13	1.935e-03	3.372e-03	[[25613, 96, 1], [83, 4, 0]]	0.000e+00	1.135e+01	1.407e-06	1.232e+01	1.348e-02	14.80
exm1101699	pheno_530.9	4.425e-03	9.380e-03	[[19060, 157, 0], [173, 9, 0]]	0.000e+00	6.430e+00	1.232e-07	6.181e+00	1.455e-03	105.08
exm1105441	pheno_586.3	5.535e-03	1.525e-03	[[22023, 228, 5], [29, 5, 0]]	0.000e+00	1.195e+01	1.385e-08	1.476e+01	5.497e-03	33.14
exm1106680	pheno_642.1	2.195e-03	6.860e-03	[[15084, 68], [99, 6]]	6.000e+00	0.000e+00	0.000e+00	1.344e+01	3.036e-03	56.73
exm1107163	pheno_728.1	1.464e-03	9.753e-04	[[23500, 58, 2], [20, 3, 0]]	0.000e+00	2.751e+01	7.080e-09	5.295e+01	1.986e-02	10.98
exm1108572	pheno_642.1	1.758e-03	6.860e-03	[[15080, 56], [99, 5]]	5.000e+00	0.000e+00	0.000e+00	1.360e+01	6.345e-03	29.23
exm1110501	pheno_642.1	3.165e-03	6.860e-03	[[15024, 100], [97, 7]]	7.000e+00	0.000e+00	0.000e+00	1.084e+01	1.907e-03	85.62
exm1110501	pheno_697	3.165e-03	1.112e-02	[[24937, 154], [270, 11]]	1.100e+01	6.450e+00	4.777e-09	6.597e+00	4.238e-04	330.48
exm1110501	pheno_575.1	3.165e-03	8.587e-03	[[27036, 165], [224, 9]]	9.000e+00	6.802e+00	4.082e-08	6.583e+00	1.273e-03	119.43
exm1114645	pheno_459.9	3.445e-03	1.693e-02	[[21150, 136], [377, 11]]	1.100e+01	5.311e+00	2.089e-07	4.538e+00	1.516e-03	99.08
exm1116107	pheno_539	1.060e-03	7.219e-03	[[29367, 58], [209, 5]]	5.000e+00	1.358e+01	4.187e-08	1.211e+01	6.732e-03	27.49
exm1116495	pheno_259.8	1.262e-03	8.932e-04	[[25671, 54, 2], [20, 3, 0]]	0.000e+00	3.202e+01	2.152e-09	6.182e+01	1.946e-02	11.20
exm111896	pheno_713.5	1.669e-03	3.364e-03	[[24149, 79], [78, 4]]	4.000e+00	1.676e+01	8.835e-08	1.568e+01	1.197e-02	16.66
exm1119928	pheno_340.1	1.416e-03	4.440e-03	[[27895, 75, 1], [119, 5, 0]]	0.000e+00	1.340e+01	1.950e-08	1.493e+01	5.294e-03	34.20
exm112120	pheno_703.8	1.497e-03	1.576e-03	[[27795, 82], [41, 3]]	3.000e+00	2.521e+01	1.188e-07	2.480e+01	2.360e-02	9.36
exm1124179	pheno_573.2	1.909e-02	1.492e-02	[[22451, 833, 5], [312, 32, 9]]	5.000e+00	4.016e+00	1.851e-20	4.135e+00	9.899e-13	nan
exm1124179	pheno_270.3	1.909e-02	1.706e-02	[[26634, 994, 6], [437, 30, 13]]	6.000e+00	3.289e+00	2.000e-17	3.341e+00	6.872e-14	nan
exm1124179	pheno_571.51	1.909e-02	2.985e-02	[[22451, 833, 5], [654, 54, 9]]	5.000e+00	2.828e+00	1.127e-16	2.868e+00	1.390e-11	nan
exm1124179	pheno_270	1.909e-02	2.072e-02	[[26634, 994, 6], [537, 34, 13]]	6.000e+00	2.840e+00	8.927e-15	2.921e+00	1.110e-16	nan
exm1124179	pheno_851	1.909e-02	1.763e-02	[[24137, 904, 11], [408, 33, 9]]	9.000e+00	3.014e+00	2.946e-14	3.190e+00	2.023e-08	nan
exm1124179	pheno_571.8	1.909e-02	2.335e-02	[[22451, 833, 5], [511, 38, 8]]	5.000e+00	2.730e+00	2.217e-12	2.764e+00	1.228e-07	nan
exm1124179	pheno_571.5	1.909e-02	4.083e-02	[[22451, 833, 5], [921, 61, 10]]	5.000e+00	2.277e+00	2.783e-12	2.309e+00	2.543e-08	nan
exm1124179	pheno_571.81	1.909e-02	1.551e-02	[[22451, 833, 5], [337, 23, 7]]	5.000e+00	2.840e+00	1.102e-09	2.880e+00	5.170e-06	nan
exm1124179	pheno_571	1.909e-02	4.975e-02	[[22451, 833, 5], [1143, 67, 10]]	5.000e+00	1.984e+00	1.672e-09	2.006e+00	4.946e-07	177689.28
exm1124179	pheno_530.2	1.909e-02	1.879e-02	[[18499, 696, 9], [338, 25, 5]]	5.000e+00	2.593e+00	5.271e-08	2.636e+00	2.808e-05	3862.65
exm1124193	pheno_531.1	4.004e-03	3.531e-03	[[28280, 224], [94, 7]]	7.000e+00	9.464e+00	1.911e-08	9.402e+00	2.192e-03	74.49
exm1124516	pheno_420.22	2.204e-03	3.524e-03	[[27032, 113], [91, 5]]	5.000e+00	1.316e+01	4.202e-08	1.314e+01	6.094e-03	30.07
exm1124581	pheno_071	1.194e-03	5.005e-03	[[24393, 57, 1], [118, 5, 0]]	0.000e+00	1.754e+01	8.616e-10	1.718e+01	4.899e-03	36.97
exm1125014	pheno_339	2.353e-03	7.844e-04	[[27730, 117, 4], [20, 1, 1]]	1.000e+00	1.664e+01	7.954e-08	3.253e+01	2.148e-02	10.17
exm1127406	pheno_571.6	1.181e-03	1.011e-02	[[23185, 46, 0], [232, 6, 0]]	0.000e+00	1.225e+01	1.284e-08	1.288e+01	3.156e-03	54.74
exm112779	pheno_526.41	3.264e-03	2.357e-03	[[27340, 168, 3], [61, 3, 1]]	1.000e+00	9.738e+00	9.800e-08	1.261e+01	5.996e-03	30.31
exm1127996	pheno_220	3.382e-03	6.740e-03	[[12161, 70], [77, 6]]	6.000e+00	0.000e+00	0.000e+00	1.354e+01	3.105e-03	55.72
exm1130553	pheno_697	2.585e-03	1.112e-02	[[25008, 126], [272, 10]]	1.000e+01	7.150e+00	4.106e-09	7.297e+00	5.729e-04	251.83
exm1130553	pheno_575.1	2.585e-03	8.587e-03	[[27113, 135], [229, 8]]	8.000e+00	7.162e+00	1.064e-07	7.016e+00	1.973e-03	80.41
exm1134114	pheno_790.8	1.598e-03	4.640e-03	[[25875, 78], [116, 5]]	5.000e+00	1.446e+01	1.531e-08	1.430e+01	5.723e-03	31.95
exm113805	pheno_502	3.096e-03	1.763e-02	[[20117, 111, 2], [354, 7, 2]]	2.000e+00	5.207e+00	6.332e-08	5.397e+00	8.181e-04	177.15
exm1144019	pheno_614.1	1.834e-03	5.762e-03	[[14265, 55], [78, 5]]	5.000e+00	0.000e+00	0.000e+00	1.663e+01	5.492e-03	33.57
exm1144074	pheno_367.9	1.026e-03	1.024e-02	[[27315, 51], [277, 6]]	6.000e+00	1.194e+01	1.507e-08	1.160e+01	3.543e-03	49.02
exm1145890	pheno_733.4	1.044e-03	7.411e-03	[[25246, 48], [184, 5]]	5.000e+00	1.349e+01	4.931e-08	1.429e+01	5.982e-03	30.85
exm1146241	pheno_686.3	2.709e-03	1.016e-03	[[24447, 137], [21, 4]]	4.000e+00	3.303e+01	6.094e-10	3.399e+01	9.738e-03	20.76
exm1147252	pheno_642.1	2.429e-03	6.860e-03	[[15092, 77], [98, 6]]	6.000e+00	0.000e+00	0.000e+00	1.200e+01	3.395e-03	50.96
exm1149181	pheno_642.1	2.182e-03	6.860e-03	[[15059, 67], [98, 6]]	6.000e+00	0.000e+00	0.000e+00	1.376e+01	2.971e-03	57.93
exm1150507	pheno_441	1.043e-03	6.773e-03	[[24000, 51], [159, 5]]	5.000e+00	1.476e+01	1.575e-08	1.480e+01	5.783e-03	31.82
exm1150507	pheno_550.3	1.043e-03	7.704e-04	[[25886, 53], [18, 2]]	2.000e+00	7.255e+01	3.678e-08	5.427e+01	5.680e-02	4.54
exm1153299	pheno_446.6	2.810e-03	1.453e-03	[[23919, 129], [31, 4]]	4.000e+00	2.297e+01	6.296e-09	2.392e+01	1.030e-02	19.42
exm115552	pheno_054	1.098e-03	8.153e-03	[[24290, 49], [196, 5]]	5.000e+00	1.337e+01	6.110e-08	1.265e+01	6.655e-03	27.90
exm1157929	pheno_411.41	1.346e-03	2.540e-03	[[21935, 53], [53, 3]]	3.000e+00	2.560e+01	1.218e-07	2.343e+01	2.415e-02	9.17
exm1160128	pheno_368.3	5.115e-03	8.431e-04	[[26988, 262, 3], [19, 4, 0]]	0.000e+00	1.622e+01	2.957e-08	1.927e+01	1.069e-02	18.54
exm1161045	pheno_696.41	1.292e-01	1.226e-02	[[18091, 5306, 399], [181, 97, 17]]	1.700e+01	1.931e+00	4.537e-11	1.940e+00	0.000e+00	3305927.21
exm1161045	pheno_696.4	1.292e-01	1.610e-02	[[18091, 5306, 399], [247, 125, 17]]	1.700e+01	1.740e+00	7.297e-10	1.746e+00	6.421e-12	1088612.23
exm1161045	pheno_696	1.292e-01	1.667e-02	[[18091, 5306, 399], [259, 127, 17]]	1.700e+01	1.691e+00	3.707e-09	1.697e+00	2.010e-07	415863.63
exm1161676	pheno_374.2	1.719e-03	1.089e-03	[[25284, 87], [25, 3]]	3.000e+00	3.367e+01	1.540e-08	3.487e+01	2.251e-02	9.87
exm1165508	pheno_697	2.227e-03	1.112e-02	[[25064, 108, 1], [275, 9, 0]]	0.000e+00	6.859e+00	2.479e-08	7.353e+00	9.728e-04	154.22
exm1165508	pheno_642.1	2.227e-03	6.860e-03	[[15093, 69, 0], [99, 5, 0]]	0.000e+00	0.000e+00	0.000e+00	1.080e+01	7.413e-03	25.05
exm1169144	pheno_874	3.348e-03	1.904e-03	[[26033, 171], [44, 6]]	6.000e+00	1.916e+01	2.795e-11	2.076e+01	2.107e-03	80.68
exm1170353	pheno_110.12	2.433e-03	4.029e-03	[[25495, 115], [97, 5]]	5.000e+00	1.226e+01	1.114e-07	1.143e+01	6.953e-03	26.57
exm1171782	pheno_642.1	2.701e-03	6.860e-03	[[15070, 83], [98, 6]]	6.000e+00	0.000e+00	0.000e+00	1.112e+01	3.688e-03	47.08
exm1173113	pheno_378.1	1.935e-03	1.001e-02	[[25713, 96], [252, 9]]	9.000e+00	8.329e+00	1.911e-08	9.566e+00	5.879e-04	250.60
exm1174428	pheno_571.6	2.383e-03	1.011e-02	[[23087, 112], [229, 8]]	8.000e+00	6.856e+00	2.405e-07	7.201e+00	1.921e-03	82.67
exm1176384	pheno_642.1	2.400e-03	6.860e-03	[[15057, 70], [99, 6]]	6.000e+00	0.000e+00	0.000e+00	1.304e+01	3.127e-03	55.15
exm1177565	pheno_751.11	4.037e-03	2.175e-03	[[15030, 111, 1], [29, 4, 0]]	0.000e+00	0.000e+00	0.000e+00	1.723e+01	1.124e-02	17.64
exm1177994	pheno_642.1	1.453e-03	6.860e-03	[[15093, 47], [100, 5]]	5.000e+00	0.000e+00	0.000e+00	1.606e+01	5.662e-03	32.64
exm117887	pheno_389.2	1.211e-03	1.652e-02	[[25838, 50, 2], [426, 9, 0]]	0.000e+00	7.427e+00	1.206e-07	1.001e+01	6.179e-04	242.03
exm1179874	pheno_642.1	2.210e-03	6.860e-03	[[15081, 67], [98, 6]]	6.000e+00	0.000e+00	0.000e+00	1.378e+01	2.967e-03	58.02
exm1180284	pheno_474.1	1.901e-03	1.478e-03	[[20859, 83], [28, 3]]	3.000e+00	3.173e+01	5.801e-08	2.693e+01	2.386e-02	9.34
exm1180599	pheno_165	3.322e-01	4.352e-02	[[12577, 12299, 3077], [483, 611, 178]]	1.780e+02	1.256e+00	6.804e-08	1.245e+00	0.000e+00	208793.21
exm1180599	pheno_165.1	3.322e-01	4.284e-02	[[12577, 12299, 3077], [475, 600, 176]]	1.760e+02	1.258e+00	7.074e-08	1.247e+00	3.980e-07	205070.19
exm1181642	pheno_297.2	2.355e-03	2.833e-03	[[20319, 91], [54, 4]]	4.000e+00	1.620e+01	1.802e-07	1.654e+01	1.184e-02	16.89
exm1181796	pheno_686.3	1.194e-03	1.016e-03	[[24529, 56], [23, 2]]	2.000e+00	5.893e+01	2.783e-07	3.809e+01	5.814e-02	4.42
exm1184280	pheno_519.2	1.057e-03	2.132e-03	[[24069, 45], [51, 3]]	3.000e+00	3.420e+01	1.067e-08	3.146e+01	2.238e-02	9.85
exm1187096	pheno_870.5	1.009e-03	2.246e-03	[[26158, 48], [56, 3]]	3.000e+00	2.990e+01	2.774e-08	2.919e+01	2.261e-02	9.74
