,SNP,Lab_name,best_measure,best_P,best_OR_Beta,catalog_assoc_SNP,catalog_assoc_gene,CHR,MapInfo,gene,rsID,cases,eh_case,el_case,Mutation,MAF_W,mean_Beta,mean_P,median_Beta,median_P,first_Beta,first_P,min_Beta,min_P,max_Beta,max_P,ever_low_OR,ever_low_P,ever_high_OR,ever_high_P,Lab_cat,Lab_full_name,SNP.1,lab_name,jd_string,trait
11,rs2900976,Alb,ever_high,0.06679,1.112,Protein quantitative trait loci (Albumin),,2,71958480.0,,rs2900976,22697.0,645.0,8138.0,,0.3471,-0.0021609999999999997,0.5772,-0.002803,0.4768,-0.003628,0.441,0.0006359,0.9187,-0.003094,0.4469,0.99,0.7426,1.11,0.06679,LiverPanel,ALBUMIN BLOOD,rs2900976,ALB,Other specified disorders of plasma protein metabolism,Protein quantitative trait loci (Albumin)
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs1260326,ALB,Other specified disorders of plasma protein metabolism,Serum albumin level
16,rs2280401,Alb,min,0.3941,0.006940999999999999,Serum albumin level || Serum albumin level (EA) || Hematological and biochemical traits (TP) || Serum total protein level || Metabolite levels (ALB) || Serum total protein level (Japanese),Hematological and biochemical traits (TP) || Metabolite levels (ALB) || Serum albumin level || Serum albumin level (EA) || Serum total protein level || Serum total protein level (Japanese),19,50000009.0,RPS11,rs2280401,22697.0,645.0,8138.0,Silent,0.1592,0.002228,0.66,0.0026100000000000003,0.6121,-0.002543,0.6794,0.006940999999999999,0.3941,0.0022199999999999998,0.6762,0.98,0.5392,0.96,0.6179,LiverPanel,ALBUMIN BLOOD,rs2280401,ALB,Other specified disorders of plasma protein metabolism,Serum albumin level
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs1260326,ALB,Other specified disorders of plasma protein metabolism,Serum albumin level (EA)
23,rs2280401,Alb,min,0.3941,0.006940999999999999,Serum albumin level || Serum albumin level (EA) || Hematological and biochemical traits (TP) || Serum total protein level || Metabolite levels (ALB) || Serum total protein level (Japanese),Hematological and biochemical traits (TP) || Metabolite levels (ALB) || Serum albumin level || Serum albumin level (EA) || Serum total protein level || Serum total protein level (Japanese),19,50000009.0,RPS11,rs2280401,22697.0,645.0,8138.0,Silent,0.1592,0.002228,0.66,0.0026100000000000003,0.6121,-0.002543,0.6794,0.006940999999999999,0.3941,0.0022199999999999998,0.6762,0.98,0.5392,0.96,0.6179,LiverPanel,ALBUMIN BLOOD,rs2280401,ALB,Other specified disorders of plasma protein metabolism,Serum albumin level (EA)
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs1260326,ALB,Other specified disorders of plasma protein metabolism,Serum albumin level (Japanese)
28,rs4328821,BAbs,median,1.983e-11,-0.004187,White blood cell count (Basophils) || White blood cell types (eosinophil count) || White blood cell types (basophil count),,3,128316435.0,,rs4328821,16023.0,4267.0,674.0,,0.1097,-0.004297,1.1550000000000001e-08,-0.004187,1.983e-11,-0.0037600000000000003,0.01867,-0.00303,4.248e-11,-0.006962,0.01805,1.17,0.06117,0.99,0.7493,Differentl Abs,BASO (ABS),rs4328821,BAbs,Elevated white blood cell count,White blood cell count (Basophils)
29,rs12748961,BAbs,ever_low,0.045689999999999995,1.173,White blood cell types (basophil count),,1,205676263.0,,rs12748961,16023.0,4267.0,674.0,,0.1236,-0.0009741,0.1666,-0.0005438,0.3516,-0.002064,0.1671,-0.00047599999999999997,0.2679,-0.002891,0.2935,1.17,0.045689999999999995,0.98,0.6259,Differentl Abs,BASO (ABS),rs12748961,BAbs,Elevated white blood cell count,White blood cell types (basophil count)
30,rs4328821,BAbs,median,1.983e-11,-0.004187,White blood cell count (Basophils) || White blood cell types (eosinophil count) || White blood cell types (basophil count),,3,128316435.0,,rs4328821,16023.0,4267.0,674.0,,0.1097,-0.004297,1.1550000000000001e-08,-0.004187,1.983e-11,-0.0037600000000000003,0.01867,-0.00303,4.248e-11,-0.006962,0.01805,1.17,0.06117,0.99,0.7493,Differentl Abs,BASO (ABS),rs4328821,BAbs,Elevated white blood cell count,White blood cell types (basophil count)
31,rs11018874,BAbs,min,0.00216,-0.0015300000000000001,White blood cell types (basophil count),White blood cell types (basophil count),11,89875437.0,NAALAD2,rs11018874,16023.0,4267.0,674.0,Silent,0.08824,-0.0016239999999999998,0.04696,-0.0016300000000000002,0.01616,-0.001602,0.3557,-0.0015300000000000001,0.00216,-0.001099,0.7308,0.89,0.2485,1.02,0.6247,Differentl Abs,BASO (ABS),rs11018874,BAbs,Elevated white blood cell count,White blood cell types (basophil count)
32,rs7275212,BAbs,median,0.02356,0.003968,White blood cell types (basophil count),White blood cell types (basophil count),21,39852551.0,ERG,rs7275212,16023.0,4267.0,674.0,"Silent,Silent,Silent,Silent,Silent,Silent,Silent",0.01177,0.0034579999999999997,0.1019,0.003968,0.02356,0.0007912,0.86,0.002582,0.04535,0.009097,0.2709,1.06,0.8249,1.18,0.1456,Differentl Abs,BASO (ABS),rs7275212,BAbs,Elevated white blood cell count,White blood cell types (basophil count)
33,rs11587438,BAbs,max,0.1735,0.0036439999999999997,White blood cell types (basophil count),White blood cell types (basophil count),1,6631431.0,TAS1R1,rs11587438,16023.0,4267.0,674.0,"Silent,Silent",0.1302,0.0002934,0.6684,-0.0001347,0.8125,0.001261,0.3855,-0.0001473,0.7245,0.0036439999999999997,0.1735,1.08,0.3322,1.03,0.4381,Differentl Abs,BASO (ABS),rs11587438,BAbs,Elevated white blood cell count,White blood cell types (basophil count)
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs1801725,Ca,Hypercalcemia,Calcium levels
36,rs780094,Ca,median,1.574e-05,0.01955,Fasting insulin-related traits (interaction with BMI) || Fasting glucose-related traits (FPG) || Triglycerides (Hispanic) || Uric acid levels || LDL cholesterol || Fasting insulin-related traits (HOMA-IR) || Fasting glucose-related traits (HOMA-IR) || Fasting glucose-related traits (interaction with BMI) || C-reactive protein || Urate levels || Fasting insulin-related traits (FI) || Calcium levels || Metabolic traits (glucose/mannose + 54 other traits) || Triglycerides || Metabolic syndrome (TG) || Fasting glucose-related traits (FI) || Phospholipid levels (plasma) (DPA),Metabolite levels (ALB) || Triglycerides || Breast size || Calcium levels || Crohn's disease || Palmitic acid (16:0) plasma levels || Palmitoleic acid (16:1n-7) plasma levels || Sex hormone-binding globulin levels (Men + Women) || Sex hormone-binding globulin levels (Men) || Sex hormone-binding globulin levels (Women) || Triglycerides-Blood Pressure (TG-BP) || Urate levels (Urate) || Waist Circumference - Triglycerides (WC-TG) || C-reactive protein || Fasting glucose-related traits (FI) || Fasting glucose-related traits (FPG) || Fasting glucose-related traits (HOMA-IR) || Fasting glucose-related traits (interaction with BMI) || Fasting insulin-related traits (FI) || Fasting insulin-related traits (HOMA-IR) || Fasting insulin-related traits (interaction with BMI) || LDL cholesterol || Metabolic syndrome (TG) || Metabolic traits (glucose/mannose + 54 other traits) || Phospholipid levels (plasma) (DPA) || Triglycerides (Hispanic) || Urate levels || Uric acid levels || Cardiovascular disease risk factors (TRIG) |,2,27741237.0,GCKR,rs780094,24910.0,2793.0,11762.0,Silent,0.3937,0.018619999999999998,2.316e-05,0.01955,1.574e-05,0.02196,5.693e-05,0.01911,0.03455,0.01785,0.004178,0.96,0.03411,1.08,0.007741,BasicMetab,CALCIUM BLOOD,rs780094,Ca,Hypercalcemia,Calcium levels
45,rs12150338,Ca,first,0.003999,0.026389999999999997,Calcium levels,Calcium levels,17,1634104.0,WDR81,rs12150338,24910.0,2793.0,11762.0,"Synonymous_A74A,Synonymous_A226A,Synonymous_A50A,Synonymous_A1277A",0.09412,0.01976,0.007529999999999999,0.02,0.00859,0.026389999999999997,0.003999,0.016980000000000002,0.2637,0.0277,0.008147,0.96,0.183,1.04,0.452,BasicMetab,CALCIUM BLOOD,rs12150338,Ca,Hypercalcemia,Calcium levels
47,rs780093,Ca,median,3.084e-05,0.01889,Triglycerides-Blood Pressure (TG-BP) || Calcium levels || Crohn's disease || Palmitoleic acid (16:1n-7) plasma levels || Urate levels (Urate) || Waist Circumference - Triglycerides (WC-TG) || Sex hormone-binding globulin levels (Men) || Palmitic acid (16:0) plasma levels || Sex hormone-binding globulin levels (Men + Women) || Sex hormone-binding globulin levels (Women) || Breast size,Metabolite levels (ALB) || Triglycerides || Breast size || Calcium levels || Crohn's disease || Palmitic acid (16:0) plasma levels || Palmitoleic acid (16:1n-7) plasma levels || Sex hormone-binding globulin levels (Men + Women) || Sex hormone-binding globulin levels (Men) || Sex hormone-binding globulin levels (Women) || Triglycerides-Blood Pressure (TG-BP) || Urate levels (Urate) || Waist Circumference - Triglycerides (WC-TG) || C-reactive protein || Fasting glucose-related traits (FI) || Fasting glucose-related traits (FPG) || Fasting glucose-related traits (HOMA-IR) || Fasting glucose-related traits (interaction with BMI) || Fasting insulin-related traits (FI) || Fasting insulin-related traits (HOMA-IR) || Fasting insulin-related traits (interaction with BMI) || LDL cholesterol || Metabolic syndrome (TG) || Metabolic traits (glucose/mannose + 54 other traits) || Phospholipid levels (plasma) (DPA) || Triglycerides (Hispanic) || Urate levels || Uric acid levels || Cardiovascular disease risk factors (TRIG) |,2,27742603.0,GCKR,rs780093,24910.0,2793.0,11762.0,Silent,0.3935,0.018009999999999998,4.308e-05,0.01889,3.084e-05,0.021769999999999998,6.716e-05,0.01781,0.04911,0.017740000000000002,0.004446,0.96,0.051019999999999996,1.08,0.008084000000000001,BasicMetab,CALCIUM BLOOD,rs780093,Ca,Hypercalcemia,Calcium levels
48,rs1780159,Ca,ever_high,0.301,0.9481,Calcium levels,,9,15157977.0,,rs1780159,24910.0,2793.0,11762.0,,0.08756,-0.0035590000000000005,0.6417,-0.0034409999999999996,0.662,-0.007501000000000001,0.4292,-0.006364,0.6856,0.002182,0.8405,1.02,0.4717,0.95,0.301,BasicMetab,CALCIUM BLOOD,rs1780159,Ca,Hypercalcemia,Calcium levels
52,rs13195786,Ca,first,0.5607,0.004517,Calcium levels,,6,10163968.0,,rs13195786,24910.0,2793.0,11762.0,,0.1372,-0.002218,0.723,-0.002435,0.7054,0.004517,0.5607,0.002261,0.8605,-0.002519,0.7763,1.01,0.6761,1.0,0.9312,BasicMetab,CALCIUM BLOOD,rs13195786,Ca,Hypercalcemia,Calcium levels
53,rs6091737,Ca,ever_low,0.1463,1.0290000000000001,Calcium levels,,20,52349892.0,,rs6091737,24910.0,2793.0,11762.0,,0.2843,-0.005067,0.2884,-0.006383,0.1939,-0.0018899999999999998,0.7496,-0.007168000000000001,0.465,-0.004103,0.544,1.03,0.1463,1.01,0.6976,BasicMetab,CALCIUM BLOOD,rs6091737,Ca,Hypercalcemia,Calcium levels
55,rs9831754,Ca,min,0.08949,-0.01815,Calcium levels,,3,78353591.0,,rs9831754,24910.0,2793.0,11762.0,,0.2214,-0.007281999999999999,0.1614,-0.006855,0.2004,0.0008687999999999999,0.8929,-0.01815,0.08949,-0.004675,0.5257,1.04,0.105,0.96,0.2004,BasicMetab,CALCIUM BLOOD,rs9831754,Ca,Hypercalcemia,Calcium levels
56,rs838705,Ca,mean,0.0006336,0.015090000000000001,Calcium levels,Calcium levels || Bilirubin levels,2,234273242.0,DGKD,rs838705,24910.0,2793.0,11762.0,Silent,0.388,0.015090000000000001,0.0006336,0.01378,0.002434,0.009644,0.07827,0.01253,0.1673,0.0071189999999999995,0.2551,0.96,0.022359999999999998,0.98,0.5783,BasicMetab,CALCIUM BLOOD,rs838705,Ca,Hypercalcemia,Calcium levels
58,rs6742078,CBil,ever_high,0.01257,1.083,Circulating cell-free DNA || Bilirubin levels || Bilirubin levels (Direct bilirubin) || Bilirubin levels (Total bilirubin) || Bilirubin levels (Indirect bilirubin),,2,234672639.0,"UGT1A8, etc.",rs6742078,11812.0,2920.0,269.0,"Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent",0.3162,0.014709999999999999,0.2271,0.01381,0.265,0.01798,0.2609,0.01522,0.026439999999999998,0.004825,0.8658,0.84,0.06271,1.08,0.01257,RoutChems,BILIRUBIN CONJUGATED,rs6742078,CBil,Disorders of bilirubin excretion,Bilirubin levels (Direct bilirubin)
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs2417940,CBil,Disorders of bilirubin excretion,Bilirubin levels (Direct bilirubin)
62,rs10777332,Chol,first,0.1869,1.011,Biochemical measures (total cholesterol),,12,92164302.0,,rs10777332,14502.0,11530.0,8.0,,0.1719,0.04428,0.9381,-0.08707000000000001,0.8809,1.011,0.1869,-0.03003,0.9597,0.9444,0.2859,0.0,0.9668,1.0,0.9727,Lipids,CHOLESTEROL BLOOD,rs10777332,Chol,Hypercholesterolemia,Biochemical measures (total cholesterol)
63,rs10444502,Chol,first,0.005169,1.749,Biochemical measures (total cholesterol),Migraine || Visceral adipose tissue adjusted for BMI (overall) || Biochemical measures (LDL cholesterol) || Endometriosis || Biochemical measures (total cholesterol),12,118353871.0,KSR2,rs10444502,14502.0,11530.0,8.0,Silent,0.3173,0.8501,0.06777000000000001,0.721,0.1287,1.749,0.005169,0.4728,0.3297,1.6869999999999998,0.01957,0.71,0.5463,1.03,0.2861,Lipids,CHOLESTEROL BLOOD,rs10444502,Chol,Hypercholesterolemia,Biochemical measures (total cholesterol)
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs2839619,Chol,Hypercholesterolemia,Biochemical measures (total cholesterol)
65,rs1532624,Chol,mean,0.0003005,1.574,"HDL cholesterol || Lipid metabolism phenotypes (HDL-C.by.NMR, fasting) || Cholesterol || Lipid metabolism phenotypes (APOA1.assay, fasting) || Lipid metabolism phenotypes (HDL-C.assay, fasting)","Cholesterol || HDL cholesterol || Lipid metabolism phenotypes (APOA1.assay, fasting) || Lipid metabolism phenotypes (HDL-C.assay, fasting) || Lipid metabolism phenotypes (HDL-C.by.NMR, fasting) || Lipid metabolism phenotypes (HDL-C.assay, whole) || Lipid metabolism phenotypes (HDL-C.by.NMR, whole) || Lipid metabolism phenotypes (HDL.large, fasting) || Lipid metabolism phenotypes (HDL.large, whole) || Lipid metabolism phenotypes (HDL.mean.size, fasting) || Lipid metabolism phenotypes (HDL.mean.size, whole) || Triglycerides (apoA-1) || Triglycerides (HDL) || Age-related macular degeneration || Lipid metabolism phenotypes (LDL.large, fasting) || Lipid metabolism phenotypes (LDL.large, whole) || Biochemical measures (HDL cholesterol) || Lipid metabolism phenotypes (HDL.total, fasting) || Lipid metabolism phenotypes (HDL.total, whole) || Metabolic syndrome (bivariate traits) (HDLC-GLUC)",16,57005479.0,CETP,rs1532624,14502.0,11530.0,8.0,Silent,0.4444,1.574,0.0003005,1.599,0.0003157,1.308,0.025509999999999998,0.9233,0.04191,2.019,0.0028399999999999996,1.3,0.601,1.0,0.9794,Lipids,CHOLESTEROL BLOOD,rs1532624,Chol,Hypercholesterolemia,Cholesterol
66,rs1883025,Chol,min,0.009365,-1.345,"Cholesterol, total || Metabolic syndrome (HDL) || HDL cholesterol","Cholesterol, total || HDL cholesterol || Metabolic syndrome (HDL) || Coronary heart disease (HDL-C) || Lipid metabolism phenotypes (Tot-C/Est-C) || MRI atrophy measures (whole-brain volume) || Metabolite levels || Myopia (pathological)",9,107664301.0,ABCA1,rs1883025,14502.0,11530.0,8.0,Silent,0.2561,-0.9654,0.05201,-1.089,0.03153,-0.8641,0.1957,-1.345,0.009365,-0.4168,0.589,2.29,0.09764,1.04,0.2414,Lipids,CHOLESTEROL BLOOD,rs1883025,Chol,Hypercholesterolemia,"Cholesterol, total"
67,rs2287623,Chol,first,0.0153,1.4409999999999998,"Cholesterol, total",Glycated hemoglobin levels || Metabolic syndrome (bivariate traits) (HDLC-GLUC) || Metabolite levels (FPG) || Liver enzyme levels (alkaline phosphatase),2,169830155.0,ABCB11,rs2287623,14502.0,11530.0,8.0,Silent,0.401,0.985,0.025789999999999997,0.8959,0.04675,1.4409999999999998,0.0153,0.6109,0.1846,1.6,0.01968,0.9,0.8406,1.01,0.7779,Lipids,CHOLESTEROL BLOOD,rs2287623,Chol,Hypercholesterolemia,"Cholesterol, total"
68,rs4299376,Chol,max,0.00014969999999999998,2.725,"Lipid metabolism phenotypes (LDL-C.assay, fasting) || Cholesterol, total || LDL cholesterol","LDL cholesterol (AA) || Phytosterol levels (campesterol) || Cholesterol, total || LDL cholesterol || Lipid metabolism phenotypes (LDL-C.assay, fasting) || Gallstones",2,44072576.0,ABCG8,rs4299376,14502.0,11530.0,8.0,Silent,0.3213,1.726,0.0001919,1.672,0.0003967,1.535,0.01365,1.002,0.03785,2.725,0.00014969999999999998,1.28,0.6304,1.03,0.2789,Lipids,CHOLESTEROL BLOOD,rs4299376,Chol,Hypercholesterolemia,"Cholesterol, total"
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs9411489,Chol,Hypercholesterolemia,"Cholesterol, total"
70,rs2131925,Chol,max,1.929e-07,-3.721,"Cholesterol, total || Triglycerides || LDL cholesterol","Lipid metabolism phenotypes (VLDL.small, fasting) || Triglycerides || Lipid metabolism phenotypes (MobCH) || Cholesterol, total || LDL cholesterol || Metabolite levels || Lipid metabolism phenotypes (TG.by.NMR, fasting) || Lipid metabolism phenotypes (TG.by.NMR, whole) || Lipid metabolism phenotypes (VLDL.medium, fasting) || Lipid metabolism phenotypes (VLDL.small, whole) || Lipid metabolism phenotypes (VLDL.total, fasting) || Lipid metabolism phenotypes (VLDL.total, whole)",1,63025942.0,DOCK7,rs2131925,14502.0,11530.0,8.0,Silent,0.34,-2.39,2.068e-07,-2.21,2.493e-06,-1.9969999999999999,0.001254,-1.524,0.001489,-3.721,1.929e-07,0.45,0.2169,1.0,0.9077,Lipids,CHOLESTEROL BLOOD,rs2131925,Chol,Hypercholesterolemia,"Cholesterol, total"
71,rs964184,Chol,max,1.469e-06,4.6530000000000005,"Cholesterol, total || LDL cholesterol || Vitamin E levels || HDL cholesterol || HDL cholesterol (Hispanic) || Response to Vitamin E supplementation (change in alpha-TOH) || Metabolic syndrome (TG) || Metabolite levels || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Triglycerides || Hypertriglyceridemia || Triglycerides (Hispanic) || Phospholipid levels (plasma) (proportions) || Response to Vitamin E supplementation (alpha-TOH) || Coronary heart disease",,11,116648917.0,,rs964184,14502.0,11530.0,8.0,,0.1351,2.68,1.661e-05,2.496,8.386e-05,3.1060000000000003,0.0002053,1.2,0.06423,4.6530000000000005,1.469e-06,0.42,0.4016,1.11,0.01942,Lipids,CHOLESTEROL BLOOD,rs964184,Chol,Hypercholesterolemia,"Cholesterol, total"
73,rs4420638,Chol,mean,1.109e-13,4.2,"Alzheimer's disease (age of onset) || Alzheimer's disease || C-reactive protein || LDL cholesterol || HDL cholesterol || Alzheimer's disease (late onset) || Quantitative traits (CRP) || Age-related macular degeneration || Cholesterol, total || Quantitative traits (TC) || Lipoprotein-associated phospholipase A2 activity and mass (activity) || Cognitive decline || Triglycerides (LDL) || Lipid traits (LDL-C) || Quantitative traits (TG) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Longevity",,19,45422946.0,,rs4420638,14502.0,11530.0,8.0,,0.1801,4.2,1.109e-13,4.173,4.505e-13,5.0569999999999995,2.967e-11,3.5980000000000003,1.033e-09,5.422000000000001,6.785e-10,0.67,0.5913,1.06,0.1422,Lipids,CHOLESTEROL BLOOD,rs4420638,Chol,Hypercholesterolemia,"Cholesterol, total"
74,rs1077514,Chol,max,0.7696,-0.2827,"Cholesterol, total",,1,23766233.0,ASAP3,rs1077514,14502.0,11530.0,8.0,"Silent,Silent",0.1423,-0.05604,0.9282,-0.1057,0.8675,0.1357,0.871,-0.149,0.8181,-0.2827,0.7696,0.89,0.8717,0.99,0.8809999999999999,Lipids,CHOLESTEROL BLOOD,rs1077514,Chol,Hypercholesterolemia,"Cholesterol, total"
75,rs11065987,Chol,min,0.0532,-0.8834,"Hemoglobin || Hematocrit || LDL cholesterol || Cholesterol, total || Tetralogy of Fallot",,12,112072424.0,,rs11065987,14502.0,11530.0,8.0,,0.4217,-0.637,0.1463,-0.6723,0.1326,-0.4787,0.4167,-0.8834,0.0532,-0.03345,0.9608,1.36,0.5435,1.03,0.3843,Lipids,CHOLESTEROL BLOOD,rs11065987,Chol,Hypercholesterolemia,"Cholesterol, total"
76,rs2814982,Chol,first,0.002888,-2.7710000000000004,"Cholesterol, total",,6,34546560.0,,rs2814982,14502.0,11530.0,8.0,,0.1127,-1.814,0.008749,-1.742,0.013519999999999999,-2.7710000000000004,0.002888,-1.4269999999999998,0.04773,-2.456,0.02225,3.7,0.01595,0.97,0.5215,Lipids,CHOLESTEROL BLOOD,rs2814982,Chol,Hypercholesterolemia,"Cholesterol, total"
77,rs3764261,Chol,median,3.308e-05,1.95,"HDL cholesterol || Waist circumference and related phenotypes (HDL cholesterol) || Cholesterol, total || Hematological and biochemical traits (HDL) || Metabolic syndrome (bivariate traits) (BP-HDLC) || Lipid metabolism phenotypes (HDL-C) || LDL cholesterol || Triglycerides || Metabolic syndrome (HDL) || Age-related macular degeneration || Lipoprotein-associated phospholipase A2 activity and mass (mass)",,16,56993324.0,,rs3764261,14502.0,11530.0,8.0,,0.3279,1.89,4.082e-05,1.95,3.308e-05,1.489,0.016280000000000003,1.585,0.0009632999999999999,1.575,0.02779,1.66,0.3126,0.96,0.1893,Lipids,CHOLESTEROL BLOOD,rs3764261,Chol,Hypercholesterolemia,"Cholesterol, total"
78,rs10401969,Chol,max,0.001347,-4.031000000000001,"Cholesterol, total || LDL cholesterol || Triglycerides","Cholesterol, total || LDL cholesterol || Triglycerides",19,19407718.0,SUGP1,rs10401969,14502.0,11530.0,8.0,Silent,0.07819,-2.53,0.0017980000000000001,-2.562,0.001912,-2.815,0.009704,-1.486,0.07831,-4.031000000000001,0.001347,0.0,0.9781,1.01,0.9276,Lipids,CHOLESTEROL BLOOD,rs10401969,Chol,Hypercholesterolemia,"Cholesterol, total"
79,rs7640978,Chol,ever_high,0.013680000000000001,0.8841,"LDL cholesterol || Cholesterol, total",,3,32533010.0,CMTM6,rs7640978,14502.0,11530.0,8.0,Silent,0.08951,-0.542,0.4774,-0.4166,0.5919,-0.7739,0.4501,0.08932000000000001,0.9104,-1.7719999999999998,0.1344,0.69,0.7177,0.88,0.013680000000000001,Lipids,CHOLESTEROL BLOOD,rs7640978,Chol,Hypercholesterolemia,"Cholesterol, total"
80,rs4530754,Chol,ever_low,0.06702999999999999,2.6860000000000004,"LDL cholesterol || Cholesterol, total",,5,122855416.0,CSNK1G3,rs4530754,14502.0,11530.0,8.0,"Silent,Silent,Silent,Silent",0.4522,0.5898,0.1753,0.599,0.177,0.253,0.6654,0.8011,0.07732,0.2343,0.7288,2.69,0.06702999999999999,1.03,0.2868,Lipids,CHOLESTEROL BLOOD,rs4530754,Chol,Hypercholesterolemia,"Cholesterol, total"
81,rs2081687,Chol,max,8.857999999999999e-06,3.165,"Cholesterol, total || LDL cholesterol",,8,59388565.0,,rs2081687,14502.0,11530.0,8.0,,0.3379,1.834,6.394e-05,1.5959999999999999,0.0006466,2.398,0.0001008,0.9009,0.059539999999999996,3.165,8.857999999999999e-06,0.65,0.4629,1.01,0.7921,Lipids,CHOLESTEROL BLOOD,rs2081687,Chol,Hypercholesterolemia,"Cholesterol, total"
