"Chr","Chr_pos","SNP","jd_code","PUBMEDID","Disease_Trait","Reported_Gene","Mapped_gene","p_value","OR_or_beta_text","CI_95","Context","Risk_Allele_Frequency","Initial_Sample_Size","SNP","jd_code","jd_string","cases","controls","odds_ratio","P","CHR","BP","gene","rsID","Mutation","MAF_W","PHRED","catalog_assoc_SNP","catalog_assoc_gene","RawScore","Category","Category_string"
4,9923004,"rs734553",274.1,19503597,"Uric acid levels","SLC2A9","SLC2A9",1E-192,.40,"[0.371-0.423] mg/dl increase","intron",0.77,"12,328 European ancestry males, 15,813 European ancestry females","rs734553",274.1,"Gout",1059,28012,0.66,0.000000000002231,4,9923004,"SLC2A9","rs734553","Silent,Silent",0.23940000,5.1850,"Serum uric acid levels || Uric acid levels (men) || Uric acid levels (women) || Gout","Gout || Serum uric acid levels || Uric acid levels (men) || Uric acid levels (women) || Urate levels || Renal function-related traits (urea) || Uric acid levels || Metabolic traits (urate, histidine) || Uric acid levels (Obese) || Biochemical measures (uric acid) || Urate levels (Gout) || Urate levels (Urate) || Urate levels (whites)",0.219652,3,"endocrine/metabolic"
4,9935910,"rs6855911",274.1,17997608,"Urate levels","GLUT9","SLC2A9",2E-16,.32,"[NR] mg/dl higher","intron",0.74,"4,305 Sardinian individuals","rs6855911",274.1,"Gout",1059,28012,0.68,0.000000000007054,4,9935910,"SLC2A9","rs6855911","Silent,Silent",0.25010000,1.9320,"Urate levels","Gout || Serum uric acid levels || Uric acid levels (men) || Uric acid levels (women) || Urate levels || Renal function-related traits (urea) || Uric acid levels || Metabolic traits (urate, histidine) || Uric acid levels (Obese) || Biochemical measures (uric acid) || Urate levels (Gout) || Urate levels (Urate) || Urate levels (whites)",-0.445661,3,"endocrine/metabolic"
4,9926967,"rs13129697",274.1,20884846,"Urate levels","SLC2A9","SLC2A9",2E-242,22.21,"[20.90-23.52] umol/l decrease","intron",0.27,"28,283 white individuals","rs13129697",274.1,"Gout",1059,28012,0.69,0.00000000001839,4,9926967,"SLC2A9","rs13129697","Silent,Silent",0.26890000,6.9720,"Biochemical measures (uric acid) || Urate levels (Gout) || Urate levels (Urate) || Uric acid levels","Gout || Serum uric acid levels || Uric acid levels (men) || Uric acid levels (women) || Urate levels || Renal function-related traits (urea) || Uric acid levels || Metabolic traits (urate, histidine) || Uric acid levels (Obese) || Biochemical measures (uric acid) || Urate levels (Gout) || Urate levels (Urate) || Urate levels (whites)",0.549412,3,"endocrine/metabolic"
4,9926967,"rs13129697",274.1,22229870,"Uric acid levels","SLC2A9, WDR1","SLC2A9",2E-19,28.99,"[NR] umol/L decrease","intron",0.36,"1,300 European ancestry individuals","rs13129697",274.1,"Gout",1059,28012,0.69,0.00000000001839,4,9926967,"SLC2A9","rs13129697","Silent,Silent",0.26890000,6.9720,"Biochemical measures (uric acid) || Urate levels (Gout) || Urate levels (Urate) || Uric acid levels","Gout || Serum uric acid levels || Uric acid levels (men) || Uric acid levels (women) || Urate levels || Renal function-related traits (urea) || Uric acid levels || Metabolic traits (urate, histidine) || Uric acid levels (Obese) || Biochemical measures (uric acid) || Urate levels (Gout) || Urate levels (Urate) || Urate levels (whites)",0.549412,3,"endocrine/metabolic"
2,27741237,"rs780094",277.7,22399527,"Metabolic syndrome","GCKR","GCKR",6E-20,.13,"[NR] mmol/l increase","intron",0.36,"2,637 European ancestry cases, 7,927 European ancestry controls","rs780094",277.7,"Dysmetabolic syndrome X",140,28531,0.71,0.006977,2,27741237,"GCKR","rs780094","Silent",0.39370000,2.4110,"Fasting insulin-related traits (interaction with BMI) || Fasting glucose-related traits (FPG) || Triglycerides (Hispanic) || Uric acid levels || LDL cholesterol || Fasting insulin-related traits (HOMA-IR) || Fasting glucose-related traits (HOMA-IR) || Fasting glucose-related traits (interaction with BMI) || C-reactive protein || Urate levels || Fasting insulin-related traits (FI) || Calcium levels || Metabolic traits (glucose/mannose + 54 other traits) || Triglycerides || Metabolic syndrome (TG) || Fasting glucose-related traits (FI) || Phospholipid levels (plasma) (DPA)","Metabolite levels (ALB) || Triglycerides || Breast size || Calcium levels || Crohn's disease || Palmitic acid (16:0) plasma levels || Palmitoleic acid (16:1n-7) plasma levels || Sex hormone-binding globulin levels (Men + Women) || Sex hormone-binding globulin levels (Men) || Sex hormone-binding globulin levels (Women) || Triglycerides-Blood Pressure (TG-BP) || Urate levels (Urate) || Waist Circumference - Triglycerides (WC-TG) || C-reactive protein || Fasting glucose-related traits (FI) || Fasting glucose-related traits (FPG) || Fasting glucose-related traits (HOMA-IR) || Fasting glucose-related traits (interaction with BMI) || Fasting insulin-related traits (FI) || Fasting insulin-related traits (HOMA-IR) || Fasting insulin-related traits (interaction with BMI) || LDL cholesterol || Metabolic syndrome (TG) || Metabolic traits (glucose/mannose + 54 other traits) || Phospholipid levels (plasma) (DPA) || Triglycerides (Hispanic) || Urate levels || Uric acid levels || Cardiovascular disease risk factors (TRIG) |",-0.335294,3,"endocrine/metabolic"
8,126490972,"rs2954029",272.12,24097068,"Triglycerides","TRIB1","TRIB1 - LINC00861",1E-107,.08,"[NR] mg/dL decrease","Intergenic",0.47,"94,595 European ancestry individuals","rs2954029",272.12,"Hyperglyceridemia",209,18595,0.77,0.01046,8,126490972,"","rs2954029","",0.45150000,9.3650,"LDL cholesterol || Triglycerides || Cholesterol, total || HDL cholesterol",NULL,1.069111,3,"endocrine/metabolic"
8,126490972,"rs2954029",272.12,20864672,"Triglycerides","TRIB1","TRIB1 - LINC00861",2E-11,.04,"[0.03-0.05] unit decrease","Intergenic",0.46,"up to 17,243 white European descent individuals","rs2954029",272.12,"Hyperglyceridemia",209,18595,0.77,0.01046,8,126490972,"","rs2954029","",0.45150000,9.3650,"LDL cholesterol || Triglycerides || Cholesterol, total || HDL cholesterol",NULL,1.069111,3,"endocrine/metabolic"
8,126490972,"rs2954029",272.12,20686565,"Triglycerides","TRIB1","TRIB1 - LINC00861",3E-55,5.64,"[4.88-6.4] mg/dL decrease","Intergenic",0.47,"Up to 96,598 European descent individuals","rs2954029",272.12,"Hyperglyceridemia",209,18595,0.77,0.01046,8,126490972,"","rs2954029","",0.45150000,9.3650,"LDL cholesterol || Triglycerides || Cholesterol, total || HDL cholesterol",NULL,1.069111,3,"endocrine/metabolic"
8,11045161,"rs7819412",272.12,19060906,"Triglycerides","XKR6, AMAC1L2","XKR6",3E-8,.04,"[0.001-0.08] s.d. decrease","intron",0.48,"19,840 individuals","rs7819412",272.12,"Hyperglyceridemia",209,18595,0.77,0.007351,8,11045161,"XKR6","rs7819412","Silent",0.49440000,4.4990,"Triglycerides","Triglycerides",0.092496,3,"endocrine/metabolic"
8,126490972,"rs2954029",272.12,19060906,"Triglycerides","TRIB1","TRIB1 - LINC00861",3E-19,.11,"[0.07-0.15] s.d. decrease","Intergenic",0.44,"19,840 individuals","rs2954029",272.12,"Hyperglyceridemia",209,18595,0.77,0.01046,8,126490972,"","rs2954029","",0.45150000,9.3650,"LDL cholesterol || Triglycerides || Cholesterol, total || HDL cholesterol",NULL,1.069111,3,"endocrine/metabolic"
12,111333622,"rs10849915",317.1,21270382,"Alcohol consumption","CCDC63","CCDC63",1E-23,.55,"[0.45-0.65] unit decrease","intron",0.18,"1,721 Korean male drinkers","rs10849915",317.1,"Alcoholism",344,25364,0.82,0.02127,12,111333622,"CCDC63","rs10849915","Silent",0.33690000,0.6680,"Alcohol consumption","Drinking behavior || Alcohol consumption",-0.803145,5,"mental disorders"
19,45395266,"rs157580",272.11,19060911,"LDL cholesterol","TOMM40, APOE","TOMM40",2E-19,.11,"[NR] s.d. decrease","intron",0.33,"17,797 individuals","rs157580",272.11,"Hypercholesterolemia",3822,18595,0.84,0.000000000843,19,45395266,"TOMM40","rs157580","Silent,Silent,Silent",0.39470000,5.3140,"Alzheimer's disease biomarkers (<1x10-6; AB1-42) || LDL cholesterol || Alzheimer's disease || HDL cholesterol","Alzheimer's disease || Alzheimer's disease biomarkers (<1x10-6; AB1-42) || HDL cholesterol || LDL cholesterol || Metabolic syndrome (TG) || C-reactive protein (AA women) || LDL cholesterol (AA) || AB1-42 (Normal) || Age-related macular degeneration || Age-related macular degeneration (EA) || Alzheimer's disease (late onset) || Alzheimer's disease biomarkers (<1x10-6; p-tau181p/AB1-42, t-tau/AB1-42) || Brain imaging NS || C-reactive protein || Cardiovascular disease risk factors (CRP) || Cardiovascular disease risk factors (LDL) || Cholesterol, total || Cognitive decline || Longevity || Alzheimer's disease biomarkers (Cortical Ab)",0.243353,3,"endocrine/metabolic"
19,45395266,"rs157580",272.11,19060910,"LDL cholesterol","APO cluster","TOMM40",5E-8,.11,"[0.07-0.15] mmol/l decrease","intron",0.29,"4,763 individuals","rs157580",272.11,"Hypercholesterolemia",3822,18595,0.84,0.000000000843,19,45395266,"TOMM40","rs157580","Silent,Silent,Silent",0.39470000,5.3140,"Alzheimer's disease biomarkers (<1x10-6; AB1-42) || LDL cholesterol || Alzheimer's disease || HDL cholesterol","Alzheimer's disease || Alzheimer's disease biomarkers (<1x10-6; AB1-42) || HDL cholesterol || LDL cholesterol || Metabolic syndrome (TG) || C-reactive protein (AA women) || LDL cholesterol (AA) || AB1-42 (Normal) || Age-related macular degeneration || Age-related macular degeneration (EA) || Alzheimer's disease (late onset) || Alzheimer's disease biomarkers (<1x10-6; p-tau181p/AB1-42, t-tau/AB1-42) || Brain imaging NS || C-reactive protein || Cardiovascular disease risk factors (CRP) || Cardiovascular disease risk factors (LDL) || Cholesterol, total || Cognitive decline || Longevity || Alzheimer's disease biomarkers (Cortical Ab)",0.243353,3,"endocrine/metabolic"
19,51364623,"rs2735839",796,23269536,"Prostate-specific antigen levels","KLK3","KLK3 - KLK2",6E-37,.19,"[NR] % higher levels","Intergenic",0.58,"1,999 Chinese ancestry men","rs2735839",796,"Elevated prostate specific antigen [PSA]",738,9684,0.84,0.04543,19,51364623,"","rs2735839","",0.14300000,0.9580,"Prostate-specific antigen levels || Prostate cancer",NULL,-0.704068,17,"symptoms"
1,109818530,"rs646776",272.11,19060911,"Cholesterol, total","CELSR2","CELSR2",9E-22,.13,"[NR] s.d. decrease","nearGene-3",0.22,"22,562 individuals","rs646776",272.11,"Hypercholesterolemia",3822,18595,0.85,0.000002968,1,109818530,"","rs646776","",0.22140000,4.2170,"Coronary heart disease || LDL cholesterol || Myocardial infarction (early onset) || Lipid metabolism phenotypes (APOB.assay, fasting) || Progranulin levels || Cholesterol, total || Lipid metabolism phenotypes (LDL.total, whole) || Lipid metabolism phenotypes (APOB.assay, whole) || Response to statin therapy (chol, sum) || Lipid metabolism phenotypes (LDL.total, fasting)",NULL,0.039037,3,"endocrine/metabolic"
1,109818530,"rs646776",272.11,19060911,"LDL cholesterol","CELSR2","CELSR2",8E-23,.16,"[NR] s.d. decrease","nearGene-3",0.22,"17,797 individuals","rs646776",272.11,"Hypercholesterolemia",3822,18595,0.85,0.000002968,1,109818530,"","rs646776","",0.22140000,4.2170,"Coronary heart disease || LDL cholesterol || Myocardial infarction (early onset) || Lipid metabolism phenotypes (APOB.assay, fasting) || Progranulin levels || Cholesterol, total || Lipid metabolism phenotypes (LDL.total, whole) || Lipid metabolism phenotypes (APOB.assay, whole) || Response to statin therapy (chol, sum) || Lipid metabolism phenotypes (LDL.total, fasting)",NULL,0.039037,3,"endocrine/metabolic"
1,109817590,"rs12740374",272.11,19060906,"LDL cholesterol","CELSR2, PSRC1, SORT1","CELSR2",2E-42,.23,"[0.19-0.27] s.d. decrease","UTR-3",0.21,"19,840 individuals","rs12740374",272.11,"Hypercholesterolemia",3822,18595,0.85,0.000003079,1,109817590,"CELSR2","rs12740374","Silent",0.22050000,0.0140,"Coronary heart disease (LDL-C) || LDL cholesterol || Lipoprotein-associated phospholipase A2 activity and mass (activity)","Cholesterol, total || LDL cholesterol || Cardiovascular disease risk factors (LDL) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Coronary heart disease (LDL-C) || Lipoprotein-associated phospholipase A2 activity and mass (activity)",-1.600328,3,"endocrine/metabolic"
1,109818530,"rs646776",272.11,19060910,"LDL cholesterol","CELSR2, PSRC1, SORT1","CELSR2",2E-12,.16,"[0.11-0.20] mmol/l decrease","nearGene-3",0.21,"4,763 individuals","rs646776",272.11,"Hypercholesterolemia",3822,18595,0.85,0.000002968,1,109818530,"","rs646776","",0.22140000,4.2170,"Coronary heart disease || LDL cholesterol || Myocardial infarction (early onset) || Lipid metabolism phenotypes (APOB.assay, fasting) || Progranulin levels || Cholesterol, total || Lipid metabolism phenotypes (LDL.total, whole) || Lipid metabolism phenotypes (APOB.assay, whole) || Response to statin therapy (chol, sum) || Lipid metabolism phenotypes (LDL.total, fasting)",NULL,0.039037,3,"endocrine/metabolic"
1,109818530,"rs646776",272.11,18193044,"LDL cholesterol","CELSR2,PSRC1,SORT1","CELSR2",3E-29,.16,"[0.14-0.18] % SD lower","nearGene-3",0.24,"2,758 individuals","rs646776",272.11,"Hypercholesterolemia",3822,18595,0.85,0.000002968,1,109818530,"","rs646776","",0.22140000,4.2170,"Coronary heart disease || LDL cholesterol || Myocardial infarction (early onset) || Lipid metabolism phenotypes (APOB.assay, fasting) || Progranulin levels || Cholesterol, total || Lipid metabolism phenotypes (LDL.total, whole) || Lipid metabolism phenotypes (APOB.assay, whole) || Response to statin therapy (chol, sum) || Lipid metabolism phenotypes (LDL.total, fasting)",NULL,0.039037,3,"endocrine/metabolic"
1,109818306,"rs629301",272.11,24097068,"Cholesterol, total","SORT1","CELSR2",2E-170,.13,"[NR] unit decrease","UTR-3",0.24,"94,595 Euroepan ancestry individuals","rs629301",272.11,"Hypercholesterolemia",3822,18595,0.86,0.000003201,1,109818306,"CELSR2","rs629301","Silent",0.22100000,4.5410,"Cholesterol, total || LDL cholesterol","Cholesterol, total || LDL cholesterol || Cardiovascular disease risk factors (LDL) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Coronary heart disease (LDL-C) || Lipoprotein-associated phospholipase A2 activity and mass (activity)",0.100521,3,"endocrine/metabolic"
1,109818306,"rs629301",272.11,20686565,"Cholesterol, total","CELSR2,PSRC1,SORT1","CELSR2",6E-131,5.41,"[4.94-5.88] mg/dL decrease","UTR-3",0.22,"Up to 100,184 European descent individuals","rs629301",272.11,"Hypercholesterolemia",3822,18595,0.86,0.000003201,1,109818306,"CELSR2","rs629301","Silent",0.22100000,4.5410,"Cholesterol, total || LDL cholesterol","Cholesterol, total || LDL cholesterol || Cardiovascular disease risk factors (LDL) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Coronary heart disease (LDL-C) || Lipoprotein-associated phospholipase A2 activity and mass (activity)",0.100521,3,"endocrine/metabolic"
1,109818306,"rs629301",272.11,24097068,"LDL cholesterol","SORT1","CELSR2",5E-241,.17,"[NR] unit decrease","UTR-3",0.24,"94,595 European ancestry individuals","rs629301",272.11,"Hypercholesterolemia",3822,18595,0.86,0.000003201,1,109818306,"CELSR2","rs629301","Silent",0.22100000,4.5410,"Cholesterol, total || LDL cholesterol","Cholesterol, total || LDL cholesterol || Cardiovascular disease risk factors (LDL) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Coronary heart disease (LDL-C) || Lipoprotein-associated phospholipase A2 activity and mass (activity)",0.100521,3,"endocrine/metabolic"
1,109818306,"rs629301",272.11,20686565,"LDL cholesterol","CELSR2,PSRC1,SORT1","CELSR2",1E-170,5.65,"[5.24-6.06] mg/dL decrease","UTR-3",0.22,"Up to 95,454 European descent individuals","rs629301",272.11,"Hypercholesterolemia",3822,18595,0.86,0.000003201,1,109818306,"CELSR2","rs629301","Silent",0.22100000,4.5410,"Cholesterol, total || LDL cholesterol","Cholesterol, total || LDL cholesterol || Cardiovascular disease risk factors (LDL) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Coronary heart disease (LDL-C) || Lipoprotein-associated phospholipase A2 activity and mass (activity)",0.100521,3,"endocrine/metabolic"
1,109822166,"rs599839",272.11,18262040,"LDL cholesterol","CELSR2,PSRC1","PSRC1",1E-33,.16,"[0.14-0.18] mmol/L decrease","nearGene-3",0.19,"11,685 individuals","rs599839",272.11,"Hypercholesterolemia",3822,18595,0.86,0.000007428,1,109822166,"","rs599839","",0.22880000,0.0040,"Coronary heart disease || LDL cholesterol || Lipoprotein-associated phospholipase A2 activity and mass (activity) || Metabolite levels (LDL)",NULL,-2.303791,3,"endocrine/metabolic"
1,109822166,"rs599839",272.11,18193043,"LDL cholesterol","CELSR2,PSRC1,SORT1","PSRC1",6E-33,5.48,"[NR] mg/dl higher","nearGene-3",0.77,"8,589 individuals","rs599839",272.11,"Hypercholesterolemia",3822,18595,0.86,0.000007428,1,109822166,"","rs599839","",0.22880000,0.0040,"Coronary heart disease || LDL cholesterol || Lipoprotein-associated phospholipase A2 activity and mass (activity) || Metabolite levels (LDL)",NULL,-2.303791,3,"endocrine/metabolic"
5,1322087,"rs401681",796,21160077,"Prostate-specific antigen levels","TERT","CLPTM1L",1E-10,7.00,"[NR] % increase","intron",0.55,"15,757 European ancestry individuals","rs401681",796,"Elevated prostate specific antigen [PSA]",738,9684,0.86,0.01103,5,1322087,"CLPTM1L","rs401681","Silent",0.43820000,1.6490,"Melanoma || Pancreatic cancer || Bladder cancer || Lung cancer || Basal cell carcinoma || Prostate-specific antigen levels","Lung adenocarcinoma || Basal cell carcinoma || Bladder cancer || Lung cancer || Melanoma || Pancreatic cancer || Prostate-specific antigen levels",-0.514529,17,"symptoms"
6,25821770,"rs17342717",280,21208937,"Iron levels","SLC17A1","SLC17A1",5E-9,36.50,"[24.27-48.73] ng/ml decrease","intron",0.93,"Up to 5,633 European ancestry individuals","rs17342717",280,"Iron deficiency anemias",1565,19057,0.86,0.02552,6,25821770,"SLC17A1","rs17342717","Silent",0.09664000,3.4650,"Red blood cell traits (MCH) || Iron levels (ferritin) || Iron status biomarkers (ferritin)","Urate levels || Serum uric acid levels || Urate levels (Urate) || Uric acid levels || Iron status biomarkers (transferrin saturation) || Iron levels (ferritin) || Iron status biomarkers (ferritin) || Red blood cell traits (MCH)",-0.109151,4,"hematopoietic"
19,19407718,"rs10401969",272.11,24097068,"Cholesterol, total","CILP2","SUGP1",4E-77,.14,"[NR] unit decrease","intron",0.09,"94,595 Euroepan ancestry individuals","rs10401969",272.11,"Hypercholesterolemia",3822,18595,0.87,0.008027,19,19407718,"SUGP1","rs10401969","Silent",0.07819000,3.8550,"Cholesterol, total || LDL cholesterol || Triglycerides","Cholesterol, total || LDL cholesterol || Triglycerides",-0.030987,3,"endocrine/metabolic"
19,19407718,"rs10401969",272.11,20686565,"Cholesterol, total","CSPG3,CILP2,PBX4","SUGP1",3E-38,4.74,"[3.92-5.56] mg/dL decrease","intron",0.07,"Up to 100,184 European descent individuals","rs10401969",272.11,"Hypercholesterolemia",3822,18595,0.87,0.008027,19,19407718,"SUGP1","rs10401969","Silent",0.07819000,3.8550,"Cholesterol, total || LDL cholesterol || Triglycerides","Cholesterol, total || LDL cholesterol || Triglycerides",-0.030987,3,"endocrine/metabolic"
19,19407718,"rs10401969",272.11,24097068,"LDL cholesterol","CILP2","SUGP1",3E-54,.12,"[NR] unit decrease","intron",0.09,"94,595 European ancestry individuals","rs10401969",272.11,"Hypercholesterolemia",3822,18595,0.87,0.008027,19,19407718,"SUGP1","rs10401969","Silent",0.07819000,3.8550,"Cholesterol, total || LDL cholesterol || Triglycerides","Cholesterol, total || LDL cholesterol || Triglycerides",-0.030987,3,"endocrine/metabolic"
19,19407718,"rs10401969",272.11,20864672,"LDL cholesterol","SF4,CILP2","SUGP1",1E-11,.05,"[0.04-0.06] unit increase","intron",0.91,"up to 17,243 white European descent individuals","rs10401969",272.11,"Hypercholesterolemia",3822,18595,0.87,0.008027,19,19407718,"SUGP1","rs10401969","Silent",0.07819000,3.8550,"Cholesterol, total || LDL cholesterol || Triglycerides","Cholesterol, total || LDL cholesterol || Triglycerides",-0.030987,3,"endocrine/metabolic"
19,19407718,"rs10401969",272.11,20686565,"LDL cholesterol","CSPG3,CILP2,PBX4","SUGP1",7E-22,3.11,"[2.37-3.85] mg/dL decrease","intron",0.07,"Up to 95,454 European descent individuals","rs10401969",272.11,"Hypercholesterolemia",3822,18595,0.87,0.008027,19,19407718,"SUGP1","rs10401969","Silent",0.07819000,3.8550,"Cholesterol, total || LDL cholesterol || Triglycerides","Cholesterol, total || LDL cholesterol || Triglycerides",-0.030987,3,"endocrine/metabolic"
19,19407718,"rs10401969",272.11,19060906,"LDL cholesterol","NCAN, CILP2, PBX4","SUGP1",2E-8,.05,"[-0.03-0.13] s.d. decrease","intron",0.06,"19,840 individuals","rs10401969",272.11,"Hypercholesterolemia",3822,18595,0.87,0.008027,19,19407718,"SUGP1","rs10401969","Silent",0.07819000,3.8550,"Cholesterol, total || LDL cholesterol || Triglycerides","Cholesterol, total || LDL cholesterol || Triglycerides",-0.030987,3,"endocrine/metabolic"
