SNP	Reported_Gene	Chr	Lab_name	Study	Trait	p-value_reported (catalog)	beta_reported (catalog)	MAF_reported (catalog)	beta_common (Exome)	p-value_common (Exome)	MAF_common (exome)	beta_combined	p-value_combined	MAF_combined	snps	snps	snps
rs562338	APOB	2	LDL-C	Newly identified loci that influence lipid concentrations and risk of coronary artery disease.	LDL cholesterol	6E-22	4.89	0.82	-2.36851259262	1.02047198441e-06	0.1808	nan	1.0	0.0656065959953	exm175868,exm175514,exm175759,exm175802,exm175472,exm1996630,exm176078,exm176079,exm175927,exm176054,exm175909	1.68225556827e-05,1.68231216985e-05,1.68236877524e-05,0.0412320839782,0.0197665029271,1.68225556827e-05,6.72970153774e-05,0.00011776977691,0.00523181481731,0.000168225556827,0.000420563892066	-92.4847860385,-92.4847860385,-23.4939590877,-3.09052918498,-3.17141397082,-92.4847860385,-20.9936467491,-20.3139305233,-7.2221991326,-28.3646801482,-16.6758513344	0.00260250065492,0.00260250065492,0.0155755823615,0.00101023467659,0.0161571328438,0.00260250065492,0.0179109268408,0.0219757094769,0.00859465351925,0.0237259803742,0.0423242254199
rs780094	GCKR	2	LDL-C	Genome-wide association study identifies genes for biomarkers of cardiovascular disease: serum urate and dyslipidemia.	LDL cholesterol	5E-7	nan	0.39	-0.287680798132	0.453147284239	0.3937	-16.555653025	0.350609308108	1.68231216985e-05	exm181660	1.68231216985e-05	-30.8282620128	0.00260250065492
rs7587928	KIDINS220	2	NtAbs	Duffy-null-associated low neutrophil counts influence HIV-1 susceptibility in high-risk South African black women.	Neutrophil count	2E-7	nan	NR	0.0158536529854	0.645699402892	0.2705	nan	1.0	0.0	exm171283	0.0	1.99356396885	0.0322937719274
rs454305	TGFA	2	NtAbs	Duffy-null-associated low neutrophil counts influence HIV-1 susceptibility in high-risk South African black women.	Neutrophil count	5E-6	nan	NR	0.0475234146354	0.142863275427	0.3448	nan	1.0	0.000117761851889	exm199938	0.000117761851889	4.41063158521	0.000415229296836
rs6544366	APOB	2	Trigs	Genetic variants influencing circulating lipid levels and risk of coronary artery disease.	Triglycerides	2E-7	0.04	0.22	-3.75710165814	0.00947407842084	0.2377	nan	1.0	0.0412320839782	exm175802	0.0412320839782	-8.5979801676	0.00546852194744
rs1260333	GCKR	2	Trigs	Genetic variants influencing circulating lipid levels and risk of coronary artery disease.	Triglycerides	2E-19	0.05	0.55	4.83248221141	2.26309936259e-07	0.4402	10.2927254251	0.86557101573	0.00108060649039	exm181745,exm181717	0.00025233833524,0.000827339344207	89.9432444435,11.1417633874	0.0364375170306,0.0300294920544
rs6754295	APOB	2	Trigs	Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts.	Triglycerides	3E-8	0.08	0.25	-3.79590619089	0.00875824332775	0.2383	nan	1.0	0.0412320839782	exm175802	0.0412320839782	-8.5979801676	0.00546852194744
rs780094	GCKR	2	Trigs	Genome-wide characterization of shared and distinct genetic components that influence blood lipid levels in ethnically diverse human populations.	Triglycerides	7E-9	0.07	0.358	9.94662727905	3.36390662198e-15	0.3937	10.2927254251	0.86557101573	0.00108060649039	exm181745,exm181717	0.00025233833524,0.000827339344207	89.9432444435,11.1417633874	0.0364375170306,0.0300294920544
rs780094	GCKR	2	Trigs	Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts.	Triglycerides	3E-20	0.10	0.63	9.94662727905	3.36390662198e-15	0.3937	10.2927254251	0.86557101573	0.00108060649039	exm181745,exm181717	0.00025233833524,0.000827339344207	89.9432444435,11.1417633874	0.0364375170306,0.0300294920544
rs780094	GCKR	2	Trigs	Six new loci associated with blood low-density lipoprotein cholesterol, high-density lipoprotein cholesterol or triglycerides in humans.	Triglycerides	3E-14	0.13	0.34	9.94662727905	3.36390662198e-15	0.3937	10.2927254251	0.86557101573	0.00108060649039	exm181745,exm181717	0.00025233833524,0.000827339344207	89.9432444435,11.1417633874	0.0364375170306,0.0300294920544
rs780094	GCKR	2	Trigs	Newly identified loci that influence lipid concentrations and risk of coronary artery disease.	Triglycerides	6E-32	8.59	0.39	9.94662727905	3.36390662198e-15	0.3937	10.2927254251	0.86557101573	0.00108060649039	exm181745,exm181717	0.00025233833524,0.000827339344207	89.9432444435,11.1417633874	0.0364375170306,0.0300294920544
rs780094	GCKR	2	UricA	Meta-analysis of 28,141 individuals identifies common variants within five new loci that influence uric acid concentrations.	Uric acid levels	1E-9	0.05	0.42	0.0685296856856	0.0375159855693	0.3937	1.58930427379	0.400156918603	0.00383554269565	exm181683	0.00383554269565	0.493784683721	0.0455603262119
