SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs1329424	pheno_362.2	1	Age-related macular degeneration	2,978 European ancestry cases, 2,859 European ancestry controls	6E-16	1.88	0.351	CFH	9.93113645965	0.00848055893155	0.000226380923634	0.00340701316069	exm133428	0.000226380923634	9.93113645965	0.0260016596743	[[23507, 6], [789, 2]]
rs1061147	pheno_362.2	1	Age-related macular degeneration	3,772 European ancestry cases, 16,033 European ancestry controls	7E-32	1.4	0.37	CFH	9.93113645965	0.00848055893155	0.000226380923634	0.00434019274995	exm133428	0.000226380923634	9.93113645965	0.0260016596743	[[23507, 6], [789, 2]]
rs1061170	pheno_362.2	1	Age-related macular degeneration	2,594 European ancestry cases, 4,134 European ancestry controls	1E-261	2.41	0.37	CFH	9.93113645965	0.00848055893155	0.000226380923634	0.00252127379665	exm133428	0.000226380923634	9.93113645965	0.0260016596743	[[23507, 6], [789, 2]]
rs10801555	pheno_362.2	1	Age-related macular degeneration	893 European ancestry cases, 2,199 European ancestry controls	2E-47	2.33	0.4	CFH	9.93113645965	0.00848055893155	0.000226380923634	0.00241225305201	exm133428	0.000226380923634	9.93113645965	0.0260016596743	[[23507, 6], [789, 2]]
rs2240335	pheno_714.1	1	Rheumatoid arthritis	801 Korean cases, 757 Korean controls	2E-8	1.5	0.4	PADI4	8.6368	0.0127982904028	0.000134580445461	0.00193724065227	exm23613	0.000134580445461	8.6368	0.0355399216267	[[24291, 5], [1125, 2]]
rs1514177	pheno_278.1	1	Obesity	93,015 European ancestry overweight individuals, 32,858 European ancestry individuals with class I obesity, 9,889 European ancestry individuals with class II obesity, 2,896 European ancestry individuals with class III obesity, up to 65,840 European ancestry controls	5E-9	1.06	0.43	TNNI3K	1.79737922232	0.00282953933267	0.00351591413768	0.0138644822697	exm68638	0.00351591413768	1.79737922232	0.00579410401533	[[24705, 161, 1], [2525, 26, 2]]
rs1514174	pheno_278.1	1	Obesity	93,015 European ancestry overweight individuals, 32,858 European ancestry individuals with class I obesity, 9,889 European ancestry individuals with class II obesity, 2,896 European ancestry individuals with class III obesity, up to 65,840 European ancestry controls	1E-8	1.04	0.44	TNNI3K	1.79737922232	0.00282953933267	0.00351591413768	0.0138099454076	exm68638	0.00351591413768	1.79737922232	0.00579410401533	[[24705, 161, 1], [2525, 26, 2]]
rs1218582	pheno_185	1	Prostate cancer	11,085 European ancestry cases, 11,463 European ancestry controls	2E-8	1.06	0.45	ADAM15, ADAR, CKS1B, DCST1, DCST2, DPM3, EFNA1, EFNA3,EFNA4, FLAD1, KCNN3, LENEP, LOC10050, LOC100505666,MIR4258, PBXIP1, PMVK, PYGO2, SHC1, SLC50A1, ZBTB7B	1.69309346372	1.00961956582e-26	0.157591008855	0.559363327115	exm95674,exm104118,exm97959,exm83166,exm2249923,exm75735,exm71578,exm92536,exm76999,exm88768,exm80734,exm94418,exm71186,exm69430,exm105710,exm91313,exm67645,exm87184,exm78767,exm64422,exm68395,exm66482,exm87879,exm64358,exm103490,exm87515,exm80675,exm1918579,exm73541,exm76670,exm71851,exm78532,exm68637,exm84974,exm97739,exm97114,exm86234,exm66515,exm87701,exm86796,exm103486,exm95679,exm95754,exm87507,exm68784,exm103423,exm75072,exm105387,exm101385,exm77474,exm102074,exm89535,exm90526,exm74151,exm70699,exm78227,exm93657,exm79994,exm91392,exm88819,exm103033,exm105296	0.000857950339816,0.00121150933872,0.00227112142929,0.000538321781845,0.000370108677366,0.00100945523066,0.000201877460382,0.00015142337977,0.000471142520612,0.000150920615756,0.000370108677366,0.0010598923284,0.000319639312271,0.0106547719239,0.00057196689321,0.00765426283561,0.000740267169151,0.000706571111335,0.00025233833524,0.000403741336384,0.00163178790122,0.000437430599953,0.00050467667048,0.00363391655451,0.00124486912052,0.0323834196891,0.000185048112509,0.0002020882452,0.00555256427514,0.00111028867506,0.00329799764429,0.0149894014333,0.000285983446605,0.00025233833524,0.0104149140223,0.00191777134782,0.000454316002019,0.000689724782989,0.0175627481327,0.000420563892066,0.000117773739821,0.0182524729157,0.000285993068874,0.00021870058208,0.00928605073683,0.00181708055724,0.000891625450019,0.000386918780701,0.000807482672768,0.00030284675954,0.00134580445461,0.00117757889779,0.00735219892998,0.00025233833524,0.00891595451181,0.000588789448893,0.000235515779557,0.0021533595774,0.00159814278985,0.000285983446605,0.00057196689321,0.000773863598129	2.64524702939,2.54634082076,1.97148533364,3.35727670206,6.03459021502,3.52772566187,18.121646912,9.05895196507,5.03591505309,16.2723214286,9.05988771054,4.84255319149,4.8329588015,1.62879302179,6.03930131004,1.56670888167,4.70557987631,2.78971153846,4.82867830424,6.04875,2.77586206897,6.04119850187,4.02746566792,2.5793294078,2.26831559173,1.25175580535,12.0873907615,18.0973175296,1.58266801296,3.52845528455,2.2427581864,1.33852783925,18.15375,8.05742821473,1.50740558263,2.14749721913,4.53421875,3.35727670206,1.32843836382,5.03747657714,9.05801621959,1.36058098696,9.05988771054,9.05895196507,1.56010415269,2.3795707116,3.84962192279,5.03747657714,4.83345817728,9.05895196507,2.1773575454,3.02503128911,1.59988609334,18.121646912,1.4571908814,3.0225,9.05988771054,2.01820464532,2.20166533592,9.05988771054,4.31739091639,4.02746566792	0.0358057992029,0.0456582800199,0.0345982241453,0.038105535585,0.0411350956492,0.0122692096249,0.0102708202545,0.0229691984373,0.0126942853142,0.0133654859887,0.0229635758519,0.00190535768424,0.0283514106767,0.00626920089043,0.0411132228477,0.01820908064,0.00409959305288,0.0427718695342,0.028370712964,0.00351118567778,0.0119259964797,0.0177244448008,0.0420229222581,0.000410532349389,0.0429007459517,0.0268455114755,0.00481392886656,0.0103049678342,0.0352664778917,0.0122575765028,0.0097684295134,0.046024448701,0.000177663774877,0.00997059035118,0.0130153222965,0.0419842006548,0.00886550609178,0.038105535585,0.0292749886102,0.0126800768988,0.0229748228257,0.0236231615981,0.0229635758519,0.0229691984373,0.0127173951711,0.0196326373939,0.00880377989383,0.0126800768988,0.0283429348185,0.0229691984373,0.0491241819656,0.0145843534631,0.0188144319542,0.0102708202545,0.0418688462979,0.0331357769972,0.0229635758519,0.0429356322531,0.0288820242042,0.0229635758519,0.0192292849246,0.0420229222581	[[6024, 2434, 20], [869, 696, 4]]
rs3126085	pheno_939	1	Atopic dermatitis	1,012 Han Chinese cases, 1,362 Han Chinese controls	6E-12	1.22	0.58	FLG	0.258452937698	0.00949040722656	0.00257532401953	-0.00175476379025	exm99328	0.00257532401953	0.258452937698	0.0355846957159	[[24040, 135], [1378, 2]]
rs3219090	pheno_172.11	1	Melanoma	2,168 European ancestry cases, 4,387 European ancestry controls	9E-8	1.15	0.67	PARP1	0.245577684315	0.00670675589618	0.00349154943832	-0.0038299282616	exm2232632	0.00349154943832	0.245577684315	0.0264215371773	[[23823, 188], [1032, 2]]
rs426736	pheno_041	1	Meningococcal disease	475 UK Caucasian cases, 4,703 UK controls	5E-13	1.59	0.84	CFH,CFHR3	0.772099241459	0.00864630468237	0.0193808882907	-0.0213046340413	exm133490	0.0193808882907	0.772099241459	0.0197784376196	[[23977, 978, 7], [2770, 82, 3]]
rs4845604	pheno_555	1	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	4E-16	1.14	0.857	RORC	0.165518700487	0.0075245303169	0.00449752383519	-0.00455694018301	exm97673	0.00449752383519	0.165518700487	0.0337219567049	[[21021, 204, 1], [619, 1, 0]]
SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs10994336	pheno_296.1	10	Bipolar disorder	4,387 cases,6,209 controls	9E-9	1.45	0.05	ANK3	2.74311728894	0.023225180489	0.00247291568535	0.0935654864907	exm826689	0.00247291568535	2.74311728894	0.0415499501694	[[20322, 88, 2], [401, 5, 0]]
rs877819	pheno_695.42	10	Systemic lupus erythematosus	1,656 Han Chinese cases, 3,394 Han Chinese controls	8E-9	1.46	0.18	WDFY4	1.75495165175	0.00233539129052	0.0208964264082	0.139544208679	exm823531,exm823573,exm823479	0.0205262803688,0.000353273669336,0.00228786757284	1.66441183902,7.63555555556,2.67495133519	0.0109011762419,0.0339591613238,0.0448391264783	[[23907, 1007, 8], [406, 31, 0]]
rs2274223	pheno_150	10	Esophageal cancer	2,031 Han Chinese cases, 2,044 Han Chinese controls	4E-20	1.34	0.21	PLCE1	34.9187327824	0.0060745853737	8.41127784133e-05	0.010437496919	exm843298	8.41127784133e-05	34.9187327824	0.0374380403331	[[25351, 3], [242, 1]]
rs7097397	pheno_695.42	10	Systemic lupus erythematosus	314 Chinese cases, 1,500 Chinese controls	8E-12	1.3	0.28	WDFY4	1.75495165175	0.00233539129052	0.0208964264082	0.10074785176	exm823531,exm823573,exm823479	0.0205262803688,0.000353273669336,0.00228786757284	1.66441183902,7.63555555556,2.67495133519	0.0109011762419,0.0339591613238,0.0448391264783	[[23907, 1007, 8], [406, 31, 0]]
rs1913517	pheno_695.42	10	Systemic lupus erythematosus	1,047 Chinese Han cases, 1,205 Chinese Han controls	7E-12	1.24	0.29	LRRC18, WDFY4	1.75495165175	0.00233539129052	0.0208964264082	0.101980584096	exm823479,exm823531,exm823573	0.00228786757284,0.0205262803688,0.000353273669336	2.67495133519,1.66441183902,7.63555555556	0.0448391264783,0.0109011762419,0.0339591613238	[[23907, 1007, 8], [406, 31, 0]]
rs12413624	pheno_157	10	Pancreatic cancer	981 Chinese ancestry cases, 1,991 Chinese ancestry contorls.	5E-11	1.23	0.37	PRLHR	6.69815668203	0.00422091585808	0.00106415323807	0.0156621953906	exm859340	0.00106415323807	6.69815668203	0.0119972104641	[[25194, 52], [217, 3]]
rs3750848	pheno_362.2	10	Age-related macular degeneration (extreme sampling)	720 European ancestry grade 5 cases, 513 European ancestry grade 1 controls	3E-29	3.12	0.37	ARMS2,HTRA1,PLEKHA1,BTBD16	1.41226320259	0.00517487151575	0.0281796769852	0.0344742904253	exm861383,exm861370	0.000706594885599,0.0274880559855	4.76489028213,1.32969556244	0.00605001172279,0.0397685806574	[[25041, 1423, 17], [781, 65, 0]]
rs704010	pheno_174.11	10	Breast cancer	10,052 European ancestry cases, 12,575 European ancestry controls	7E-22	1.08	0.38	ZMIZ1	3.17461430575	0.0140377686146	0.000828262339419	0.00640695290359	exm836998	0.000828262339419	3.17461430575	0.0235049485928	[[12072, 16], [1426, 6]]
rs10993994	pheno_185	10	Prostate cancer	1,854 cases, 1,894 controls	9E-29	1.25	0.4	MSMB	2.17538076086	3.88821460506e-06	0.00846250381576	0.0368183359791	exm823559,exm824294,exm823726,exm823506,exm823532,exm822871	0.00294434349552,0.000336451113653,0.00442522889115,0.000201877460382,0.000252346825477,0.000420578042462	1.78795887187,9.05235275787,1.73955196602,6.03459021502,6.04244694132,6.04244694132	0.0351803594237,0.0229777302735,0.0363127954927,0.0411350956492,0.0177134663429,0.0177134663429	[[9446, 143, 1], [1545, 48, 2]]
SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs11235667	pheno_555.1	11	Crohn's disease	532 Korean ancestry cases, 733 Korean ancestry controls	7E-9	1.46	0.096	STARD10, ATG16L2, FCHSD2	4.53919035314	1.89130113467e-06	0.00380266523085	0.12315226407	exm939289,exm939370,exm939213,exm939319	0.00324708099196,0.000285983446605,3.36462433969e-05,0.000269179004038	3.56812035159,7.3745441917,47.8513513514,7.37384962667	0.000885536137878,0.0369584173059,0.0406090333932,0.0369646344089	[[21080, 162], [430, 15]]
rs964184	pheno_411	11	Coronary heart disease	22,233 European ancestry cases, 64,762 European ancestry controls	1E-17	1.13	0.13	ZNF259, APOA5, APOA4, APOC3, APOA1	1.90639788861	0.0104610146978	0.00117757889779	0.0152820553057	exm957858	0.00117757889779	1.90639788861	0.0190745638172	[[21945, 44], [5494, 21]]
rs2231884	pheno_555	11	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	3E-10	1.08	0.157	RELA,FOSL1,CTSW,SNX32	11.4388799138	0.00614225611493	0.000151403001144	0.0102139699733	exm928233	0.000151403001144	11.4388799138	0.0201213352631	[[21242, 6], [619, 2]]
rs1393350	pheno_172.11	11	Melanoma	1,539 European ancestry cases, 3,917 European ancestry controls	2E-14	1.29	0.27	TYR	4.14406724863	0.00070750854181	0.00111028867506	0.0132101950468	exm946830,exm946799	0.000790660117085,0.000319628557971	3.52338667136,5.80743243243	0.0194140606471,0.022127387539	[[24033, 45], [1031, 8]]
rs483905	pheno_555.2	11	Ulcerative colitis	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	1E-8	1.06	0.292	JRKL,MAML2	12.3476744186	0.00414178513913	0.000285993068874	0.0114091150828	exm949751	0.000285993068874	12.3476744186	0.0151947985832	[[21238, 10], [344, 2]]
rs3817198	pheno_174.11	11	Breast cancer	390 cases,364 controls	3E-9	1.07	0.3	LSP1	1.57431448186	1.40772475324e-13	0.101301043905	0.496821496721	exm887308,exm883491,exm891273,exm883112,exm896230,exm882841,exm878134,exm883585,exm894223,exm894513,exm882235,exm881991,exm895301,exm877682,exm893471,exm894661,exm882287,exm882286,exm891051,exm896664,exm886592,exm878312,exm895439,exm891236,exm887866,exm883785,exm885960,exm878677,exm895207,exm882275,exm887084	0.00755332750151,0.02555432186,0.000202183582693,0.000672902227306,0.000100952316856,0.000336462433969,6.72902227306e-05,0.0118430792006,0.00064033432192,0.000235515779557,0.000528222155146,0.000168236877524,0.000521499226162,0.000286060442889,0.00265796379786,0.000387022952144,0.00057196689321,0.000576662143826,0.000134580445461,0.00025233833524,0.00672924867938,0.000521499226162,0.000170680826854,0.000151413189771,0.00293482660909,0.0336451113653,0.00767108539129,8.41156084923e-05,0.00933746088361,0.000874772895498,0.00176660609731	1.85825853573,1.33450576671,16.9142857143,3.02387598445,16.9254355401,5.07637630662,16.9164345404,1.44684660094,3.91628959276,8.46271777003,5.28581545933,16.9150417827,3.7619711762,5.07512195122,1.93499538319,6.77571528262,4.83761705519,4.82010211232,12.6951219512,25.3923344948,1.70848152938,4.23482205164,14.7422096317,16.9150417827,1.93190042987,1.27118788646,1.57123860925,16.9150417827,1.44530822881,3.91082939407,2.65077906162	0.00212878937816,0.0136085884197,0.0312322770437,0.0434243519094,0.0311968875971,0.0441010109541,0.031225414494,0.0255582324406,0.0111533848825,0.0185095435306,0.0092437702237,0.0312298378502,0.0409484876806,0.0441261553721,0.0474964798959,0.0101638941082,0.0224223680131,0.0226690828498,0.0100413327412,0.0043600662321,0.0155681434812,0.0159934718099,0.0394689482536,0.0312298378502,0.0218910966072,0.0220857982579,0.0212009052976,0.0312298378502,0.0425754159308,0.0112193169298,0.0106651640266	[[8401, 1864, 18], [1018, 379, 4]]
rs11229030	pheno_555.1	11	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	8E-9	1.15	0.305	SLC43A3, PRG2, PRG3	1.37955906369	0.0138314421722	0.0451638958067	0.177637239663	exm910982	0.0451638958067	1.37955906369	0.0283678842019	[[19341, 1866, 35], [392, 51, 2]]
rs907611	pheno_189.21	11	Bladder cancer	6,911 European ancestry cases, 11,818 European ancestry controls	4E-8	1.15	0.31	LSP1	1.74515302935	1.56628386018e-11	0.143844269198	0.704152207982	exm890985,exm893722,exm889851,exm893085,exm881501,exm894022,exm891611,exm885854,exm886658,exm886240,exm890317,exm880017,exm879797,exm2271585,exm888920,exm885734,exm894761,exm882172,exm879331,exm881739,exm881737,exm885817,exm887866,exm890624,exm883205,exm896492,exm882008,exm882485,exm896873,exm878671,exm888432,exm888919,exm882272,exm891822,exm890626	0.00360014804347,0.000285983446605,0.00112711123074,0.000302806002288,0.000285983446605,8.41269307131e-05,0.00137968166369,3.36451113653e-05,0.000336587007742,0.00121146856912,0.000622476446837,3.36451113653e-05,0.00266091818519,0.0485347061001,0.00494649707248,0.0290628706999,6.72902227306e-05,0.00065610174624,0.000100935334096,0.00584076754755,0.000841156084923,0.000370108677366,0.00293482660909,0.00030286714228,0.000117761851889,7.54603078781e-05,0.000336451113653,0.000269160890923,0.00879878869448,0.000706571111335,0.000269160890923,0.00203559772551,0.0211627750488,0.00243927057399,0.021376310732	2.30426030155,7.71366120219,3.80300883762,7.23130122951,8.26492974239,38.5778688525,4.7187849006,57.7627811861,7.22822745902,4.45104536489,5.11130571325,57.7627811861,2.79260729348,1.35818365514,2.29529070242,1.52202345069,57.8790983607,5.11148689455,28.9375,1.95468733183,4.04035146364,6.08865401208,2.57466892728,7.2300204918,23.1483606557,53.1673728814,6.41626902977,8.26492974239,1.78750093094,4.57278720415,8.90100882724,3.2297979798,1.46885928024,2.97365915582,1.46641096958	0.0282562487835,0.0333228130502,0.024990269497,0.0370728265804,0.029732381365,0.00280524982927,0.0024734165429,0.0338122170213,0.0371010296785,0.00693706689317,0.0249422363171,0.0338122170213,0.0159461222203,0.0240235961291,0.0183622668391,0.0118726159477,0.00170178751364,0.0249400013203,0.00415901231994,0.034421744095,0.0435934936174,0.0492196607838,0.0232628860185,0.0370845740119,0.0057574556537,0.00200708093786,0.0450539213514,0.029732381365,0.0354332875665,0.0325613849048,0.0263081704895,0.0135709890665,0.0438710210347,0.0119766211016,0.0441973474031	[[17819, 6796, 124], [260, 198, 5]]
rs907611	pheno_555	11	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	3E-10	1.07	0.315	TNNI2,LSP1	1.55755149718	2.09175090244e-09	0.172764460756	0.798366843229	exm885521,exm887245,exm2249879,exm896476,exm894986,exm896581,exm892828,exm886566,exm883617,exm879750,exm891535,exm894150,exm880714,exm2271585,exm879767,exm882385,exm878784,exm887991,exm890113,exm894917,exm882018,exm895214,exm887411,exm896504,exm888080,exm884759,exm886598,exm889681,exm887989,exm880884,exm883211,exm896061,exm2250113,exm890621,exm2249830,exm888755,exm881445,exm880641,exm881999,exm891143,exm880251,exm883790,exm883001,exm895857	0.000403836446239,0.00964029745281,0.000235523703778,0.00913464773568,0.000588789448893,0.000134584973588,8.41212692217e-05,0.000302826379542,0.000218693223875,0.00116083445491,0.00287665702173,0.00129533678756,0.026344122199,0.0485347061001,0.000100938730191,0.00210281946033,0.000319628557971,0.00351626905347,0.000100945523066,0.0176138084183,0.00109376051693,0.002809366799,0.0305003196393,0.000185048112509,0.00344873994818,0.000319639312271,0.00282685512367,0.00156160731289,0.00365074024226,0.000555144337528,0.000302806002288,0.000218693223875,0.000403809267423,0.000437430599953,0.000202040610163,0.00714958616513,0.00272543741588,0.00287704421563,0.000235515779557,0.016672280229,0.000319671579514,0.0100777280528,0.000487854114797,0.000588789448893	6.86957928803,1.6990262395,8.57835218094,1.69746172442,4.2928802589,22.8799138395,34.3182552504,6.86171243942,7.62484293664,3.43695299838,2.27038321926,3.44123376623,1.40038439934,1.28922737548,22.8809908454,2.51826293873,7.62484293664,2.66116015132,34.3182552504,1.48411979028,3.27205371614,2.56829094655,1.43692876579,11.4388799138,2.69929078014,7.92942494399,2.21036667364,3.662322157,2.55327318737,4.90684234859,7.92942494399,6.8620355412,5.72518878101,5.72464940669,9.79506115855,1.97848869277,2.55613199011,2.40973584691,6.8620355412,1.50971031789,11.4710967045,1.67060846276,7.64631730596,4.12097087379	0.0135395474313,0.0332324009253,0.0311474925659,0.0418874261004,0.0402109897235,0.00760537818935,0.00465141266522,0.0440132698825,0.0373645394433,0.0357192165775,0.0311944701124,0.019680489678,0.0382295202525,0.0376689284157,0.00760470263286,0.0392265341869,0.0373645394433,0.00459840770606,0.00465141266522,0.0373489506042,0.0411341723624,0.0170013959194,0.0156310434689,0.0201213352631,0.00416621385277,0.00968330075574,0.0476056396182,0.00848674311974,0.00610600056572,0.0296090211558,0.00968330075574,0.0440096233392,0.0207129986274,0.0207179629947,0.0254324988575,0.00990623141221,0.0121057249851,0.023368858702,0.0440096233392,0.0329506186687,0.00089306696276,0.031312804923,0.00313431202728,0.0441157850472	[[12216, 6077, 97], [277, 255, 2]]
rs907611	pheno_555.2	11	Ulcerative colitis	6,687 European ancestry cases, 19,718 European ancestry controls	1E-10	1.08	0.32	LSP1	1.78158886538	5.32424466949e-10	0.202279752705	1.0427643377	exm888778,exm885521,exm896476,exm883807,exm896581,exm892828,exm883617,exm883127,exm888705,exm882182,exm892988,exm879750,exm891127,exm885072,exm892878,exm894150,exm885281,exm2249736,exm881950,exm879767,exm882385,exm887991,exm890113,exm894917,exm895214,exm887411,exm888080,exm1701854,exm888099,exm884759,exm883403,exm884754,exm889681,exm889464,exm887989,exm883211,exm896728,exm888755,exm880641,exm888167,exm880786,exm895119,exm883790,exm886012,exm887544,exm886019	0.0326694031357,0.000403836446239,0.00913464773568,0.00484832478117,0.000134584973588,8.41212692217e-05,0.000218693223875,6.72902227306e-05,0.0318712890251,0.000740192450037,3.36451113653e-05,0.00116083445491,6.72902227306e-05,8.41127784133e-05,8.41184387618e-05,0.00129533678756,3.36451113653e-05,0.0190437737627,0.000319628557971,0.000100938730191,0.00210281946033,0.00351626905347,0.000100945523066,0.0176138084183,0.002809366799,0.0305003196393,0.00344873994818,3.3698399326e-05,0.035984657313,0.000319639312271,0.00082430522845,0.000403754920763,0.00156160731289,6.72902227306e-05,0.00365074024226,0.000302806002288,0.000134584973588,0.00714958616513,0.00287704421563,0.0483328286397,0.000992564180209,0.00923589381246,0.0100777280528,3.36485076887e-05,6.72924867938e-05,0.000504710632571	1.7561403627,8.22751937984,2.3834565806,2.8935272045,41.1705426357,30.7869565217,13.7202842377,61.5855072464,1.5230731558,5.45721145601,61.5855072464,4.63688046647,61.5855072464,61.5855072464,30.7898550725,4.95859649123,61.5855072464,1.8725748503,8.81810631229,41.1724806202,3.78477934339,2.60423693953,61.7529069767,2.01622561329,2.88325239086,1.53272401684,2.64155193992,61.4753623188,1.56628440367,14.2868356134,5.62284654121,7.26060191518,5.62534384742,30.7913043478,2.49865771812,9.49686940966,61.5855072464,2.09043354205,3.25103575265,1.40346652665,4.99631271329,1.92508381591,2.00571576502,61.5797101449,61.5826086957,6.17034883721	0.001612145197,0.029723202045,0.00569042231032,0.0137883183146,0.00247967505438,0.0473114377969,0.0127966339499,0.031789933277,0.0432536103873,0.0211968674897,0.031789933277,0.031404785704,0.031789933277,0.031789933277,0.04730712609,0.0109192413385,0.031789933277,0.00484955206864,0.0264890526799,0.00247944903552,0.0130081785925,0.0331589641233,0.00150401114716,0.00202243201224,0.0345375314358,0.025894839536,0.0313318010372,0.0318455220714,0.0130378023638,0.00195590241957,0.0197067754711,0.0365834278759,0.00277307510747,0.047304970451,0.0390289686638,0.023422408912,0.031789933277,0.0338807722148,0.013027476462,0.0320481968279,0.0260974371639,0.0400730540833,0.0199431605315,0.0317928542122,0.0317913936612,0.0479025880496	[[11011, 7042, 127], [111, 176, 1]]
rs2237895	pheno_250.2	11	Type 2 diabetes	995 Han Chinese cases, 894 Han Chinese controls	1E-9	1.29	0.33	KCNQ1	5.76204496788	0.00759721816288	0.000201891046132	0.00273268801134	exm878864	0.000201891046132	5.76204496788	0.0120084145876	[[21527, 4], [4670, 5]]
rs4246215	pheno_555	11	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	2E-15	1.08	0.338	C11orf9,FADS1,FADS2	5.72545846818	0.00831792945453	0.000471031559114	0.00738787976362	exm916753	0.000471031559114	5.72545846818	0.0207105170458	[[21230, 18], [618, 3]]
rs163182	pheno_250.2	11	Type 2 diabetes	793 Han Chinese cases, 806 Han Chinese controls	2E-17	1.28	0.34	KCNQ1	5.76204496788	0.00759721816288	0.000201891046132	0.00267303604418	exm878864	0.000201891046132	5.76204496788	0.0120084145876	[[21527, 4], [4670, 5]]
rs2237897	pheno_250.2	11	Type 2 diabetes	194 Japanese cases, 1,558 Japanese controls	1E-16	1.33	0.34	KCNQ1	5.76204496788	0.00759721816288	0.000201891046132	0.00257254596733	exm878864	0.000201891046132	5.76204496788	0.0120084145876	[[21527, 4], [4670, 5]]
