SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SKAT_p-val	Logit_no-covariates	Logit	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs102275	pheno_555.1	11	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	2E-11	1.08	0.341	FADS1,TMEM258	9.06150341686	3.90947978667e-05	0.000841127784133	0.0206958897848	2.62416792163e-06	-1	-1	exm916538,exm916700	0.000168225556827,0.000672902227306	15.9834462002,7.40345368917	0.0108320821111,0.00313778767016	[[21216, 32], [439, 6]]
rs7934606	pheno_504.1	11	Interstitial lung disease	1,161 European ancestry cases, 4,683 European ancestry controls	7E-34	1.52	0.42	MUC2	73.1992753623	0.00252911944732	8.42232927939e-05	0.00965708646795	-1	-1	-1	exm874404	8.42232927939e-05	73.1992753623	0.0203587083714	[[20203, 2], [138, 1]]
rs5219	pheno_250.2	11	Type 2 diabetes	1,161 cases,1,174 controls	7E-11	1.14	0.46	KCNJ11	1.14014886437	0.0101514981482	0.039836740201	0.0866129178118	-1	-1	-1	exm893246	0.039836740201	1.14014886437	0.0203629837514	[[19830, 1601, 48], [4252, 410, 4]]
rs7944004	pheno_204.12	11	Chronic lymphocytic leukemia	2,179 European ancestry cases, 6,221 European ancestry controls	2E-10	1.2	0.49	TSPAN32,ASCL2	6.15737704918	0.00539212914461	0.00112711123074	0.0118028041225	-1	-1	-1	exm878339	0.00112711123074	6.15737704918	0.0147863681089	[[26918, 61], [215, 3]]
rs1801516	pheno_172.11	11	Melanoma	2,804 European ancestry cases, 7,618 European ancestry controls	3E-9	1.19	0.87	ATM	0.168726651649	0.00850063610194	0.00267523639668	-0.00206686211176	-1	-1	-1	exm953775	0.00267523639668	0.168726651649	0.0488762115437	[[23938, 135, 1], [1038, 1, 0]]
SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SKAT_p-val	Logit_no-covariates	Logit	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs17095830	pheno_715.2	12	Ankylosing spondylitis	1,837 Han Chinese cases, 4,231 Han Chinese controls	2E-8	1.29	0.1	ANO6	25.9668449198	0.00628451782181	0.000336451113653	0.0677253790025	-1	-1	-1	exm996364	0.000336451113653	25.9668449198	0.0406075497312	[[24279, 17], [55, 1]]
rs2074356	pheno_150	12	Esophageal cancer	2,031 Han Chinese cases, 2,044 Han Chinese controls	2E-31	1.56	0.13	HECTD4,C12orf51	1.61459031344	0.0237303732592	0.0258562680842	0.205854437823	0.00370055336589	-1	-1	exm1038288,exm1038215	0.00338133369221,0.0258226229729	3.26358130706,1.61711893093	0.0215591904669,0.043457584466	[[24052, 1291, 11], [223, 20, 0]]
rs1385374	pheno_695.42	12	Systemic lupus erythematosus	1,656 Han Chinese cases, 3,394 Han Chinese controls	8E-8	1.41	0.17	SLC15A4	2.43625259025	0.00919718355747	0.00435704192181	0.044283916011	-1	-1	-1	exm1050848	0.00435704192181	2.43625259025	0.0150844222007	[[24717, 206, 3], [428, 9, 0]]
rs705702	pheno_256.4	12	Polycystic ovary syndrome	2,254 Han Chinese cases, 3,001 Han Chinese controls	9E-26	1.27	0.245	SUOX,RAB5B;SUOX,RAB5B	8.49953401678	0.0079593086412	0.00119448183042	0.0326290822756	-1	-1	-1	exm1011838	0.00119448183042	8.49953401678	0.026400645183	[[13680, 29], [111, 2]]
rs11612508	pheno_555	12	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	1E-8	1.06	0.267	DUSP16,LOH12CR1	13.7266558966	0.00446805347352	0.000168236877524	0.00815959906327	-1	-1	-1	exm1758745	0.000168236877524	13.7266558966	0.0153790778562	[[21242, 5], [619, 2]]
rs4767364	pheno_150	12	Upper aerodigestive tract cancers	2,091 European ancestry cases, 8,334 European ancestry controls	2E-8	1.13	0.29	NAA25,ALDH2	1.69640838673	0.00277332584825	0.0425947109885	0.220500533877	0.00557159457856	-1	-1	exm1038088,exm1038215	0.017175829352,0.0258226229729	1.83942106856,1.61711893093	0.0319574405029,0.043457584466	[[23221, 2113, 20], [209, 34, 0]]
rs10859871	pheno_615	12	Endometriosis	3,181 European ancestry cases, 8,075 European ancestry controls, 1,423 Japanese ancestry cases, 1,318 Japanese ancestry controls	5E-13	1.2	0.295	RPL29P26,VEZT,MIR3685	3.88044662309	0.0213583765884	0.00255702846376	0.0280294137496	-1	-1	-1	exm1027270	0.00255702846376	3.88044662309	0.0472136726303	[[14249, 72], [153, 3]]
rs11532322	pheno_295.1	12	Schizophrenia	5,001 European ancestry cases, 6,243 European ancestry controls, 8,832 cases, 12,067 controls	2E-8	1.09	0.318	MPHOSPH9,SBNO1,C12orf65,OGFOD2,ARL6IP4,SETD8,PITPNM2,ABCB9,RILPL2,MIR4304,CDK2AP1	51.6632911392	0.00284216104785	0.000100935334096	0.015044289284	-1	-1	-1	exm1047756	0.000100935334096	51.6632911392	0.0231991505764	[[20407, 5], [79, 1]]
rs1701704	pheno_250.1	12	Type 1 diabetes	467 trios, 561 cases, 1,143 controls	9E-10	1.25	0.35	IKZF4,CDK2,SUOX,ERBB3,RAB5B	4.88223281144	0.00166436189639	0.000420563892066	0.00469323619006	0.000149602323265	-1	-1	exm1011803,exm1011817	0.000386918780701,0.000420563892066	5.49302246426,4.88223281144	0.00210179407019,0.00339601285176	[[21516, 18], [1469, 6]]
rs11171747	pheno_709.3	12	Systemic sclerosis	2,296 European ancestry cases, 5,172 European ancestry controls	6E-8	1.23	0.39	ZC3H10,ESYT1,RPL41	3.3537625276	0.0173048615152	0.00296196566813	0.0207082123531	-1	-1	-1	exm1012527	0.00296196566813	3.3537625276	0.0349852614292	[[24608, 143, 1], [201, 4, 0]]
rs1800693	pheno_571.6	12	Primary biliary cirrhosis	2,774 European ancestry cases, 9,814 European ancestry controls	2E-9	1.22	0.4	TNFRSF1A	5.28745940931	0.000550253288672	0.00250635171325	0.0271562150599	8.33253173127e-08	-1	-1	exm977097,exm977267,exm977148	0.000100935334096,0.000514085955172,0.00205754376497	24.5759493671,8.8777173913,5.18415465415	0.0495444467744,0.0246238128477,0.00358456229833	[[22739, 114, 1], [220, 6, 0]]
rs12817488	pheno_332	12	Parkinson's disease	5,333 European ancestry cases, 12,019 European ancestry controls	3E-13	1.14	0.41	HIP1R,CCDC62	6.34761904762	0.0152542000944	0.000706547338672	0.00959540724218	-1	-1	-1	exm1046955	0.000706547338672	6.34761904762	0.0440465403896	[[22661, 30], [238, 2]]
SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SKAT_p-val	Logit_no-covariates	Logit	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs11571833	pheno_174.11	13	Breast cancer	10,052 European ancestry cases, 12,575 European ancestry controls	5E-8	1.26	0.008	N4BP2L1,N4BP2L2,BRCA2	2.95988660524	0.01976392607	0.000754603078781	0.221581304083	-1	-1	-1	exm1061972	0.000754603078781	2.95988660524	0.0319216265165	[[10441, 15], [1411, 6]]
rs753955	pheno_165.1	13	Lung cancer	2,331 Chinese ancestry cases, 3,077 Chinese ancestry controls	2E-12	1.18	0.29	MIPEP,MTCO3P2,TNFRSF19	8.95224358974	0.0118128275139	0.000134666532	0.00352299122692	-1	-1	-1	exm1057213	0.000134666532	8.95224358974	0.0333440816941	[[27931, 5], [1248, 2]]
rs9552911	pheno_250.2	13	Type 2 diabetes	842 Punjabi Sikh cases, 774 Punjabi Sikh controls	2E-8	1.49	0.93	SGCG,SACS	0.447390797626	0.0122124877302	0.00156455031796	-0.00132850578704	-1	-1	-1	exm1056928	0.00156455031796	0.447390797626	0.038429380483	[[21463, 68, 2], [4668, 7, 0]]
SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SKAT_p-val	Logit_no-covariates	Logit	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs8017161	pheno_571.6	14	Primary biliary cirrhosis	2,774 European ancestry cases, 9,814 European ancestry controls	3E-13	1.22	0.4	RPL13P6,EXOC3L4,TNFAIP2	2.75295522388	0.00943831185737	0.00557922499493	0.0314740913832	-1	-1	-1	exm1129650	0.00557922499493	2.75295522388	0.0166987738831	[[22932, 248, 1], [231, 7, 0]]
rs2841277	pheno_714.1	14	Rheumatoid arthritis	4,074 Japanese ancestry cases, 16,891 Japanese ancestry controls	2E-14	1.15	0.69	PLD4	0.498605021921	0.0117298713712	0.00768842530283	-0.0176340423466	-1	-1	-1	exm2251669	0.00768842530283	0.498605021921	0.0352072426496	[[23908, 386], [1118, 9]]
rs8008270	pheno_185	14	Prostate cancer	11,085 European ancestry cases, 11,463 European ancestry controls	2E-14	1.12	0.82	ERO1L,GNPNAT1,STYX,DDHD1,TXNDC16,FERMT2,GPR137C,PSMC6	0.384615384615	0.00922507556929	0.00338133369221	-0.00888683855005	-1	-1	-1	exm1102292	0.00338133369221	0.384615384615	0.0271444592173	[[9606, 78], [1601, 5]]
SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SKAT_p-val	Logit_no-covariates	Logit	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs8030672	pheno_150	15	Esophageal cancer	2,031 Han Chinese cases, 2,044 Han Chinese controls	1E-11	1.56	0.03	CORO2B,ANP32A	5.2257231405	0.00058187669149	0.00245617576798	0.274258430509	-1	-1	-1	exm1172737	0.00245617576798	5.2257231405	0.00139566134392	[[25233, 119, 1], [237, 6, 0]]
rs744910	pheno_495	15	Asthma	10,365 cases, 16,110 controls	4E-9	1.12	0.49	SMAD3	4.23409443582	0.0124079431006	0.000302816190572	0.00233628343218	-1	-1	-1	exm1171878	0.000302816190572	4.23409443582	0.0246564585325	[[23875, 13], [1735, 4]]
rs4380028	pheno_411	15	Coronary heart disease	8,424 European ancestry cases, 7,268 European ancestry controls, 6,996 South Asian cases, 7,794 South Asian controls	4E-9	1.07	0.65	ADAMTS7,RPL21P116,MORF4L1	0.398149156233	0.00254989295062	0.00166582534074	-0.00615872171428	-1	-1	-1	exm1181205	0.00166582534074	0.398149156233	0.00746501545007	[[21903, 78, 1], [5507, 8, 0]]
SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SKAT_p-val	Logit_no-covariates	Logit	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs2066847	pheno_555.1	16	Crohn's disease	3,230 cases4,829 controls	3E-24	3.99	0.02	NOD2	2.76631685596	3.96650873925e-05	0.00869784656797	0.301516285357	7.65966558711e-05	-1	-1	exm1239878,exm1239871,exm1239990	0.00711641991925,0.000386918780701,0.00119440145347	2.24777777778,8.47657705616,3.76986350096	0.0073066403781,0.007540064256,0.0262022893569	[[20881, 364, 2], [425, 19, 1]]
rs1805007	pheno_172.21	16	Basal cell carcinoma	2,045 European ancestry cases, 6,013 European ancestry controls	4E-17	1.55	0.07	MC1R	1.96207953085	0.025462702055	0.0108691994481	0.196555149806	-1	-1	-1	exm1272357	0.0108691994481	1.96207953085	0.0431368568503	[[23569, 506, 1], [234, 10, 0]]
rs258322	pheno_172.11	16	Melanoma	1,539 European ancestry cases, 3,917 European ancestry controls	3E-27	1.67	0.09	MC1R,CDK10	1.72897259158	1.19204641126e-05	0.0228577250959	0.262943314683	2.02629207608e-05	-1	-1	exm1271443,exm1271432	0.0225505179148,0.000302856950567	1.67799682666,5.80670849421	8.20025439909e-05,0.0221343303532	[[22809, 1031, 6], [946, 74, 1]]
rs7202877	pheno_250.1	16	Type 1 diabetes	7,514 cases, 9,045 controls	3E-15	1.28	0.1	CTRB2,Intergenic,CTRB1	1.76840420668	0.0185943283194	0.00339918554168	0.0469619844624	-1	-1	-1	exm1259203	0.00339918554168	1.76840420668	0.0329048912598	[[21385, 141], [1458, 17]]
rs9888739	pheno_695.42	16	Systemic lupus erythematosus	811 anti-dsDNA positive European ancestry cases, 906 anti-dsDNA negative European ancestry cases, 4,813 European ancestry controls	1E-15	1.8	0.13	ITGAM	3.81880539499	0.000472072219516	0.00290275761974	0.0473720788829	0.0417907670722	-1	-1	exm1236368,exm1236430	0.00254826515458,0.000353297442799	3.25335471348,9.54482758621	0.00762648586675,0.0235085506915	[[24708, 133, 1], [428, 9, 0]]
rs5743289	pheno_555	16	Inflammatory bowel disease	1,011 cases,4,250 controls	4E-10	1.46	0.17	NOD2	1.60013006823	5.75398271894e-06	0.069405528209	0.447453153056	9.78865312026e-10	-1	-1	exm1239871,exm1239948,exm1239990,exm1239939,exm-rs2066847,exm-IND16-49321279	0.000386918780701,0.0474937533126,0.00119440145347,0.000201911428187,0.0226768050602,0.0226768050602	6.06253569389,1.38800651038,3.37359943978,9.81923254739,2.01166618259,2.01166618259	0.0181265393657,0.0131883700933,0.0211212806928,0.0253192267096,6.77265740278e-06,6.77265740278e-06	[[16112, 2440, 51], [433, 97, 8]]
rs11574637	pheno_695.42	16	Systemic lupus erythematosus	1,311 cases,3,340 controls	3E-11	1.33	0.19	ITGAX,ITGAM	3.81880539499	0.000472072219516	0.00290275761974	0.0438665075529	0.0417907670722	-1	-1	exm1236430,exm1236368	0.000353297442799,0.00254826515458	9.54482758621,3.25335471348	0.0235085506915,0.00762648586675	[[24708, 133, 1], [428, 9, 0]]
rs2076756	pheno_555.1	16	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	1E-37	1.66	0.246	NKD1,SNX20,CYLD,NOD2	1.98646117831	5.42946205585e-11	0.0893533242466	0.434657923813	3.54953988189e-10	-1	-1	exm1239878,exm1239871,exm1239948,exm-rs2066847,exm1239999,exm1239990,exm-IND16-49321279	0.00711641991925,0.000386918780701,0.0474937533126,0.0226768050602,0.0144001076644,0.00119440145347,0.0226768050602	2.24777777778,8.47657705616,1.76862529006,2.52294476107,1.91049041408,3.76986350096,2.52294476107	0.0073066403781,0.007540064256,6.195314404e-05,7.04539329888e-08,0.00532271204307,0.0262022893569,7.04539329888e-08	[[15393, 3156, 53], [276, 108, 9]]
rs17221417	pheno_555.1	16	Crohn's disease	1,748 cases,2,938 controls	4E-11	1.29	0.29	NOD2	1.98646117831	5.42946205585e-11	0.0893533242466	0.47446380585	3.54953988189e-10	-1	-1	exm1239878,exm1239871,exm1239948,exm1239990,exm-rs2066847,exm1239999,exm-IND16-49321279	0.00711641991925,0.000386918780701,0.0474937533126,0.00119440145347,0.0226768050602,0.0144001076644,0.0226768050602	2.24777777778,8.47657705616,1.76862529006,3.76986350096,2.52294476107,1.91049041408,2.52294476107	0.0073066403781,0.007540064256,6.195314404e-05,0.0262022893569,7.04539329888e-08,0.00532271204307,7.04539329888e-08	[[15393, 3156, 53], [276, 108, 9]]
rs9929218	pheno_153	16	Colorectal cancer	1,902 cases,1,929 controls	1E-8	1.1	0.29	CDH1	3.21456901111	4.28722418279e-05	0.00284339457568	0.0286529407189	0.000514015417428	-1	-1	exm1865596,exm1252100	0.000201891046132,0.00264123010666	19.4105497299,2.37392237874	4.48738862406e-05,0.0117993104883	[[24315, 124], [1037, 17]]
SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SKAT_p-val	Logit_no-covariates	Logit	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs312457	pheno_250.2	17	Type 2 diabetes	5,976 Japanese ancestry cases, 20,829 Japanese ancestry controls	8E-13	1.2	0.078	SLC16A13	2.40673572714	0.0105138519326	0.000605632381145	0.0155726184745	-1	-1	-1	exm1285247	0.000605632381145	2.40673572714	0.0235921996019	[[21510, 23], [4663, 12]]
rs12946510	pheno_555	17	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	4E-38	1.16	0.465	ORMDL3,GSDMA,GSDMB,GRB7,IKZF3,ZPBP2	6.85686591276	0.0158829037704	0.000235698171656	0.00299620088789	-1	-1	-1	exm1317081	0.000235698171656	6.85686591276	0.0440680229895	[[21222, 10], [619, 2]]
rs2290400	pheno_250.1	17	Type 1 diabetes	7,514 cases, 9,045 controls	6E-13	1.15	0.5	GSDMB,ORMDL3	0.799904576588	0.0180962234544	0.0377860026918	0.0525655591029	-1	-1	-1	exm1317558	0.0377860026918	0.799904576588	0.0406584926511	[[19909, 1598, 25], [1386, 87, 2]]
SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SKAT_p-val	Logit_no-covariates	Logit	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs597503	pheno_427.42	18	Sudden cardiac arrest	89 European ancestry cases, 520 European ancestry controls	2E-8	1.45	0.13	LAMA1,Intergenic,LINC00668	30.2680921053	0.00669047648382	0.000185048112509	0.0297138106808	-1	-1	-1	exm1373574	0.000185048112509	30.2680921053	0.0405479902668	[[18403, 4], [152, 1]]
rs613872	pheno_364.51	18	Fuchs's corneal dystrophy	130 European descent cases, 260 European descent controls	1E-18	5.47	0.15	TCF4	3.18890727681	0.00170406461696	0.0257738896366	0.100171290937	-1	-1	-1	exm-rs17512836	0.0257738896366	3.18890727681	0.00321413567273	[[25138, 1323, 19], [50, 7, 1]]
rs2542151	pheno_250.1	18	Type 1 diabetes	1,963 cases,2,938 controls	1E-14	1.3	0.16	PTPN2,PSMG2	5.4836107337	0.0133297391882	0.00021870058208	0.00576571567	-1	-1	-1	exm1376399	0.00021870058208	5.4836107337	0.0294180212767	[[21525, 8], [1472, 3]]
rs1893217	pheno_557.1	18	Celiac disease	4,533 European descent cases, 10,750 European descent controls	3E-10	1.17	0.17	PTPN2	31.0497076023	0.00524357939828	0.00021870058208	0.034140719588	-1	-1	-1	exm1376399	0.00021870058208	31.0497076023	0.0355357858816	[[21238, 9], [76, 1]]
SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SKAT_p-val	Logit_no-covariates	Logit	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs2230199	pheno_362.2	19	Age-related macular degeneration (GA)	819 European ancestry GA cases, 4,134 European ancestry controls	5E-13	1.83	0.19	C3	2.21412579984	0.00212798697358	0.00487903361486	0.031069295959	0.0349439173133	-1	-1	exm1414353,exm1414614	0.000723394233034,0.00415545087483	3.80738501404,1.95234093637	0.0268223208842,0.0292875975519	[[26237, 243], [829, 17]]
rs115550680	pheno_290.11	19	Alzheimer's disease (late onset)	1,968 African American cases, 3,928 African American controls	2E-9	1.79	0.07	HMHA1,ABCA7,GRIN3B	105.995594714	0.0024186535852	3.36462433969e-05	0.0284625185853	-1	-1	-1	exm1399075	3.36462433969e-05	105.995594714	0.0186854326336	[[24061, 1], [227, 1]]
rs12720356	pheno_555.1	19	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	1E-12	1.12	0.084	TYK2,ICAM3,ICAM1	3.46284027452	0.000322603756705	0.00400417241495	0.147383179259	6.17862483876e-06	-1	-1	exm1425571,exm1425403	0.00198506157055,0.00203573471517	2.95842923903,4.69973997971	0.0321266663766,0.00118702754759	[[21094, 149, 2], [434, 11, 0]]
rs3764650	pheno_290.11	19	Alzheimer's disease	6,688 European ancestry cases, 13,685 European ancestry controls	5E-17	1.23	0.1	ABCA7	105.995594714	0.0024186535852	3.36462433969e-05	0.0289947445426	-1	-1	-1	exm1399075	3.36462433969e-05	105.995594714	0.0186854326336	[[24061, 1], [227, 1]]
rs8170	pheno_174.11	19	Breast cancer	1,193 white cases, 1,190 white controls	2E-9	1.26	0.17	ANKLE1,BABAM1,ABHD8,C19orf62	4.48052668565	0.000286174184732	0.00111178492015	0.0232557516501	-1	-1	-1	exm1441605,exm1441827	0.000926268988514,0.000185091704526	3.77715443354,16.9226480836	0.0041672723592,0.0312057292828	[[12114, 19], [1423, 10]]
rs4147929	pheno_290.11	19	Alzheimer's disease (late onset)	17,008 European ancestry cases, 37,154 European ancestry controls	1E-15	1.15	0.19	ABCA7	105.995594714	0.0024186535852	3.36462433969e-05	0.016321984342	-1	-1	-1	exm1399075	3.36462433969e-05	105.995594714	0.0186854326336	[[24061, 1], [227, 1]]
rs12610495	pheno_504.1	19	Interstitial lung disease	1,161 European ancestry cases, 4,683 European ancestry controls	2E-12	1.29	0.29	DPP9	4.67345201238	0.0010358101499	0.00461108680287	0.0576040975625	1.37495948005e-19	-1	-1	exm1410361,exm1410386	0.00454377166706,6.72902227306e-05	3.92175200686,73.2898550725	0.010726686197,0.0203338907544	[[20033, 188, 1], [133, 6, 0]]
rs12608932	pheno_334.21	19	Amyotrophic lateral sclerosis	4,243 European ancestry cases, 5,112 European ancestry controls	5E-8	1.37	0.34	UNC13A	121.97311828	0.00119011080996	5.04710632571e-05	0.0132162150458	-1	-1	-1	exm1926809	5.04710632571e-05	121.97311828	0.0123271903609	[[22687, 2], [93, 1]]
rs12720356	pheno_696.4	19	Psoriasis	2,178 European ancestry cases, 5,175 European ancestry controls	4E-11	1.4	0.9	TYK2	0.64432840967	0.0015680705095	0.0827328439626	-0.119941024	0.0116902363277	-1	-1	exm1425579,exm1425366	0.0455892255892,0.0390982503365	0.644546667802,0.629034959784	0.0320960744442,0.0465831749013	[[19943, 3791, 82], [347, 43, 0]]
SNP_name	Phenotype	Chr	Disease_Trait	Sample Size	p-val_rep	OR_rep	MAF_rep	Gene_rep	OR_combined	p-val_combined	MAF_combined	P_12_max	SKAT_p-val	Logit_no-covariates	Logit	SNPS_rare	MAFs_rare_snps	p-vals_rare_snps	ORs_rare_snps	A_cmb
rs34372695	pheno_332	1	Parkinson's disease	5,333 European ancestry cases, 12,019 European ancestry controls	4E-12	1.47	0.03	SYT11,RAB25	2.29196036367	0.00545344549895	0.0109035840485	0.5666798744	8.02364663599e-09	-1	-1	exm108097,exm108145	0.0108194514555,8.41127784133e-05	2.10922911922,31.6429567643	0.0242379632471,0.0412147065214	[[22186, 500, 1], [230, 8, 2]]
rs6025	pheno_452	1	Venous thromboembolism	1,503 European and other ancestry cases, 1,459 European and other ancestry controls	2E-22	3.57	0.063	F5	5.1358782095	0.0065264625744	0.000302887527765	0.00691651528956	-1	-1	-1	exm122036	0.000302887527765	5.1358782095	0.0139515979361	[[22603, 12], [1467, 4]]
rs2476601	pheno_250.1	1	Type 1 diabetes	1,963 cases,2,938 controls	2E-80	1.98	0.09	PTPN22	2.11592038435	6.25646252733e-05	0.00632528093668	0.075105448208	-1	-1	-1	exm85544	0.00632528093668	2.11592038435	0.000131822908562	[[21287, 244, 3], [1439, 36, 0]]
rs1265883	pheno_242.1	1	Graves' disease	1,442 Han Chinese ancestry cases, 1,468 Han Chinese ancestry controls	2E-18	1.34	0.1	SLAMF6	4.41409857695	0.0067232504888	0.00178325090004	0.0587421288074	-1	-1	-1	exm116191	0.00178325090004	4.41409857695	0.0153159003689	[[23419, 81], [262, 4]]
