snp_name	pheno	Chr	Trait	Sample Size	pval_rep	OR_rep	Gene_rep	maf_common	cmb_odds_ratio	cmn_p_val	rare_snps	rare_snps_mafs	rare_snps_pvals	rare_snps_ors	A_cmb
rs7202877	pheno_250.1	16	Type 1 diabetes	7,514 cases, 9,045 controls	3E-15	1.28	Intergenic	0.1	1.76840420668	0.0185943283194	exm1259203	0.00339918554168	1.76840420668	0.0329048912598	[[21385, 141], [1458, 17]]
rs5743289	pheno_555	16	Inflammatory bowel disease	1,011 cases,4,250 controls	4E-10	1.46	NOD2	0.17	1.60013006823	5.75398271894e-06	exm-rs2066847,exm1239990,exm1239948,exm1239871,exm1239939,exm-IND16-49321279	0.0226768050602,0.00119440145347,0.0474937533126,0.000386918780701,0.000201911428187,0.0226768050602	2.01166618259,3.37359943978,1.38800651038,6.06253569389,9.81923254739,2.01166618259	6.77265740278e-06,0.0211212806928,0.0131883700933,0.0181265393657,0.0253192267096,6.77265740278e-06	[[16112, 2440, 51], [433, 97, 8]]
rs11574637	pheno_695.42	16	Systemic lupus erythematosus	1,311 cases,3,340 controls	3E-11	1.33	ITGAM, ITGAX	0.19	3.81880539499	0.000472072219516	exm1236368,exm1236430	0.00254826515458,0.000353297442799	3.25335471348,9.54482758621	0.00762648586675,0.0235085506915	[[24708, 133, 1], [428, 9, 0]]
rs2076756	pheno_555.1	16	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	1E-37	1.66	NOD2, CYLD, SNX20, NKD1	0.246	1.98646117831	5.42946205585e-11	exm-rs2066847,exm1239990,exm1239948,exm1239878,exm1239871,exm1239999,exm-IND16-49321279	0.0226768050602,0.00119440145347,0.0474937533126,0.00711641991925,0.000386918780701,0.0144001076644,0.0226768050602	2.52294476107,3.76986350096,1.76862529006,2.24777777778,8.47657705616,1.91049041408,2.52294476107	7.04539329888e-08,0.0262022893569,6.195314404e-05,0.0073066403781,0.007540064256,0.00532271204307,7.04539329888e-08	[[15393, 3156, 53], [276, 108, 9]]
rs17221417	pheno_555.1	16	Crohn's disease	1,748 cases,2,938 controls	4E-11	1.29	NOD2	0.29	1.98646117831	5.42946205585e-11	exm-rs2066847,exm1239990,exm1239948,exm1239878,exm1239871,exm1239999,exm-IND16-49321279	0.0226768050602,0.00119440145347,0.0474937533126,0.00711641991925,0.000386918780701,0.0144001076644,0.0226768050602	2.52294476107,3.76986350096,1.76862529006,2.24777777778,8.47657705616,1.91049041408,2.52294476107	7.04539329888e-08,0.0262022893569,6.195314404e-05,0.0073066403781,0.007540064256,0.00532271204307,7.04539329888e-08	[[15393, 3156, 53], [276, 108, 9]]
rs2290400	pheno_250.1	17	Type 1 diabetes	7,514 cases, 9,045 controls	6E-13	1.15	ORMDL3	0.5	0.799904576588	0.0180962234544	exm1317558	0.0377860026918	0.799904576588	0.0406584926511	[[19909, 1598, 25], [1386, 87, 2]]
rs613872	pheno_364.51	18	Fuchs's corneal dystrophy	130 European descent cases, 260 European descent controls	1E-18	5.47	TCF4	0.15	3.18890727681	0.00170406461696	exm-rs17512836	0.0257738896366	3.18890727681	0.00321413567273	[[25138, 1323, 19], [50, 7, 1]]
rs1893217	pheno_557.1	18	Celiac disease	4,533 European descent cases, 10,750 European descent controls	3E-10	1.17	PTPN2	0.17	31.0497076023	0.00524357939828	exm1376399	0.00021870058208	31.0497076023	0.0355357858816	[[21238, 9], [76, 1]]
rs2230199	pheno_362.2	19	Age-related macular degeneration (GA)	819 European ancestry GA cases, 4,134 European ancestry controls	5E-13	1.83	C3	0.19	1.95234093637	0.015263863156	exm1414614	0.00415545087483	1.95234093637	0.0292875975519	[[26271, 210], [833, 13]]
rs115550680	pheno_290.11	19	Alzheimer's disease (late onset)	1,968 African American cases, 3,928 African American controls	2E-9	1.79	ABCA7, HMHA1, GRIN3B	0.07	105.995594714	0.0024186535852	exm1399075	3.36462433969e-05	105.995594714	0.0186854326336	[[24061, 1], [227, 1]]
rs12720356	pheno_555.1	19	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	1E-12	1.12	TYK2,ICAM1,ICAM3	0.084	2.95842923903	0.0173975918737	exm1425571	0.00198506157055	2.95842923903	0.0321266663766	[[21169, 77, 2], [440, 5, 0]]
rs3764650	pheno_290.11	19	Alzheimer's disease	6,688 European ancestry cases, 13,685 European ancestry controls	5E-17	1.23	ABCA7	0.1	105.995594714	0.0024186535852	exm1399075	3.36462433969e-05	105.995594714	0.0186854326336	[[24061, 1], [227, 1]]
rs8170	pheno_174.11	19	Breast cancer	1,193 white cases, 1,190 white controls	2E-9	1.26	ABHD8,ANKLE1,C19orf62	0.17	4.48052668565	0.000286174184732	exm1441605,exm1441827	0.000926268988514,0.000185091704526	3.77715443354,16.9226480836	0.0041672723592,0.0312057292828	[[12114, 19], [1423, 10]]
rs4147929	pheno_290.11	19	Alzheimer's disease (late onset)	17,008 European ancestry cases, 37,154 European ancestry controls	1E-15	1.15	ABCA7	0.19	105.995594714	0.0024186535852	exm1399075	3.36462433969e-05	105.995594714	0.0186854326336	[[24061, 1], [227, 1]]
rs11083846	pheno_204.12	19	Chronic lymphocytic leukemia	505 cases, 1,438 controls	4E-9	1.35	PRKD2,STRN4	0.22	124.322580645	0.00191120537658	exm1483491	3.36451113653e-05	124.322580645	0.0159672226643	[[26978, 1], [217, 1]]
rs3745516	pheno_571.6	19	Primary biliary cirrhosis	2,774 European ancestry cases, 9,814 European ancestry controls	2E-13	1.38	SPIB	0.23	1.77159182007	2.93689207476e-05	exm1494446,exm1494449,exm1494441,exm1494462,exm1494474	0.0412166481612,0.0443610793352,0.000860062733988,0.0443610793352,0.0139458986609	1.71352213457,1.62395692066,11.0658082976,1.62728721285,2.06557926566	0.00672456906287,0.0128485095239,0.000695556872929,0.012771645685,0.0155177902026	[[19426, 3739, 75], [173, 62, 2]]
rs12610495	pheno_504.1	19	Interstitial lung disease	1,161 European ancestry cases, 4,683 European ancestry controls	2E-12	1.29	DPP9	0.29	73.2898550725	0.00252449652281	exm1410386	6.72902227306e-05	73.2898550725	0.0203338907544	[[20228, 2], [138, 1]]
rs12608932	pheno_334.21	19	Amyotrophic lateral sclerosis	4,243 European ancestry cases, 5,112 European ancestry controls	5E-8	1.37	UNC13A	0.34	121.97311828	0.00119011080996	exm1926809	5.04710632571e-05	121.97311828	0.0123271903609	[[22687, 2], [93, 1]]
rs516246	pheno_555.1	19	Crohn's disease	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	1E-15	1.11	DBP,SPHK2,IZUMO1,FUT2	0.483	47.8536036036	0.00772953754355	exm-IND19-53898835	3.36451113653e-05	47.8536036036	0.0406071807699	[[21247, 1], [444, 1]]
rs281379	pheno_555.1	19	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	7E-12	1.07	FUT2,RASIP1	0.487	47.8536036036	0.00772953754355	exm-IND19-53898835	3.36451113653e-05	47.8536036036	0.0406071807699	[[21247, 1], [444, 1]]
rs12720356	pheno_696.4	19	Psoriasis	2,178 European ancestry cases, 5,175 European ancestry controls	4E-11	1.40	TYK2	0.9	0.644546667802	0.012841319352	exm1425579	0.0455892255892	0.644546667802	0.0320960744442	[[21634, 2130, 53], [366, 24, 0]]
rs34372695	pheno_332	1	Parkinson's disease	5,333 European ancestry cases, 12,019 European ancestry controls	4E-12	1.47	SYT11	0.03	2.29196036367	0.00545344549895	exm108097,exm108145	0.0108194514555,8.41127784133e-05	2.10922911922,31.6429567643	0.0242379632471,0.0412147065214	[[22186, 500, 1], [230, 8, 2]]
rs2476601	pheno_714.1	1	Rheumatoid arthritis	5,539 European ancestry cases, 20,169 European ancestry controls	9E-74	1.94	PTPN22	0.1	1.6947740113	0.0113931711265	exm85400	0.00635956795316	1.6947740113	0.019465152787	[[23998, 295], [1104, 23]]
rs12103	pheno_555	1	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	8E-13	1.10	TNFRSF18,TNFRSF4	0.182	11.4038772213	0.00618574638673	exm2272	0.000151847477645	11.4038772213	0.0202346057344	[[21177, 6], [619, 2]]
rs3790567	pheno_571.6	1	Primary biliary cirrhosis	453 European ancestry cases, 945 European ancestry controls,	8E-12	1.48	IL12RB2	0.232	14.2446351931	7.62100953347e-05	exm67329	0.00065727383039	14.2446351931	0.000290593439736	[[23233, 28], [233, 4]]
rs2072499	pheno_187.2	1	Testicular germ cell tumor	986 European ancestry cases, 4,946 European ancestry controls	3E-8	1.19	SLC25A44	0.35	2.77270729271	0.0144107800222	exm108407	0.0201534217078	2.77270729271	0.0259902452061	[[11343, 443, 6], [52, 6, 0]]
rs2240335	pheno_714.1	1	Rheumatoid arthritis	801 Korean cases, 757 Korean controls	2E-8	1.50	PADI4	0.4	8.63701067616	0.0127976211973	exm2250297,exm23613	0.000134693740108,0.000134580445461	8.63701067616,8.6368	0.0355384576263,0.0355399216267	[[24270, 5], [1124, 2]]
rs3126085	pheno_939	1	Atopic dermatitis	1,012 Han Chinese cases, 1,362 Han Chinese controls	6E-12	1.22	FLG	0.58	0.248780945236	0.00024873762282	exm99328,exm100625	0.00257532401953,0.00279461279461	0.258452937698,0.237005026811	0.0355846957159,0.0265003585643	[[23877, 279], [1376, 4]]
rs3219090	pheno_172.11	1	Melanoma	2,168 European ancestry cases, 4,387 European ancestry controls	9E-8	1.15	PARP1	0.67	0.245577684315	0.00670675589618	exm2232632	0.00349154943832	0.245577684315	0.0264215371773	[[23823, 188], [1032, 2]]
rs599839	pheno_411	1	Coronary heart disease	1,926 cases,2,938 controls	4E-9	1.29	PSRC1	0.77	0.782712831096	0.00733447994081	exm80613	0.0125841184388	0.782712831096	0.0169085883081	[[21413, 569, 5], [5401, 114, 0]]
rs4845604	pheno_555	1	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	4E-16	1.14	RORC	0.857	0.165518700487	0.0075245303169	exm97673	0.00449752383519	0.165518700487	0.0337219567049	[[21021, 204, 1], [619, 1, 0]]
rs4812829	pheno_250.2	20	Type 2 diabetes	5,561 South Asian ancestry cases, 14,458 South Asian ancestry controls	3E-10	1.09	HNF4A	0.29	1.31051966807	0.025382475411	exm1543211	0.00610658771281	1.31051966807	0.0482106153475	[[21285, 248, 1], [4606, 67, 2]]
rs259964	pheno_555	20	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	1E-12	1.09	ZNF831,CTSZ	0.464	3.96228528753	0.0223780368501	exm1553860	0.000588789448893	3.96228528753	0.0482019623992	[[21222, 26], [618, 3]]
rs6017317	pheno_250.2	20	Type 2 diabetes	4,026 Chinese ancestry cases, 1,042 Korean ancestry cases, 794 Malaysian ancestry cases, 931 Japanese ancestry cases, 159 Filipino ancestry cases, 4,654 Chinese ancestry controls, 2,943 Korean ancestry controls, 1,240 Malaysian ancestry controls, 1,404 Japanese ancestry controls, 1,624 Filipino ancestry controls.	1E-11	1.09	FITM2,R3HDML,HNF4A	0.48	1.31051966807	0.025382475411	exm1543211	0.00610658771281	1.31051966807	0.0482106153475	[[21285, 248, 1], [4606, 67, 2]]
rs6017342	pheno_555.2	20	Ulcerative colitis	2,361 European ancestry cases, 5,417 European ancestry controls	9E-17	1.17	HNF4A	0.52	0.400089684645	0.000836604426404	exm1543276	0.0313067761254	0.400089684645	0.00284892460984	[[19908, 1325, 15], [337, 9, 0]]
rs2839186	pheno_187.2	21	Testicular germ cell tumor	986 European ancestry cases, 4,946 European ancestry controls	1E-9	1.26	MCM3AP	0.46	6.2513368984	0.00525589338389	exm1581271	0.00408788103089	6.2513368984	0.0146623480179	[[11690, 102], [55, 3]]
rs2284063	pheno_172.11	22	Melanoma	1,539 European ancestry cases, 3,917 European ancestry controls	2E-9	1.20	Intergenic	0.37	5.811352657	0.00353355464566	exm1608106	0.00038695783842	5.811352657	0.00830315647119	[[24059, 16], [1035, 4]]
rs229541	pheno_250.1	22	Type 1 diabetes	3,561 cases,4,646 controls	2E-8	1.11	C1QTNF6	0.43	2.57071036376	0.0175986022844	exm1605772	0.000980160205496	2.57071036376	0.0286582383318	[[21403, 40], [1457, 7]]
rs3771570	pheno_185	2	Prostate cancer	11,085 European ancestry cases, 11,463 European ancestry controls	5E-9	1.12	ANO7, ATG4B, BOK, BOK-AS1, DTYMK, FARP2, HDLBP, SEP2,STK25, THAP4	0.15	1.98313406467	0.00630280143173	exm284448	0.00402059080816	1.98313406467	0.0104457716143	[[9624, 59, 1], [1587, 18, 1]]
rs7423615	pheno_555.1	2	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	3E-13	1.12	SP140	0.187	16.1111111111	0.00276887008604	exm273513	0.000135011982313	16.1111111111	0.0106721427473	[[21170, 6], [438, 2]]
rs6716753	pheno_555.1	2	Crohn's disease	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	1E-16	1.13	SP140	0.196	16.1111111111	0.00276887008604	exm273513	0.000135011982313	16.1111111111	0.0106721427473	[[21170, 6], [438, 2]]
rs7590720	pheno_317.1	2	Alcohol dependence	476 European ancestry cases, 1,358 European ancestry controls	1E-8	1.35	PECR	0.29	7.80024622961	0.0101814799693	exm2273365	0.000403768506057	7.80024622961	0.0317126028487	[[25343, 19], [342, 2]]
rs13428812	pheno_555.1	2	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	9E-10	1.06	DNMT3A	0.326	7.37246049661	0.0125483654275	exm177559	0.000370195867268	7.37246049661	0.0369770731796	[[21229, 13], [443, 2]]
rs2111485	pheno_555	2	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	2E-8	1.07	IFIH1	0.404	1.95845225284	0.00564279176978	exm236840,exm236879	0.00760379516856,8.41127784133e-05	1.74620538624,34.3231017771	0.0430577928171,0.00465016101603	[[20929, 319], [603, 18]]
rs11676348	pheno_555.2	2	Ulcerative colitis	6,687 European ancestry cases, 19,718 European ancestry controls	1E-10	1.07	IL8RA, SLC11A1, IL8RB, AAMP, ARPC	0.49	2.60233125508	0.0282554301955	exm264499	0.00304590737749	2.60233125508	0.0495876069357	[[21120, 119], [341, 5]]
rs13098911	pheno_557.1	3	Celiac disease	4,533 European descent cases, 10,750 European descent controls	3E-17	1.30	CCR1, CCR2, CCRL2, CCR3, CCR5, CCR9	0.1	27.9052631579	0.00602579381052	exm307498	0.000319983832396	27.9052631579	0.0390722497728	[[21208, 10], [76, 1]]
rs3197999	pheno_575.1	3	Primary sclerosing cholangitis	715 European ancestry cases, 2,962 European ancestry controls	1E-16	1.39	MST1	0.28	4.72851779755	0.0022504558196	exm315523	0.00237501684409	4.72851779755	0.00522927433159	[[27206, 124], [232, 5]]
rs11177	pheno_740	3	Osteoarthritis	7,410 European ancestry cases, 11,009 European ancestry controls	5E-9	1.09	GNL3, GLT8D1	0.38	3.45503142915	0.00556547025121	exm322606	0.000353273669336	3.45503142915	0.00876500941459	[[23429, 13], [4173, 8]]
rs11712165	pheno_557.1	3	Celiac disease	4,533 European descent cases, 10,750 European descent controls	8E-9	1.13	CD80, KTELC1	0.39	15.2864864865	0.0019626279582	exm340044	0.00087480232832	15.2864864865	0.00874695965548	[[21210, 37], [75, 2]]
rs7613051	pheno_939	3	Atopic dermatitis	1,472 Japanese ancestry cases, 7,971 Japanese ancestry controls	6E-21	1.29	GLB1	0.453	1.68110878456	0.000113960943563	exm297422	0.0144193559242	1.68110878456	0.000204625381884	[[23514, 667, 3], [1318, 62, 1]]
rs11708067	pheno_250.2	3	Type 2 diabetes	2,112 lean type 2 diabetes cases, 4,123 obese type 2 diabetes cases, 54,412 controls	6E-8	1.25	ADCY5	0.78	0.587555841464	0.00526510797365	exm343931	0.00385236525133	0.587555841464	0.0130478968325	[[21355, 178, 1], [4652, 23, 0]]
rs6599389	pheno_332	4	Parkinson's disease	3,426 cases, 29,624 controls	4E-8	1.31	GAK	0.075	8.1931283906	0.00236482261103	exm379811,exm379651	0.000773941718824,8.41127784133e-05	5.94984243697,31.6429567643	0.0491572290537,0.0412147065214	[[22654, 35], [237, 3]]
rs11248060	pheno_332	4	Parkinson's disease	2,197 cases, 2,061 controls	3E-12	1.21	GAK, DGKQ	0.12	8.1931283906	0.00236482261103	exm379811,exm379651	0.000773941718824,8.41127784133e-05	5.94984243697,31.6429567643	0.0491572290537,0.0412147065214	[[22654, 35], [237, 3]]
rs7659024	pheno_452	4	Venous thromboembolism	1,542 European ancestry cases, 1,110 European ancestry controls	2E-13	1.53	FGG, FGA	0.25	4.36039690903	9.00802016626e-05	exm430529,exm430467	0.000824471665096,0.000168248199744	3.52762425544,11.5519414169	0.0040520771491,0.00660520309392	[[22571, 39], [1460, 11]]
rs1713985	pheno_362.2	4	Age-related macular degeneration	827 Japanese ancestry cases, 3,323 Japanese ancestry controls	2E-8	1.30	REST, C4orf14, POLR2B, IGFBP7	0.29	1.26456956172	0.0223780572215	exm2256654	0.0400498098475	1.26456956172	0.0434513960822	[[24412, 2021, 41], [762, 82, 1]]
rs4698775	pheno_362.2	4	Age-related macular degeneration	6,713 European ancestry cases, 48,402 European ancestry contols, 110 Southern Indian ancestry cases, 119 Southern Indian ancestry controls, 827 Japanese ancestry cases, 3,323 Japanese ancestry controls	7E-11	1.14	CFI	0.31	2.79998306376	0.0226831687098	exm418323	0.00114401076716	2.79998306376	0.0404088701514	[[26425, 54, 1], [841, 5, 0]]
rs6599388	pheno_332	4	Parkinson's disease	5,333 European ancestry cases, 12,019 European ancestry controls	4E-12	1.16	GAK	0.31	8.1931283906	0.00236482261103	exm379811,exm379651	0.000773941718824,8.41127784133e-05	5.94984243697,31.6429567643	0.0491572290537,0.0412147065214	[[22654, 35], [237, 3]]
rs3774959	pheno_555.2	4	Ulcerative colitis	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	4E-12	1.12	NFKB1,MANBA	0.358	10.315840622	0.00132990720762	exm416053	0.000504693650954	10.315840622	0.00437814968424	[[21230, 18], [343, 3]]
rs6536024	pheno_452	4	Venous thromboembolism	1,618 European ancestry cases, 42,881 European ancestry controls	2E-13	1.25	FGG	0.42	3.52762425544	0.00222427649969	exm430529	0.000824471665096	3.52762425544	0.0040520771491	[[22579, 35], [1463, 8]]
rs17021463	pheno_187.2	4	Testicular germ cell tumor	582 European ancestry male cases, 1,056 European ancestry male controls	1E-8	1.19	HPGDS, SMARCAD1	0.42	103.368421053	0.00153332523487	exm414240	0.000100996498788	103.368421053	0.0146203869823	[[11784, 2], [57, 1]]
rs3756008	pheno_452	4	Venous thromboembolism	1,542 European ancestry cases, 1,110 European ancestry controls	6E-11	1.40	F11	0.44	2.98408014973	0.013455634958	exm438115	0.000706571111335	2.98408014973	0.0234264708959	[[22587, 31], [1465, 6]]
rs12500426	pheno_185	4	Prostate cancer	1,854 European ancestry cases, 1,894 European ancestry controls	1E-11	1.08	PDLIM5	0.46	1.66085328604	0.011927925059	exm414362	0.00587166459168	1.66085328604	0.0226446608691	[[9581, 102, 0], [1578, 28, 0]]
rs13361189	pheno_555.1	5	Crohn's disease	1,748 cases,2,938 controls	2E-10	1.38	IRGM	0.08	3.74558615819	0.00670695582036	exm2275830	0.00164872139973	3.74558615819	0.0137204029993	[[21183, 64, 0], [440, 5, 0]]
rs2853677	pheno_165.1	5	Lung adenocarcinoma	1,695 Japanese ancestry cases, 5,333 Japanese ancestry controls	3E-40	1.41	TERT	0.3	6.59451421018	0.000852293171965	exm442026	0.000370096225019	6.59451421018	0.0020473461369	[[27937, 17], [1246, 5]]
rs2736100	pheno_165.1	5	Lung adenocarcinoma	1,004 Japanese cases, 1,900 Japanese controls	3E-11	1.27	TERT	0.39	6.59451421018	0.000852293171965	exm442026	0.000370096225019	6.59451421018	0.0020473461369	[[27937, 17], [1246, 5]]
rs2546890	pheno_696.4	5	Psoriasis	472 German cases, 1,146 German controls	1E-20	1.54	IL12B	0.56	0.58100998057	0.0155673545081	exm500154	0.0305497611197	0.58100998057	0.0444157826067	[[22397, 1428, 13], [376, 14, 0]]
rs12153855	pheno_362.2	6	Age-related macular degeneration	893 European ancestry cases, 2,199 European ancestry controls	1E-9	1.44	TNXB	0.011	3.54717741935	0.000920073725791	exm534536	0.00168287839521	3.54717741935	0.00175003165179	[[26391, 80], [837, 9]]
rs9380272	pheno_362.2	6	Age-related macular degeneration	2,978 European ancestry cases, 2,859 European ancestry controls	2E-8	4.31	C2,CFB	0.012	3.27359513994	0.00260675372272	exm533229	0.00159819656135	3.27359513994	0.00482000475849	[[26404, 77], [838, 8]]
rs1150754	pheno_695.42	6	Systemic lupus erythematosus	811 anti-dsDNA positive European ancestry cases, 906 anti-dsDNA negative European ancestry cases, 4,813 European ancestry controls	6E-29	2.21	TNXB	0.13	2.0120386679	0.00926570752014	exm534264	0.00802624936901	2.0120386679	0.0197241889029	[[24528, 391, 5], [423, 12, 1]]
rs3130544	pheno_358.1	6	Myasthenia gravis	400 European ancestry cases, 5,505 European ancestry controls	2E-90	5.64	NR	0.13	32.8796992481	0.00523499300575	exm2120683	0.000119936947433	32.8796992481	0.0350264922165	[[26238, 6], [133, 1]]
rs9263739	pheno_555.2	6	Ulcerative colitis	376 Japanese cases, 934 Japanese controls	4E-67	2.73	HLA	0.15	1.40230234757	0.0212399930904	exm-rs2240066	0.0443621676203	1.40230234757	0.0400624398228	[[19406, 1793, 39], [305, 40, 1]]
rs2180341	pheno_174.11	6	Breast cancer	249 Ashkenazi Jewish ancestry non-BRCA1/2 carriers cases, 299 Ashkenazi Jewish ancestry non-BRCA1/2 carriers controls	3E-8	1.41	ECHDC1,RNF146	0.21	16.9164345404	0.0142453463191	exm576641	8.41212692217e-05	16.9164345404	0.031225414494	[[12146, 1], [1436, 2]]
rs3132613	pheno_242.1	6	Graves' disease	1,119 Japanese ancestry cases, 2,718 Japanese ancestry controls	1E-13	1.43	MHC	0.25	2.76953904369	0.000545632760053	exm527634,exm527635,exm527659	0.00269179004038,0.00124499478448,0.00638015516537	3.52550758741,5.04591434106,2.22565856949	0.0165858757579,0.0248695518531,0.0438225822514	[[22780, 446, 5], [248, 14, 0]]
rs548234	pheno_695.42	6	Systemic lupus erythematosus	1,047 Chinese Han cases, 1,205 Chinese Han controls	5E-12	1.25	PRDM1, ATG5	0.26	3.11202281483	0.0139574028522	exm568967	0.00195141645919	3.11202281483	0.0264615543165	[[24835, 90, 1], [432, 5, 0]]
rs610604	pheno_696.4	6	Psoriasis	1,359 cases, 1,400 controls	9E-12	1.19	TNFAIP3	0.32	30.6520618557	0.00902804464684	exm581589	5.05765729314e-05	30.6520618557	0.0474984815062	[[23786, 2], [388, 1]]
